 
"Organization Name - Effective 29-JUN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"DARTMOUTH COLLEGE","5R01DK025336-27","7214802","Lienhard, Gustav E","Insulin Regulation of the Adipocyte Glucose Transporter","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 352,060","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DK041841-19","7280892","Narayfejestoth, Aniko ","Aldo Specificity of Mineralocorticoid Target Cells","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 356,294","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DK042816-18","7255430","Lienhard, Gustav E","Phosphoproteins in Insulin Signaling","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 473,558","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DK045881-13","7264675","Stanton, Bruce A","Regulation of CFTR Trafficking","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DK054716-08","7211510","Stgermain, Donald L","The Role of the Type 3 Deiodinase in Development","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 362,780","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01EB001982-14","7249372","Paulsen, Keith D","Microwave Imaging for Therapy Monitoring and Assessment","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 284,038","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01EB002082-12","7249368","Paulsen, Keith D","Modeling of Brain Deformation During Surgery","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 328,353","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01EB004632-03","7269323","Paulsen, Keith D","Advanced Magnetic Resonance Elastography","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 275,361","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01ES013168-03","7189895","Sheldon, Lynn A","Arsenic, Histone Modification, and Transcription","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 324,076","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01ES014218-03","7278705","Dalton, Madeline A","Environmental and Family Influences on Adolescent Overweight","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 499,685","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM020379-34","7152913","Trumpower, Bernard L","Mechanism of Respiration and Energy Transduction","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 574,017","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM023377-32","7255818","Wickner, William Tobey","Protein Compartmentation","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 1,148,669","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM033998-23","7264566","Cole, Charles N","NUCLEOCYTOPLASMIC TRANSPORT OF mRNA IN YEAST","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 463,659","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM034028-23","7151455","Ambros, Victor ","Genetic Control of Animal Development","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 526,047","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM051542-11","7179308","Compton, Duane A","Organization of the Mammilian Mitotic Spindle","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 363,875","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM059354-08","7209807","Bickel, Sharon E","Regulation of sister-chromatid cohesion in Drosophila","BIOLOGICAL SCIENCES","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 288,066","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM066826-04","7172655","Ambros, Victor ","Functional analysis of microRNA genes in Drosophila","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 265,326","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM066913-05","7255801","Kull, F Jon","Structural characterization of dynamin GTPases","CHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 265,003","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM066919-05","7265245","Smith, Elizabeth F","Calcium regulation of flagellar motility","BIOLOGICAL SCIENCES","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 262,173","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM069818-04","7175337","Higgs, Henry N","Comparative molecular physiology of mammalian formins","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 265,326","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM069950-04","7159308","Conradt, Barbara ","Analysis of Cell Death Regulation in C.elegans","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 289,006","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01GM076038-02","7263030","Wickner, William Tobey","The Role of Actin Remodeling in Membrane Fusion Microdomains R01 GM076038-01A1","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 124,210","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HD044547-06","7229396","Reindollar, Richard H","Optimal Infertility Therapy RCT: Women 40 and Older","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 449,739","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HD045364-04","7215529","Duhaime, Annchristine ","Trauma to Immature Brain: Response Repair & Treatment","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HD045822-03","7227911","Petitto, Lauraann ","Behavioral and Neuroimaging Studies of Bilingual Reading","EDUCATION","MISCELLANEOUS","SCHOOLS OF ARTS AND SCIENCES","$ 284,277","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HD047242-02","7252590","Mcallister, Thomas ","RCT Methylphenidate & Memory/Attention Training in TBI","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 384,488","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HD047447-03","7148054","Moore, Jason H","Genetics Basis of Trauma Recovery","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 357,938","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HD048176-04","7272692","Mcallister, Thomas ","Role of Candidate Alleles in Cognitive Outcome After TBI","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 379,035","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL026091-24","7271971","Stjohn, Walter ","Mechanisms and sites of ventilatory neurogenesis","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 300,546","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL036709-22","7240584","Chang, Tayuan ","Cell Mutants Defective in Cholesterol Ester Formation","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 422,282","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL053793-12","7212062","Simons, Michael ","Angiogenesis in Myocardial Ischemia","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL062289-09","7228101","Simons, Michael ","Syndecan Function in Endothelial Cells","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL074190-04","7219404","Hwa, John ","Pharmacogenetics of the human prostacyclin receptor.","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 303,228","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL076612-04","7189020","Powell, Richard J","Endothelial Cell Regulation of Smooth Muscle Phenotype","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 337,079","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL078622-04","7274781","Demuinck, Ebo D","TITLE OMITTED","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 379,035","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL079104-02","7245886","Shworak, Nicholas W","3-OST-1 Regulation of Antithrombin Isoform Partitioning","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 510,673","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01HL083249-02","7184346","Stan, Radu Virgil","Cellular and Molecular Mechanisms of Vascular Permeability","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 349,342","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01LM009012-02","7279853","Moore, Jason H","Machine Learning Prediction of Cancer Susceptibility","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 310,526","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01MH044651-18","7170048","Loros, Jennifer J","Identification and Analysis of Clock Controlled Genes","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 701,894","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01MH068252-04","7214688","Mchugo, Gregory J","An RCT of the Trauma Recovery and Empowerment Model","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 461,821","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01MH069826-05","7228211","Yeh, Hermes H","Tangentially Migrating Neurons During Corticogenesis","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01MH077210-02","7228611","Mcgurk, Susan R","Cognitive Training and Supported Employment for SMI","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 304,520","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01NS044295-04","7171842","Holmes, Gregory L","Predictors of Seizure-Induced Memory Impairment","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 311,797","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01NS046478-04","7253343","Supattapone, Surachai ","Mechanism of Prion Propagation","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 315,547","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01NS047276-04","7152941","Dolph, Patrick J","Photoreceptor cell degeneration in D. melanogaster","BIOLOGICAL SCIENCES","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 277,154","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01NS048603-04","7218560","Yeh, Hermes H","The Septohippocampal System: Regulation by Neurotrophins","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 350,608","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01NS053907-13","7262479","Taube, Jeffrey Steven","Neural Basis of Spatial Cognition","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 350,608","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01NS054298-02","7234312","Springett, Roger J","Imaging the Mitochondrial Response to Neural Activity","RADIOLOGY","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 342,250","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R03CA121382-02","7201555","Andrew, Angeline Sanderson","Comprehensive Assessment of Bladder Cancer Genetic Susceptibility","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 77,631","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R03CA124200-02","7280290","Hegel, Mark T","Preserving Function in Rural Breast Cancer Patients Undergoing Chemotherapy","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 77,631","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R03EY016747-03","7266940","Dolph, Patrick J","Lysosomal Proteases and Retinal Degeneration","BIOLOGICAL SCIENCES","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 155,268","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R21AI068175-02","7267977","White, Hillary D","Rescue of Ovarian Tumor Dysregulated CTL by CRH Stress Hormone Antagonism","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 232,894","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R21CA112761-02","7230288","Ernstoff, Marc S","Lymphodepletion for Melanoma Patients","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 275,592","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R21CA118069-02","7267981","Khan, Mohammad Nadeem","Monitoring Oxygen Repeatedly for Hypoxic Tumor Therapy","RADIOLOGY","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 147,500","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R21CA119201-02","7229790","Olson, Ardis L","UV Safe: New approaches to reduce teen UV exposure","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 147,500","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R21CA121593-02","7268108","Swartz, Harold M","Determination of Clinical Feasibility of EPR Oximetry of Tumors","RADIOLOGY","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 248,032","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R21DK072112-02","7230214","Khan, Mohammad Nadeem","Development of EPR and NIR Oximetry for Diabetic Foot","RADIOLOGY","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 194,079","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R21ES013827-03","7270638","Tomlinson, Craig R","Role of fetal TCDD-activited AHR in adult heart disease","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 136,514","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R25MH068298-05","7245011","Norris, Fran H","Research Education in Disaster Mental Health","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 257,348","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R33CA100984-04","7278654","Pogue, Brian William","Spectral-Encoding for Video-Rate Hemodynamic Tomography","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 261,229","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R33CA102938-03","7278260","Paulsen, Keith D","MR Microwave Absorption and Tomography Imaging","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 468,259","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R37AI026296-17","7186648","Noelle, Randolph J","Cognate Activation of B-Lymphocytes","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 337,079","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R37GM034985-22","7236661","Dunlap, Jay C","Genetic and Molecular Dissection of the Neurospora Clock","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 639,350","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R37HL028066-27","7213327","Nattie, Eugene E","CSF AND THE CENTRAL CHEMICAL CONTROL OF BREATHING","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 419,370","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32AI007363-17","7273662","Green, William R","Immunobiology of Myeloid and Lymphoid Cells","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 446,788","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32AI007519-10","7271340","Taylor, Ronald K","Host-Microbe Interactions","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 256,068","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32AR007576-14","7238681","Rigby, William Frederickcarson","Autoimmunity and Connective Tissue Biology Training","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 296,736","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32AR049710-04","7228599","Weinstein, James N","Orthopaedic Resident Clinician/Researcher Program","ORTHOPAEDIC SURGERY","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 148,277","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32DK007301-30","7280314","Stanton, Bruce A","Renal Function and Disease","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 208,943","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32GM008704-10","7249512","Speck, Nancy A","Molecular and Cellular Biology at Dartmouth","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 378,792","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32MH073553-03","7264594","Bartels, Stephen J","Training Geriatric Mental Health Services Researchers","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 460,404","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5T32NS051176-02","7254932","Holmes, Gregory L","Translational Neuroscience Postdoctoral Training Program","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 249,458","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5U01AI045407-08","7256987","Vonreyn, C Fordham","Disseminated Tuberculosis in HIV Infection","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,313,181","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
