gene_oid	Start Coord	End Coord	Strand	GC	Locus Tag	Gene Symbol	Description	Scaffold Name	MyIMG_Annotation
633215615	894785	895654	+	.38	Saci_1096	uvdE	UV damage endonuclease( EC:3.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215620	897628	899109	+	.4	Saci_1099		aldehyde dehydrogenase( EC:1.2.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215625	899296	901110	+	.39	Saci_1100		phosphoenolpyruvate carboxykinase( EC:4.1.1.32 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215630	901175	902071	-	.39	Saci_1101		bifunctional folate synthesis protein( EC:2.7.6.3,EC:4.1.2.25 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215635	902068	902793	-	.38	Saci_1102		dehydrogenase( EC:1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215640	903047	904438	+	.39	Saci_1103		hydroxylase	Sulfolobus acidocaldarius DSM 639 chromosome	
633215645	904456	905214	-	.4	Saci_1104	gdh	glucose 1-dehydrogenase( EC:1.1.1.47 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215650	905293	906213	-	.39	Saci_1105		esterase/lipase	Sulfolobus acidocaldarius DSM 639 chromosome	
633215655	906267	907436	-	.39	Saci_1106		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215660	908073	908663	+	.36	Saci_1107		transcriptional regulator TetR family	Sulfolobus acidocaldarius DSM 639 chromosome	
633215665	908850	909971	+	.41	Saci_1108	acd	acyl-CoA dehydrogenase( EC:1.3.99.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215670	910065	912056	-	.41	Saci_1109		3-hydroxybutyryl-CoA dehydrogenase( EC:1.1.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215675	912102	913022	-	.39	Saci_1110		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215680	913160	914812	+	.41	Saci_1111		medium-chain-fatty-acid-CoA ligase	Sulfolobus acidocaldarius DSM 639 chromosome	
633215685	915037	915963	+	.4	Saci_1112		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215690	915963	916871	+	.37	Saci_1113		acyl-CoA dehydrogenase	Sulfolobus acidocaldarius DSM 639 chromosome	
633215695	916907	918094	+	.42	Saci_1114		thiolase( EC:2.3.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215700	918125	919132	-	.4	Saci_1115	adh	alcohol dehydrogenase( EC:1.1.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215705	919178	920095	-	.42	Saci_1116		acetyl esterase( EC:3.1.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215710	920171	921667	-	.42	Saci_1117		glycerol kinase( EC:2.7.1.30 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215715	921761	923047	+	.41	Saci_1118		glycerol-3-phosphate dehydrogenase( EC:1.1.99.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215720	923050	923490	+	.38	Saci_1119		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215725	923562	924089	-	.38	Saci_1120		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215730	924092	925279	-	.43	Saci_1121		acetyl-CoA thiolase( EC:2.3.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215735	925285	926898	-	.4	Saci_1122		acyl-CoA synthetase( EC:6.2.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215740	926934	928136	-	.43	Saci_1123		acyl-CoA dehydrogenase( EC:1.3.99.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215745	928605	928964	+	.36	Saci_1124		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215750	929275	929751	-	.38	Saci_1125		peroxiredoxin	Sulfolobus acidocaldarius DSM 639 chromosome	
633215755	929964	931616	-	.42	Saci_1126		medium-chain-fatty-acid-CoA ligase	Sulfolobus acidocaldarius DSM 639 chromosome	
633215760	932292	934181	+	.39	Saci_1127		amino acid permease	Sulfolobus acidocaldarius DSM 639 chromosome	
633215765	934620	936272	+	.38	Saci_1128		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215770	936259	937491	+	.38	Saci_1129		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215775	937878	938138	+	.34	Saci_1130		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215780	938407	939963	+	.39	Saci_1131		phospholipase( EC:3.1.4.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215785	940186	940875	-	.38	Saci_1132		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215790	941133	942203	+	.36	Saci_1133		ATPase of the AAA superfamily( EC:3.6.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215795	942578	944566	+	.41	Saci_1134		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215800	943930	944454	-	.44	Saci_1135		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215805	944847	946262	+	.39	Saci_1136		sugar transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633215810	946478	948154	+	.4	Saci_1137		thiamine pyrophosphate enzyme	Sulfolobus acidocaldarius DSM 639 chromosome	
633215815	948404	948805	+	.36	Saci_1138		conserved Crenarchaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215820	948860	950230	-	.34	Saci_1139		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215825	950399	951964	-	.35	Saci_1140		conserved T+S rich domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215830	952097	952870	-	.39	Saci_1141		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215835	952870	954063	-	.4	Saci_1142		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215840	954542	954910	-	.4	Saci_1143		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215845	956887	960714	+	.39	Saci_1147		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215850	960722	962470	+	.38	Saci_1148		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215855	964555	965004	+	.36	Saci_1151		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215860	965058	965243	+	.34	Saci_1152		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215865	965309	965854	-	.4	Saci_1153		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215870	966098	966727	+	.38	Saci_1154		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215875	966891	967697	+	.41	Saci_1155		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215880	967901	969586	-	.37	Saci_1156		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215885	969591	970697	-	.34	Saci_1157		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215890	971287	971874	+	.36	Saci_1158		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215895	971893	972582	+	.35	Saci_1159		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215900	972700	974583	-	.38	Saci_1160	malA	alpha-glucosidase( EC:3.2.1.20 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215905	974711	975760	+	.37	Saci_1161		HTH domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215910	975799	978453	-	.38	Saci_1162		membrane bound alpha-amylase( EC:3.2.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215915	978540	979397	-	.38	Saci_1163		sugar transport system permease protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215920	979397	980281	-	.36	Saci_1164		conserved Archaeal transport protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215925	980292	981734	-	.4	Saci_1165		sugar-binding periplasmic protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215930	981962	983038	+	.38	Saci_1166		ABC transporter ATPase component	Sulfolobus acidocaldarius DSM 639 chromosome	
633215935	983366	983848	-	.39	Saci_1167		conserved Archaeal CBS domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215940	984081	984524	-	.39	Saci_1168		alanyl-tRNA like protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215945	984596	985579	-	.4	Saci_1169	trxB	thioredoxin reductase( EC:1.8.1.9 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215950	985690	986256	+	.38	Saci_1170	msrA	peptide methionine sulfoxide reductase( EC:1.8.4.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633215955	987087	987896	+	.34	Saci_1171		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215960	987941	989377	-	.34	Saci_1172	flaJ	flagella-related protein J	Sulfolobus acidocaldarius DSM 639 chromosome	
633215965	989361	990902	-	.36	Saci_1173		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215970	990906	991592	-	.35	Saci_1174		flagella-related protein H	Sulfolobus acidocaldarius DSM 639 chromosome	
633215975	991589	992083	-	.35	Saci_1175		conserved flagellar protein F	Sulfolobus acidocaldarius DSM 639 chromosome	
633215980	992085	992549	-	.36	Saci_1176		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215985	992542	993294	-	.34	Saci_1177		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215990	993370	994284	-	.36	Saci_1178		conserved flagellin protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633215995	994427	994804	+	.25	Saci_1179		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216000	994943	995752	+	.33	Saci_1180		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216005	996022	997893	+	.36	Saci_1181		conserved protein kinase domain protein( EC:2.7.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216010	998087	999445	-	.38	Saci_1182		multidrug resistance protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216015	999934	1002837	+	.38	Saci_1183		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216020	1003003	1004967	-	.4	Saci_1184		acetyl-coenzyme A synthetase( EC:6.2.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216025	1005075	1006106	+	.37	Saci_1185		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216030	1006115	1006399	+	.34	Saci_1186		transcriptional regulator MarR family	Sulfolobus acidocaldarius DSM 639 chromosome	
633216035	1006396	1007331	-	.38	Saci_1187	iunH	inosine-uridine preferring nucleoside hydrolase( EC:3.2.2.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216040	1007433	1008794	+	.38	Saci_1188		alkyldihydroxyacetonephosphate synthase( EC:2.5.1.26 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216045	1008791	1009651	-	.36	Saci_1189		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216050	1009743	1010216	+	.41	Saci_1190	purE	phosphoribosylaminoimidazole carboxylase catalytic subunit( EC:4.1.1.21 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216055	1010188	1011282	+	.35	Saci_1191		phosphoribosylaminoimidazole carboxylase ATPase( EC:4.1.1.21 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216060	1011279	1011623	+	.35	Saci_1192		conserved Archaeal HTH domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216065	1011620	1013611	-	.38	Saci_1193		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216070	1013795	1013971	+	.38	Saci_1194		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216075	1013973	1014350	-	.37	Saci_1195		endoribonuclease L-PSP	Sulfolobus acidocaldarius DSM 639 chromosome	
633216080	1014391	1015209	-	.36	Saci_1196		CBS domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216085	1015233	1017065	-	.39	Saci_1197		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216090	1017238	1019091	-	.37	Saci_1198		glycosyl hydrolase( EC:3.2.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216095	1019088	1020341	-	.37	Saci_1199		glucose-1-phosphate adenylyltransferase( EC:2.7.7.27 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216100	1020382	1021716	+	.36	Saci_1200		alpha-amylase( EC:3.2.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216105	1021713	1023413	+	.39	Saci_1201		glycosyl transferase	Sulfolobus acidocaldarius DSM 639 chromosome	
633216110	1023450	1024052	+	.4	Saci_1202		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216115	1024057	1025676	-	.38	Saci_1203	thsB	thermosome gamma subunit	Sulfolobus acidocaldarius DSM 639 chromosome	
633216120	1025769	1026086	-	.36	Saci_1205		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216125	1026145	1026711	-	.36	Saci_1206		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216130	1026823	1027203	-	.35	Saci_1207		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216135	1027214	1027921	-	.35	Saci_1208		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216140	1027923	1029005	-	.36	Saci_1209		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216145	1029065	1029685	+	.38	Saci_1210		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216150	1029690	1030832	+	.37	Saci_1211		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216155	1030846	1031010	-	.3	Saci_1212		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216160	1031062	1032318	-	.35	Saci_1213		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216165	1032302	1034848	-	.39	Saci_1214	acnA	aconitate hydratase( EC:4.2.1.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216170	1034900	1036189	-	.35	Saci_1215		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216175	1036327	1036800	+	.33	Saci_1216		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216180	1036824	1037123	-	.35	Saci_1217		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216185	1037393	1037770	+	.34	Saci_1218		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216190	1037782	1038165	-	.36	Saci_1219		transcriptional regulator Lrs14-like protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216195	1038318	1039313	+	.35	Saci_1220		conserved periplasmic binding protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216200	1039531	1040529	+	.37	Saci_1221		hemin transport system permease protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216205	1040510	1041169	+	.35	Saci_1222		ABC transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633216210	1041456	1041827	+	.31	Saci_1223		transcriptional regulator Lrs14-like protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216215	1041824	1042063	-	.32	Saci_1224		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216220	1042172	1042501	+	.34	Saci_1225		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216225	1042482	1043012	-	.35	Saci_1226		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216230	1043234	1044526	+	.36	Saci_1227	phr	deoxyribodipyrimidine photolyase( EC:4.1.99.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216235	1044560	1045915	-	.37	Saci_1228		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216240	1045922	1046425	-	.34	Saci_1229		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216245	1046719	1047375	-	.34	Saci_1230		transcriptional regulator TenA family	Sulfolobus acidocaldarius DSM 639 chromosome	
633216250	1047426	1049072	-	.35	Saci_1231		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216255	1049193	1049960	-	.41	Saci_1232		short chain dehydrogenase( EC:1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216260	1050009	1050542	-	.37	Saci_1233		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216265	1050711	1051121	-	.38	Saci_1234		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216270	1052045	1052290	+	.35	Saci_1235		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216275	1052274	1052666	+	.36	Saci_1236		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216280	1053504	1053824	+	.37	Saci_1237		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216285	1053870	1054493	-	.38	Saci_1238		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216290	1054659	1055411	+	.36	Saci_1239		TPR domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216295	1055391	1056674	-	.39	Saci_1240		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216300	1056679	1057101	-	.39	Saci_1241		thioesterase superfamily protein( EC:3.1.2.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216305	1057445	1057792	+	.34	Saci_1242	lrs14	Lrs14	Sulfolobus acidocaldarius DSM 639 chromosome	
633216310	1057796	1058398	-	.36	Saci_1243		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216315	1058411	1059379	+	.38	Saci_1244		GHMP kinase( EC:2.7.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216320	1059369	1060346	+	.37	Saci_1245	mvd	diphosphomevalonate decarboxylase( EC:4.1.1.33 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216325	1060333	1061529	-	.36	Saci_1246		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216330	1061544	1062254	-	.38	Saci_1247	mtaP	5'-methylthioadenosine phosphorylase( EC:2.4.2.28 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216335	1062400	1062597	+	.33	Saci_1248		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216340	1062587	1063921	-	.36	Saci_1249		gylcosyl transferase group 1 protein( EC:2.4.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216345	1063958	1065688	+	.37	Saci_1250		glycosyl hydrolases family 15 protein( EC:3.2.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216350	1065709	1066101	-	.37	Saci_1251		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216355	1066194	1066739	+	.38	Saci_1252		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216360	1066756	1067550	+	.33	Saci_1253		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216365	1067685	1068164	+	.27	Saci_1254		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216370	1068374	1068949	+	.35	Saci_1255		NADPH-dependent FMN reductase	Sulfolobus acidocaldarius DSM 639 chromosome	
633216375	1069002	1070189	-	.36	Saci_1256		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216380	1070391	1070813	+	.32	Saci_1257		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216385	1071073	1071144	-	.67	Saci_1258		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633216390	1071421	1072116	-	.37	Saci_1259		nucleotidyl transferase( EC:2.7.7.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216395	1072375	1072842	-	.36	Saci_1260		methyltransferase( EC:2.1.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216400	1072839	1074497	-	.36	Saci_1261		threonine-tRNA synthetase( EC:6.1.1.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216405	1074526	1075509	+	.35	Saci_1262		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216410	1075509	1076225	+	.37	Saci_1264		endonuclease III related protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216415	1076212	1077225	+	.38	Saci_1265	sucC	succinyl-CoA synthetase beta chain( EC:6.2.1.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216420	1077291	1078061	+	.38	Saci_1266		succinyl-CoA ligase, alfa chain( EC:6.2.1.4 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216425	1078027	1079067	-	.33	Saci_1267		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216430	1079086	1079156	-	.65	Saci_1268		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633216435	1079374	1079973	-	.34	Saci_1269		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216440	1080419	1081312	+	.36	Saci_1270		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216445	1081580	1082224	-	.34	Saci_1271		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216450	1082226	1083056	-	.39	Saci_1272		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216455	1083442	1083512	-	.65	Saci_1273		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633216460	1083596	1085860	+	.36	Saci_1274		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216465	1086016	1086807	-	.34	Saci_1275		translation initiation factor eIF2 alpha	Sulfolobus acidocaldarius DSM 639 chromosome	
633216470	1086809	1087009	-	.38	Saci_1276		SSU ribosomal protein S27E	Sulfolobus acidocaldarius DSM 639 chromosome	
633216475	1087006	1087293	-	.37	Saci_1277		50S ribosomal protein L44E	Sulfolobus acidocaldarius DSM 639 chromosome	
633216480	1087280	1087741	-	.31	Saci_1278		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216485	1087731	1088699	-	.37	Saci_1279		DNA primase small subunit( EC:2.7.7.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216490	1088665	1089402	-	.37	Saci_1280		DNA polymerase sliding clamp C	Sulfolobus acidocaldarius DSM 639 chromosome	
633216495	1089433	1090197	-	.36	Saci_1281		conserved putative ATP binding protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216500	1090238	1091113	+	.38	Saci_1282		ribose-phosphate pyrophosphokinase( EC:2.7.6.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216505	1091110	1092015	+	.32	Saci_1283		RNA methylase	Sulfolobus acidocaldarius DSM 639 chromosome	
633216510	1092015	1092893	+	.37	Saci_1284		metallo-beta-lactamase superfamily protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216515	1092874	1093311	-	.37	Saci_1285		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216520	1093311	1093745	-	.38	Saci_1286		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216525	1093875	1094462	+	.36	Saci_1287		2',5' RNA ligase( EC:6.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216530	1094422	1095672	+	.35	Saci_1288		tRNA nucleotidyltransferase( EC:2.7.7.25 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216535	1095657	1096265	+	.32	Saci_1289		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216540	1096249	1096458	-	.37	Saci_1290		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216545	1096644	1096737	+	.62	Saci_1291		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633216550	1096722	1098872	-	.36	Saci_1292		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216555	1099037	1099729	-	.36	Saci_1293		short chain dehydrogenase	Sulfolobus acidocaldarius DSM 639 chromosome	
633216560	1099786	1100475	-	.36	Saci_1294		deoxyribonuclease( EC:3.1.21.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216565	1100509	1100910	-	.32	Saci_1295		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216570	1101172	1101879	+	.38	Saci_1296		ABC transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633216575	1102550	1103296	+	.34	Saci_1297		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216580	1103293	1103835	-	.39	Saci_1298		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216585	1103902	1106903	-	.6	Saci_1299	23S	 ( rRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633216590	1107140	1108619	-	.63	Saci_1300	16S	 ( rRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633216595	1108924	1109586	-	.33	Saci_1301	rpiA	ribose 5-phosphate isomerase( EC:5.3.1.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216600	1109624	1110925	-	.36	Saci_1302		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216605	1111007	1111087	+	.69	Saci_1303		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633216610	1111101	1112507	-	.38	Saci_1304		homocitrate synthase( EC:4.1.3.14 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216615	1112548	1112823	-	.28	Saci_1305		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216620	1112829	1113512	-	.36	Saci_1306		amino acid kinase( EC:2.7.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216625	1113548	1113727	-	.37	Saci_1307		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216630	1113836	1114633	-	.36	Saci_1308		short chain dehydrogenase	Sulfolobus acidocaldarius DSM 639 chromosome	
633216635	1114630	1115706	-	.33	Saci_1309		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216640	1115675	1117009	-	.35	Saci_1310		signal recognition 54 kDa protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216645	1117011	1117406	-	.39	Saci_1311		translation initiation factor 5A	Sulfolobus acidocaldarius DSM 639 chromosome	
633216650	1117749	1118909	-	.36	Saci_1314	top6A	DNA topoisomerase VI, subunit A( EC:5.99.1.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216655	1118906	1120504	-	.36	Saci_1315	top6B	DNA topoisomerase VI subunit B( EC:5.99.1.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633216660	1120540	1121475	-	.35	Saci_1316		deoxyhypusine synthase	Sulfolobus acidocaldarius DSM 639 chromosome	
633216665	1121472	1122920	-	.41	Saci_1317		universally conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216670	1123028	1123243	-	.3	Saci_1319		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216675	1123338	1126142	+	.33	Saci_1320		putative ATP-dependent helicase	Sulfolobus acidocaldarius DSM 639 chromosome	
633216680	1126245	1126517	+	.33	Saci_1321		DNA binding protein alba-1	Sulfolobus acidocaldarius DSM 639 chromosome	
633216685	1130260	1130553	+	.39	Saci_1322		DNA binding protein alba-2	Sulfolobus acidocaldarius DSM 639 chromosome	
633216690	1130638	1130964	+	.35	Saci_1323		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216695	1130939	1131214	-	.28	Saci_1324		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216700	1131307	1131816	+	.32	Saci_1325		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633216705	1131771	1133174	-	.35	Saci_1326		XPB/RAD25-related helicase	Sulfolobus acidocaldarius DSM 639 chromosome	
