 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"NATL CENTRE/HIV EPIDEMIOLOGY/CLNCL RES","5R01DA015999-02","6800397","Kaldor, John M","Longitudinal cohort of newly acquired HCV infection","","","$ 384,435","SYDNEY","AUSTRALIA","0","","","","  "
"NATL CENTRE/HIV EPIDEMIOLOGY/CLNCL RES","5R01HL065953-04","6697321","Carr, Andrew D","PROTEASE INHIBITOR RELATED ATHEROSCLEROSIS IN HIV","","","$ 200,000","SYDNEY","AUSTRALIA","0","","","","  "
"NATL CTR FOR AIDS PREVENTION AND CONTROL","1U2RTW006918-01","6780164","Wu, Zunyou ","China Multidisciplinary AIDS Prevention Training Program","","","$ 304,417","BEIJING","CHINA","0","","","","  "
"NATL CTR FOR AIDS PREVENTION AND CONTROL","5U19AI051915-03","6803148","Shao, Yiming ","China's Integrated Programs for Research on AIDS","","","$ 2,955,968","BEIJING","CHINA","0","","","","  "
"NATL HEPATOLOGY/TROPICAL MED RES INST","1R03AI058971-01","6756085","Esmat, Gamal E","Epidemiology of HCV Infection among Egyptian Children","","","$ 54,000","CAIRO","EGYPT","0","","","","  "
"NATL INSTITUTE FOR COMMUNICABLE DISEASES","1R03AI059469-01","6757065","Coetzee, Maureen ","Insecticide resistance in Africa Malaria mosquitoes","","","$ 54,000","JOHANNESBURG","SOUTH AFRICA","0","","","","  "
"NELSON R MANDELA SCHOOL OF MEDICINE","5R01AI057104-02","6784628","Coovadia, Hoosen ","Neutralizing human mAbs: study in HIV-exposed babies","","","$ 216,000","DURBAN","SOUTH AFRICA","0","","","","  "
"NEUROVISION SCIENCES, INC.","N01MH990002","","Evans, Alan","DATA COORD CNTR (DCC) FOR A MRI STY OF NORMAL","","","$ 1,038,076","MONTREAL","CANADA","0","","","","  "
"NEW MULAGO HOSPITAL","5R01TW006672-02","6805714","Nakkujoloba, Edith ","Seroprevallence and incidence of genital herpes in Ugan*","","","$ 54,000","KAMPALA","UGANDA","0","","","","  "
"NIHON UNIVERSITY","5R03AG021609-02","6757181","Saito, Yasuhiko ","Prepartaion and Distribution of the NUJLSOA","","","$ 27,000","TOKYO","JAPAN","0","","","","  "
"NRC--INSTITUTE FOR BIODIAGOSTICS","1R21EB004733-01","6830980","King, Scott B","Multi-Tx MRI for Uniform B1 Excitation at High Bo Field","","","$ 134,616","WINNIPEG","CANADA","0","","","","  "
"NSTITUTO NACIONAL DE CIENCIAS MEDICAS","1R01DK064635-01A1","6771585","Gamba, Gerardo ","Molecular Physiology of the renal Na-Cl cotransporter","","","$ 228,420","MEXICO CITY","MEXICO","0","","","","  "
"NUSLE CLINIC","5R01AI056319-02","6769584","Krekulova, Laura ","Hepatitis C in Central Europe","","","$ 54,000","PRAGUE","CZECH REPUBLIC","0","","","","  "
"OTTAWA HEALTH RESEARCH INSTITUTE","1U01HL077885-01","6826332","Stiell, Ian G","PROPOSAL TO CREATE A CANADIAN COLLABORATIVE RCC","","","$ 151,602","OTTAWA","CANADA","0","","","","  "
"OTTAWA HEALTH RESEARCH INSTITUTE","5R01HL069134-04","6797778","Rudnicki, Michael A","Molecular Mechanisms Regulating Stem Cell Plasticity","","","$ 250,000","OTTAWA","CANADA","0","","","","  "
"OTTAWA HEALTH RESEARCH INSTITUTE","5R01NS040087-05","6777543","Stys, Peter K","Depolarization-induced Ca Stores Release in CNS Axons","","","$ 153,900","OTTAWA","CANADA","0","","","","  "
"OTTAWA HEALTH RESEARCH INSTITUTE","5R21HD044975-02","6800709","Stiell, Ian G","OPTIMAL PREHOSPITAL CARE OF CHILDHOOD CARDIAC ARREST","","","$ 108,000","OTTAWA","CANADA","0","","","","  "
"OZGENE PTY LTD","N01AO400013","","Noonan, Eddie","","","","$ 821,929","BENTLEY","AUSTRALIA","06983","","","","  "
"PASTEUR INSTITUTE","5F32GM067494-02","6767798","Molles, Brian E","Conformational changes in the ACh binding protein","","","$ 43,428","PARIS","FRANCE","75015","","","","  "
"PASTEUR INSTITUTE","5F32GM067494-02X1","6893050","Molles, Brian E","Conformational changes in the ACh binding protein","","","$ 5,500","PARIS","FRANCE","75015","","","","  "
"PETER MACCALLUM CANCER CENTRE","1R01CA106377-01","6754096","Smyth, Mark J","The regulation of tumor immunity by NKT cells","","","$ 199,260","EAST MELBOURNE","AUSTRALIA","03172","","","","  "
"PETER MACCALLUM CANCER CENTRE","5R01HL069145-04","6795129","Simmons, Paul J","Hematopoietic potential of the epidermis","","","$ 175,000","EAST MELBOURNE","AUSTRALIA","03172","","","","  "
"PETER MACCALLUM CANCER CENTRE","5R21AI054158-02","6792093","Ramsay, Robert G","HIV as a key regulator of c-MYB in human cells","","","$ 150,000","EAST MELBOURNE","AUSTRALIA","03172","","","","  "
"PETER MACCALLUM CANCER CENTRE","5R21CA098997-02","6719076","Richardson, Helena E","Identification of cooperating genes in tumorigenesis","","","$ 100,000","EAST MELBOURNE","AUSTRALIA","03172","","","","  "
"POLISH ACADEMY OF SCIENCES","5R01TW006626-02","6803968","Bebenek, Anna ","Fidelity studies of RB69 DNA Polymerase Mutants.","","","$ 54,000","WARSAW","POLAND","0","","","","  "
"POMPEU FABRA UNIVERSITY","1R01DA016768-01A1","6820692","Maldonado, Rafael ","VULNERABILITY TO NICOTINE ADDICTION","","","$ 312,000","BARCELONA","SPAIN","0","","","","  "
"QUEEN'S UNIVERSITY AT KINGSTON","5R01DC005774-02","6694414","Munhall, Kevin G","Visual Contributions to Speech Perception","","","$ 171,990","KINGSTON","CANADA","0","","","","  "
"QUEEN'S UNIVERSITY AT KINGSTON","5U01DK063797-02","6802343","Nickel, J Curtis","Alternative Therapies for Benign Prostatic Hyperplasia","","","$ 258,771","KINGSTON","CANADA","0","","","","  "
"QUEEN'S UNIVERSITY AT KINGSTON","5U01DK065174-02","6798292","Nickel, J Curtis","Chronic Prostatitis Collaborative Research Network CPCRN","","","$ 250,000","KINGSTON","CANADA","0","","","","  "
"QUEEN'S UNIVERSITY AT KINGSTON","5U01DK065178-02","6798275","Nickel, J Curtis","Interstitial Cystitis Clinical Research Network (ICCRN)","","","$ 250,000","KINGSTON","CANADA","0","","","","  "
"QUEEN'S UNIVERSITY AT KINGSTON","5U10CA077202-07","6795007","Pater, Joseph L","Canada Clinical Trails Group Contribution to NCI Program","","","$ 1,335,121","KINGSTON","CANADA","0","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","1R21CA106172-01A1","6799099","Khanna, Rajiv ","Therapeutic Vaccine for EBV-associated Hodgkins Disease","","","$ 121,500","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","1U01AI060579-01","6803876","Good, Michael F","Global GAS Vaccine Based On The M-Protein","","","$ 537,966","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","2R01AI047500-04A2","6818503","Cheng, Qin ","Antigenic Variation and Drug Resistance In P. falciparum","","","$ 159,000","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","5R01AA013326-04","6786038","Martin, Nicholas G","Molecular Epidemiology of Alcoholism 1: Candidate Gene","","","$ 420,656","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","5R01AA014041-02","6797713","Whitfield, John B","VARIATION IN THE EFFECTS OF ALCOHOL ON LIVER FUNCTION","","","$ 467,325","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","5R01CA001833-03","6790012","Whiteman, David C","Molecular epidemiology of Barretts esophagus and cancer","","","$ 270,000","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","5R01CA088363-04","6793322","Hayward, Nicholas K","Pathways from genotype and environment to melanoma","","","$ 187,420","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","5R01CA096731-02","6792114","Lavin, Martin F","Missense mutant Atm and radiation-induced tumorgenesis","","","$ 192,240","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","5R01DK057648-05","6800539","Powell, Lawrie W","HEMOCHROMATOSIS--MECHANISMS AND NOVEL THERAPIES","","","$ 150,000","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND INSTITUTE OF MEDICAL RESEARCH","5R01HD042157-03","6780890","Montgomery, Grant W","Collaborative Study of Genetics of Dizygotic Twinning","","","$ 393,861","BRISBANE  QLD","AUSTRALIA","04029","","","","  "
"QUEENSLAND UNIVERSITY OF TECHNOLOGY","1R01CA101602-01A2","6804315","Kimlin, Michael G","Quantification of the environmental UVA exposure","","","$ 174,824","BRISBANE","AUSTRALIA","0","","","","  "
"RELAIS INTERNATION, INC.","N01LM445638","","","","","","$ 28,500","OTTAWA","CANADA","0","","","","  "
"ROTMAN RESEARCH INSTITUTE","5F32AG022802-02","6816956","Chow, Tiffany W","Serotonergic Function in Dementia","","","$ 54,918","TORONTO","CANADA","0","","","","  "
"ROTMAN RESEARCH INSTITUTE","5F32AG022802-02X1","6916949","Chow, Tiffany W","Serotonergic Function in Dementia","","","$ 5,500","TORONTO","CANADA","0","","","","  "
"ROTMAN RESEARCH INSTITUTE","5R01HD042385-03","6781807","Levine, Brian T","The Neuroanatomy of Cognition in Traumatic Brain Injury","","","$ 291,477","TORONTO","CANADA","0","","","","  "
"ROYAL FREE & UNIV COLLEGE MEDICAL SCH","1R01HL078578-01","6846712","Pepys, Mark B","Targeting C-reactive protein in atherothrombotic disease","","","$ 216,000","LONDON","UNITED KINGDOM","0","","","","  "
"ROYAL MELBOURNE HOSPITAL","1R01HL079545-01","6875990","Lieschke, Graham J","Congenital myeloid failure syndromes in mutant zebrafish","","","$ 270,000","MELBOURNE","AUSTRALIA","0","","","","  "
"ROYAL MELBOURNE HOSPITAL","5R01HL069232-04","6800016","Jane, Stephen M","Role of LBP-1a and p14 NF-E4 in gamma globin gene expre*","","","$ 175,000","MELBOURNE","AUSTRALIA","0","","","","  "
"RUSSIAN ACADEMY OF SCIENCES","1R25TW007101-01","6838286","Yudin, Boris G","BIOETHICS FOR THE COMONWEALTH OF INDEPENDENT STATES","","","$ 50,000","MOSCOW","RUSSIA","0","","","","  "
"SALPETRIERE HOSPITAL","5R01NS041723-03","6805734","Brice, Alexis ","Parkin mutations and their functional consequences","","","$ 237,500","PARIS","FRANCE","0","","","","  "
"SANGER INSTITUTE","1F32GM071196-01","6793016","Rodriguez, Antony ","Analysis of novel non coding mRNA-like RNAs in mice","","","$ 41,796","LONDON","UNITED KINGDOM","0","","","","  "
"SANGER INSTITUTE","1F32GM071196-01X1","6859901","Rodriguez, Antony ","Analysis of novel non coding mRNA-like RNAs in mice.","","","$ 5,500","LONDON","UNITED KINGDOM","0","","","","  "
"SANGER INSTITUTE","5U01HG003168-02","6806416","Dunham, Ian ","Detecting Human Functional Sequences with Microarrays","","","$ 236,630","LONDON","UNITED KINGDOM","0","","","","  "
"SANGER INSTITUTE","7R01HD042276-04","6932940","Stemple, Derek L","Genetic Screens in Xenopus tropicalis","","","$ 135,000","LONDON","UNITED KINGDOM","0","","","","  "
"SILPAKORN UNIVERSITY","5R01TW006201-03","6782689","Thienprasert, Alice ","Omega-3 Fats, Immune Functions and Behavioral Disorders","","","$ 54,000","NAKHON PATHOM","THAILAND","0","","","","  "
"SIMON FRASER UNIVERSITY","5R01AI049111-03","6751317","Scott, Jamie K","Peptide Vaccines to Elicit HIV-1-Neutralizing Antibodies","","","$ 243,000","BURNABY","CANADA","000V5-A 1S","","","","  "
"SIR MORTIMER B. DAVIS/JEWISH GEN HOSP","5R01AI054145-02","6785379","Kleiman, Lawrence ","Role of Lysyl-tRNA Synthetase in HIV-1 Replication","","","$ 259,219","MONTREAL","CANADA","000H3-T 1E","","","","  "
"SIR MORTIMER B. DAVIS/JEWISH GEN HOSP","5R01CA101008-02","6805555","Pollak, Michael N","Silibinin in Prostate Cancer Chemoprevention & Treatment","","","$ 50,000","MONTREAL","CANADA","000H3-T 1E","","","","  "
"SIR MORTIMER B. DAVIS/JEWISH GEN HOSP","5U10CA020156-29","6701301","Margolese, Richard G","PRIMARY BREAST CANCER THERAPY GROUP","","","$ 35,625","MONTREAL","CANADA","000H3-T 1E","","","","  "
"SOUTH AFRICAN MEDICAL RESEARCH COUNCIL","5R01MH064882-03","6751998","Jewkes, Rachel K","RCT OF STEPPING STONES BEHAVIOURAL INTERVENTION FOR HIV","","","$ 270,000","CAPE TOWN","SOUTH AFRICA","0","","","","  "
"SOUTH AFRICAN MEDICAL RESEARCH COUNCIL","5U01AI048008-05","6772549","Ramjee, Gita ","SOUTH AFRICA MRC HIV PREVENTION TRIALS UNIT","","","$ 4,628,732","CAPE TOWN","SOUTH AFRICA","0","","","","  "
"SOUTH AFRICAN MEDICAL RESEARCH COUNCIL","5U01AI048013-05","6693309","Gray, Glenda E","SOUTHERN AFRICA-NEW YORK HIV VACCINE TRIALS UNIT","","","$ 871,348","CAPE TOWN","SOUTH AFRICA","0","","","","  "
"ST. JOSEPH'S HEALTH CENTRE","1R01DA015741-01A1","6821564","Selby, Peter L","Maternal Opioid Treatment: Human Experimental Research","","","$ 216,000","TORONTO","CANADA","000M6-R 1B","","","","  "
"ST. MICHAEL'S HOSPITAL","1U01HL077872-01","6826297","Slutsky, Arthur S","From Bench to Bedside to Curbside","","","$ 90,211","TORONTO","CANADA","000M5-B 1W","","","","  "
"ST. MICHAEL'S HOSPITAL","5R01TW005991-03","6770104","Jha, Prabhat ","Strengthening monitoring of Indian tobacco mortality","","","$ 170,000","TORONTO","CANADA","000M5-B 1W","","","","  "
"ST. MICHAEL'S HOSPITAL","5R21HD045047-02","6806546","Sinderby, Christer ","Neural control of noninvasive ventilation in the preterm","","","$ 107,600","TORONTO","CANADA","000M5-B 1W","","","","  "
"ST. VINCENT'S HOSPITAL, MELBOURNE","1R01HL078651-01","6847633","Nandurkar, Harshal H","A NOVEL APPROACH TO TARGET INFLAMMATION AND THROMBOSIS","","","$ 216,000","FITZROY","AUSTRALIA","0","","","","  "
"ST. VINCENT'S INSTITUTE OF MED RES","5R21CA103076-02","6800800","Price, John T","Molecular Modulators of Breast-Bone Metastasis","","","$ 108,000","VICTORIA","AUSTRALIA","0","","","","  "
"STARPHARMA, LTD","1U19AI060598-01","6804765","Mccarthy, Thomas D","Development of Dendrimer and Combination Microbicides","","","$ 1,376,160","MELBOURNE","AUSTRALIA","00VIC- 800","","","","  "
"STATE UNIVERSITY AT GRONINGEN","5R01HL073710-02","6793193","Dehaan, Gerald ","EXPANSION OF STEM CELLS BY FIBROBLAST GROWTH FACTOR-1","","","$ 270,000","GRONINGEN","NETHERLANDS","0","","","","  "
"SUNNYBROOK & WOMEN'S COLL HLTH SCIS CTR","3R01EB002352-01S1","6928172","Rowlands, John A","Low-cost digital x-ray detectors using liquid crystals","","","$ 27,000","TORONTO","CANADA","000M4-N 3M","","","","  "
"SUNNYBROOK & WOMEN'S COLL HLTH SCIS CTR","5R01CA041233-19","6762360","Kerbel, Robert S","Exploiting Angiogenesis for Induction of Tumor Dormancy","","","$ 203,040","TORONTO","CANADA","000M4-N 3M","","","","  "
"SUNNYBROOK & WOMEN'S COLL HLTH SCIS CTR","5R01EB002352-02","6802409","Rowlands, John A","Low-cost digital x-ray detectors using liquid crystals","","","$ 243,000","TORONTO","CANADA","000M4-N 3M","","","","  "
"SUNNYBROOK & WOMEN'S COLL HLTH SCIS CTR","5R01HL063224-04","6770175","Dumont, Daniel J","Genetic Control of Vascular Remodeling","","","$ 207,578","TORONTO","CANADA","000M4-N 3M","","","","  "
"SUNNYBROOK & WOMEN'S COLL HLTH SCIS CTR","5R21CA100252-02","6744792","Filmus, Jorge E","Glypican-3: A novel marker for hepatocellular carcinoma","","","$ 108,000","TORONTO","CANADA","000M4-N 3M","","","","  "
"SWISS FED INST OF TECHNOLOGY, LAUSANNE","1F32GM072428-01","6834824","Segura, Tatiana ","siRNA Delivery Using a Smart Triblock Copolymer Carrier","","","$ 35,568","LAUSANNE","SWITZERLAND","0","","","","  "
"SWISS FED INST OF TECHNOLOGY, LAUSANNE","1F32GM072428-01X1","6937472","Segura, Tatiana ","siRNA Delivery Using a Smart Triblock Copolymer Carrier","","","$ 5,500","LAUSANNE","SWITZERLAND","0","","","","  "
"SWISS FEDERAL INSTITUTE OF TECHNOLOGY","1F32GM071126-01A1","6885425","Woycechowsky, Kenneth J","Directed divergent evolution of an enzyme active site","","","$ 41,796","ZURICH","SWITZERLAND","0","","","","  "
"SWISS FEDERAL INSTITUTE OF TECHNOLOGY","1F32GM071126-01A1X1","6941074","Woycechowsky, Kenneth J","Directed divergent evolution of an enzyme active site","","","$ 5,500","ZURICH","SWITZERLAND","0","","","","  "
"SWISS FEDERAL INSTITUTE OF TECHNOLOGY","1R01DK060735-01A2","6731272","Langhans, Wolfgang ","Hepatic Metabolic Control of Meal Size and Number","","","$ 184,500","ZURICH","SWITZERLAND","0","","","","  "
"SYDNEY CENTRE FOR REPRODUCTIVE HLTH RES","5R01HD043192-03","6796729","Fraser, Ian S","Control of menstrual bleeding disturbances in women","","","$ 270,000","ASHFIELD","AUSTRALIA","0","","","","  "
"TECHNICAL UNIVERSITY OF DENMARK","N01AI400083","","Lund, Ole","LARGE SCALE ANTIBODY & T CELL EPITOPE DISC PRGM","","","$ 674,150","COPENHAGEN","DENMARK","0","","","","  "
"TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY","1R01CA106456-01","6754707","Vlodavsky, Israel ","Regulation of heparanase in cancer progression","","","$ 177,120","HAIFA","ISRAEL","32000","","","","  "
"TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY","5R01GM062174-03","6772636","Hershko, Avram ","Regulation of cyclosome/APC in the human cell cycle","","","$ 81,000","HAIFA","ISRAEL","32000","","","","  "
"TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY","5R01HL073798-02","6795966","Itskovitzeldor, Joseph ","Angiogenesis Induction by Vasculogenic Progenitor Cells","","","$ 372,000","HAIFA","ISRAEL","32000","","","","  "
"TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY","5R24RR018405-02","6665379","Itskovitzeldor, Joseph ","Infrastructure for Stem Cell Production & Distribution","","","$ 385,269","HAIFA","ISRAEL","32000","","","","  "
"TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY","5T15HL074287-02","6747371","Itskovitzeldor, Joseph ","Short-term course in human embryonic stem cell culture *","","","$ 158,523","HAIFA","ISRAEL","32000","","","","  "
"TEL AVIV UNIVERSITY","5R01CA073056-07","6748418","Beneliyahu, Shamgar ","MECHANISMS AND PREVENTION OF SURGERY-INDUCED METASTASIS","","","$ 135,000","TEL AVIV","ISRAEL","0","","","","  "
"TEL AVIV UNIVERSITY","5R01GM068493-02","6784176","Dascal, Nathan ","G-protein alpha subunits in regulation of GIRK channels","","","$ 170,100","TEL AVIV","ISRAEL","0","","","","  "
"TEL AVIV UNIVERSITY","5R01NS031763-10","6700861","Shiloh, Yosef ","ATAXIA-TELANGIECTASIS: FROM GENE BACK TO PHENOTYPE","","","$ 225,000","TEL AVIV","ISRAEL","0","","","","  "
"TEL AVIV UNIVERSITY","5R03EY013944-03","6779160","Vardimon, Lily ","Neuroprotection by glutamine synthetase","","","$ 81,000","TEL AVIV","ISRAEL","0","","","","  "
"THAI RED CROSS SOCIETY","1U19AI053741-01A1","6732208","Ruxrungtham, Kiat ","HIV Research Program in Thailand and Cambodia","","","$ 800,733","BANGKOK","THAILAND","0","","","","  "
"TMLIVERPOOL SCHOOL OF TROPICAL MEDICINE","5U01AI058271-02","6806448","Hemingway, Janet ","Development of novel resistance management strategies","","","$ 540,584","LIVERPOOL","UNITED KINGDOM","0000L-3 5Q","","","","  "
"TOMSK REG CTR/PREVENTION & TREATMENT","1R03AI058251-01","6730133","Chernov, Alexander S","Prevention &Treatment of HIV/AIDS in Adults and Children","","","$ 53,921","TOMSK","RUSSIA","0","","","","  "
"TRI-SERVICE GENERAL HOSPITAL","N01DA499061","","Chiang, Yung-Hsiao","TAIPEI MDMA USAGE STY","","","$ 344,377","TAIPEI","TAIWAN","0","","","","  "
"TURKU UNIVERSITY CENTRAL HOSPITAL","5U01DK063863-02","6722857","Simell, Olli G","Environmental Triggers of Type 1 Diabetes","","","$ 1,000,000","TURKU","FINLAND","0","","","","  "
"TVW TELETHON INSTITUTE-CHILD HEALTH RES","4R33CA095475-03","6920224","Kees, Ursula R","Prognosis in childhood ALL","","","$ 230,304","SUBIACO","AUSTRALIA","0","","","","  "
"U OF L IMPERIAL COL OF SCI/TECHNLGY/MED","5F32GM068304-02","6775526","Iverson, Tina M","Molecular mechanisms of transport by MFS proteins","","","$ 45,048","LONDON","UNITED KINGDOM","000SW-7 2A","","","","  "
"U OF L IMPERIAL COL OF SCI/TECHNLGY/MED","5F32GM068304-02X1","6902795","Iverson, Tina M","Molecular mechanisms of transport by MFS proteins","","","$ 5,500","LONDON","UNITED KINGDOM","000SW-7 2A","","","","  "
"U OF L IMPERIAL COL OF SCI/TECHNLGY/MED","5R01DK066084-02","6799626","Pennell, Dudley J","MR of Heart Iron: T2*/T2 Calibration & Application","","","$ 270,000","LONDON","UNITED KINGDOM","000SW-7 2A","","","","  "
"U OF L IMPERIAL COL OF SCI/TECHNLGY/MED","N01AI400084","","Altmann, Daniel","LARGE SCALE ANTIBODY & T CELL EPITOPE DISC PRGM","","","$ 999,000","LONDON","UNITED KINGDOM","000SW-7 2A","","","","  "
"U OF L KING'S COLLEGE LONDON","1R01AI061799-01","6831362","Hayday, Adrian C","Unconventional T cell activities in young animals","","","$ 121,500","LONDON","UNITED KINGDOM","00WC2-R 2L","","","","  "
"U OF L KING'S COLLEGE LONDON","5R01DA004376-18","6804974","Stolerman, Ian P","Comprehensive database of drug discrimination research","","","$ 54,000","LONDON","UNITED KINGDOM","00WC2-R 2L","","","","  "
"U OF L KING'S COLLEGE LONDON","5R21AI057110-02","6799189","Lehner, Thomas ","Mucosal SIV-CCR5 receptor vaccine in SIV infection","","","$ 331,159","LONDON","UNITED KINGDOM","00WC2-R 2L","","","","  "
"U OF L KING'S COLLEGE LONDON","5R21NS041930-03","6789345","Cooper, Jonathan D","Comparative Morphology of Neuronal Ceroid Lipofuscinosis","","","$ 128,250","LONDON","UNITED KINGDOM","00WC2-R 2L","","","","  "
"U OF L LONDON SCH/HYGIENE & TROPICAL MED","5R01CA091021-04","6806044","Lee, Kelley ","Globalization, the Tobacco Industry and Policy Influence","","","$ 388,650","LONDON","UNITED KINGDOM","0","","","","  "
"U OF L ST. GEORGE'S HOSPITAL MEDICAL SCH","1R21HD048391-01","6841415","Shattock, Robin J","HIV infection of male genital tissue","","","$ 133,000","LONDON","UNITED KINGDOM","0","","","","  "
"U OF L ST. GEORGE'S HOSPITAL MEDICAL SCH","3R01AA013932-02S1","6951309","Little, Hilary J","Brain corticosterone and alcohol: mechanisms","","","$ 54,000","LONDON","UNITED KINGDOM","0","","","","  "
"U OF L ST. GEORGE'S HOSPITAL MEDICAL SCH","5R01AA013932-02","6744477","Little, Hilary J","Brain corticosterone and alcohol: mechanisms","","","$ 243,000","LONDON","UNITED KINGDOM","0","","","","  "
"U OF L ST. GEORGE'S HOSPITAL MEDICAL SCH","5R01AA014262-03","6754490","Little, Hilary J","Neuronal Basis of Control of Alcohol Consumption","","","$ 168,750","LONDON","UNITED KINGDOM","0","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","1P41HG003345-01","6825396","Povey, M Susan","Human Gene Nomenclature","","","$ 449,112","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","1R01AG023522-01","6754917","Marmot, Michael G","Health disparities and aging in societies in transition","","","$ 454,136","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","1R03EY015287-01","6719813","Gilbert, Ruth E","Outcomes in congenital toxoplasmic retinochoroiditis","","","$ 54,000","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","1R21DK064002-01A1","6772865","Rumsby, Gill ","Effect of hyperoxaluria on gene expression in the kidney","","","$ 108,000","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","3R01AG017644-05S1A1","6820861","Marmot, Michael G","Genetic Resources of the English Longit Study of Aging","","","$ 499,595","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","3R01MH066570-02S1","6892002","Cowan, Frances M","Randomized trial of HIV/STI prevention in Zimbabwe youth","","","$ 49,890","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","4R37AG013196-09","6761688","Marmot, Michael G","CHANGES IN HEALTH: SOCIO-ECONOMIC STATUS AND PATHWAYS","","","$ 405,902","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","5R01AG017644-05","6792602","Marmot, Michael G","ENGLISH LONGITUDINAL STUDY OF AGING","","","$ 1,253,743","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","5R01AI051355-02","6771730","Griffiths, Paul D","PHASE IB TRIAL OF CYTOMEGALOVIRUS GLYCOPROTEIN B VACCINE","","","$ 1","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","5R01HL036310-17","6792101","Marmot, Michael G","Social and Occupational Influences on Health and Illness","","","$ 288,106","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","5R01MH060156-05","6790538","Stern, Claudio D","Early events in neural and homeogenetic induction","","","$ 162,000","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","5R01MH066570-03","6797323","Cowan, Frances M","Randomized trial of HIV/STI prevention in Zimbabwe youth","","","$ 592,839","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","5R01NS040865-04","6773995","Jahanshahi, Marjan ","DEEP BRAIN STIMULATION--COGNITION/MOTIVATION/MOOD IN PD","","","$ 75,000","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"U OF L UNIVERSITY COLLEGE LONDON","5R21TW006761-02","6805717","Karmiloffsmith, Annette ","Cognitive-Brain Phenotyping of Atypical Chinese Children","","","$ 108,000","LONDON","UNITED KINGDOM","00WC1-E 6B","","","","  "
"UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA","1D71TW006894-01","6761492","Laniadolaborin, Rafael ","UABC Center for Clin Research Training in Aids and TB","","","$ 79,560","MEXICALI","MEXICO","0","","","","  "
"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","1R01GM071962-01","6811226","Colladovides, Julio ","Gene Regulation: E.coli Database Integrated Modeling","","","$ 216,000","CUERNAVACA","MEXICO","0","","","","  "
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","5P01AI051976-03","6768681","Garcia, Hector H","New Tools to Understand and Control Endemic Parasites","","","$ 681,995","LIMA","PERU","0","","","","  "
