OS TB 12/05/95 C&D: Source x Race-Cases '94



 Table R56.  Number of nonfatal occupational injuries and illnesses involving days away from work(1) by source of
 injury or illness and race or ethnic origin of worker, 1994
 __________________________________________________________________________________________________________________
                                 |           |         |                                                           
                                 |           |         |                   Race or ethnic origin                   
                                 |           |         |___________________________________________________________
                                 |   Source  | Private |         |         |         |         |         |         
        unspecified..............|    4120   |    8,035|    4,864|      577|      902|       78|       63|    1,552
       Concrete or clay pipes and|           |         |         |         |         |         |         |         
        conduits.................|    4121   |      660|      389|       35|       46|    -    |    -    |      189
       Ducts.....................|    4122   |      856|      502|       43|       68|       34|    -    |      202
       Metal pipe, tubing........|    4123   |    4,795|    2,792|      442|      633|       39|    -    |      880
       Pipe fittings.............|    4124   |      398|      270|       54|       20|    -    |    -    |       49
       Plastic or rubber pipe and|           |         |         |         |         |         |         |         
        tubing...................|    4125   |      640|      365|       77|       84|       18|    -    |       89
       Pipes, ducts, tubing,     |           |         |         |         |         |         |         |         
        n.e.c. ..................|    4129   |    2,157|    1,349|      223|      367|    -    |    -    |      188
     Structural metal materials..|     413   |   41,833|   25,556|    3,026|    3,379|      528|      136|    9,208
       Structural metal          |           |         |         |         |         |         |         |         
        materials, unspecified...|    4130   |    4,707|    2,804|      338|      568|       15|       44|      938
       Angle iron................|    4131   |    1,522|      872|      143|      117|    -    |       11|      376
       Bars, rods, reinforcing   |           |         |         |         |         |         |         |         
        bar (rebar)..............|    4132   |    8,069|    4,670|      602|      676|      233|       12|    1,876
       Beams.....................|    4133   |    5,747|    3,666|      527|      381|       57|       24|    1,093
       Grates....................|    4134   |    1,260|      739|       67|       54|    -    |    -    |      392
       Plates, metal panels......|    4135   |    6,815|    3,962|      400|      598|       36|       12|    1,807
       Rails.....................|    4136   |    2,226|    1,274|      238|       91|       76|    -    |      543
       Sheet metal...............|    4137   |    5,297|    3,668|      262|      358|       31|    -    |      975
       Structural metal          |           |         |         |         |         |         |         |         
        materials, n.e.c. .......|    4139   |    6,190|    3,902|      450|      536|       69|       26|    1,207
     Tiles, shingles.............|     414   |    1,847|    1,207|      126|      198|    -    |       15|      295
       Tiles, shingles,          |           |         |         |         |         |         |         |         
        unspecified..............|    4140   |      291|      156|    -    |       66|    -    |    -    |       38
       Ceiling tiles.............|    4141   |      414|      306|    -    |       18|    -    |    -    |       78
       Ceramic or stone          |           |         |         |         |         |         |         |         
        tiles--drain, roof,      |           |         |         |         |         |         |         |         
        multipurpose.............|    4142   |      152|       79|       26|       18|    -    |    -    |       29
       Roof shingles, except tile|    4143   |      502|      309|       34|       48|    -    |    -    |      103
       Vinyl floor tiles.........|    4144   |      263|      208|    -    |       18|    -    |    -    |       28
       Tiles, shingles, n.e.c. ..|    4149   |      225|      149|       29|       29|    -    |    -    |       18
     Wood, lumber................|     415   |   25,992|   15,149|    2,059|    2,447|      283|      156|    5,898
       Wood, lumber, unspecified.|    4150   |    7,659|    4,201|      677|      759|      119|       31|    1,871
       Dimensional lumber:  2x4, |           |         |         |         |         |         |         |         
        2x3, etc. ...............|    4151   |    9,152|    5,903|      599|      766|      133|       28|    1,723
       Plywood; wood paneling;   |           |         |         |         |         |         |         |         
        particle, chip, flake    |           |         |         |         |         |         |         |         
        board....................|    4152   |    4,654|    2,401|      332|      654|       19|       58|    1,190
       Wood pieces, trim pieces, |           |         |         |         |         |         |         |         
        n.e.c. ..................|    4153   |    1,248|      700|      118|       92|    -    |    -    |      330
       Wood, lumber, n.e.c. .....|    4159   |    3,279|    1,944|      334|      176|    -    |       36|      783
     Other building              |           |         |         |         |         |         |         |         
      materials--solid           |           |         |         |         |         |         |         |         
      elements...................|     419   |    8,895|    5,719|      813|      676|      110|    -    |    1,555
       Other building            |           |         |         |         |         |         |         |         
        materials--solid         |           |         |         |         |         |         |         |         
        elements, unspecified....|    4190   |      132|      106|       11|    -    |    -    |    -    |       12
       Fencing and screening     |           |         |         |         |         |         |         |         
        materials, n.e.c. .......|    4191   |      100|       71|    -    |    -    |    -    |    -    |       19
       Flashing..................|    4192   |       54|    -    |       15|    -    |    -    |    -    |       14
       Glass, window panes.......|    4193   |    3,383|    2,033|      342|      298|       51|    -    |      650
       Gutters, downspouts.......|    4194   |      161|      114|       27|       14|    -    |    -    |    -    
       Sheet flooring............|    4195   |       70|       41|    -    |    -    |    -    |    -    |    -    
       Siding--aluminum, vinyl...|    4196   |      684|      458|       96|       30|    -    |    -    |       75
       Structural hardware,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|    4197   |      323|      158|       45|       19|    -    |    -    |       94
       Wallboard, drywall........|    4198   |    3,134|    2,142|      209|      256|       27|    -    |      497
       Other building            |           |         |         |         |         |         |         |         
        materials--solid         |           |         |         |         |         |         |         |         
        elements, n.e.c. ........|    4199   |      853|      576|       42|       50|    -    |    -    |      185
   Fasteners, connectors, ropes, |           |         |         |         |         |         |         |         
    ties.........................|      42   |   27,234|   15,124|    2,292|    3,279|      294|      121|    6,125
     Fasteners, connectors,      |           |         |         |         |         |         |         |         
      ropes, ties,               |           |         |         |         |         |         |         |         
      unspecified................|     420   |      284|      143|    -    |       14|    -    |    -    |      118
     Fasteners...................|     421   |   15,296|    8,350|    1,369|    2,002|      175|       80|    3,320
       Fasteners, unspecified....|    4210   |       91|       65|    -    |    -    |    -    |    -    |    -    
       Clamps, couplings.........|    4211   |      971|      364|       71|      263|    -    |    -    |      270
       Nails, brads, tacks.......|    4212   |    9,604|    5,467|      905|    1,275|       94|       36|    1,827
       Nuts, bolts, washers......|    4213   |    1,483|      900|       94|       55|    -    |    -    |      432
       Rivets....................|    4214   |      200|       91|    -    |       26|    -    |    -    |       68
       Screws....................|    4215   |      545|      267|       42|       87|    -    |       28|      100
       Spikes....................|    4216   |       74|       51|    -    |    -    |    -    |    -    |       15
       Staples...................|    4217   |    1,329|      658|      147|      205|    -    |       15|      283
       Fasteners, n.e.c. ........|    4219   |      999|      487|       93|       87|       26|    -    |      304
     Ropes, ties.................|     422   |    9,908|    5,584|      831|    1,078|      100|       25|    2,291
       Ropes, ties, unspecified..|    4220   |      582|      316|       62|       13|    -    |    -    |      183
       Bands.....................|    4221   |    1,423|      848|      122|      210|    -    |    -    |      234
       Bungee cords..............|    4222   |      211|      112|       20|       32|    -    |    -    |       45
       Chains, n.e.c. ...........|    4223   |    2,541|    1,439|      251|      280|       13|    -    |      557
       Rope, twine, string.......|    4224   |      685|      336|       25|      110|    -    |    -    |      193
       Strapping.................|    4225   |    1,019|      533|       68|      122|       12|    -    |      278
       Wire--nonelectrical.......|    4226   |    3,047|    1,758|      255|      279|       41|    -    |      705
       Ropes, ties, n.e.c. ......|    4229   |      398|      241|       28|       33|    -    |    -    |       94
     Valves, nozzles.............|     423   |    1,302|      768|       52|      150|       14|       13|      304
     Fasteners, connectors,      |           |         |         |         |         |         |         |         
      ropes, ties, n.e.c. .......|     429   |      444|      279|       34|       34|    -    |    -    |       92
   Hoisting accessories..........|      43   |    1,671|      760|      193|      210|    -    |    -    |      500
     Hoisting accessories,       |           |         |         |         |         |         |         |         
      unspecified................|     430   |      174|       45|       14|       19|    -    |    -    |       96
     Fixtures, load indicators...|     431   |       67|       35|    -    |       11|    -    |    -    |       19
     Hooks, shackles, magnets,   |           |         |         |         |         |         |         |         
      clamshells.................|     432   |    1,057|      497|      132|      168|    -    |    -    |      257
     Slings......................|     433   |       59|       35|    -    |    -    |    -    |    -    |    -    
     Hoisting accessories, n.e.c.|           |         |         |         |         |         |         |         
      ...........................|     439   |      314|      148|       38|    -    |    -    |    -    |      119
   Machine, tool, and electric   |           |         |         |         |         |         |         |         
    parts........................|      44   |   32,630|   19,425|    2,305|    2,664|      634|       77|    7,526
     Machine, tool, and electric |           |         |         |         |         |         |         |         
      parts, unspecified.........|     440   |    1,080|      511|       25|       83|       15|    -    |      440
     Electric parts..............|     441   |    9,886|    5,838|      454|      892|      145|       33|    2,524
       Electric parts,           |           |         |         |         |         |         |         |         
        unspecified..............|    4410   |      561|      284|    -    |    -    |       13|    -    |      249
       Electrical wiring.........|    4411   |    3,726|    2,149|      117|      249|       78|       15|    1,118
       Generators................|    4412   |      682|      526|       33|       45|    -    |    -    |       74
       Magnetic and electrolytic |           |         |         |         |         |         |         |         
        apparatus................|    4413   |       54|       38|    -    |    -    |    -    |    -    |    -    
       Motors....................|    4414   |    1,826|    1,085|       85|      278|    -    |    -    |      353
       Power lines, transformers,|           |         |         |         |         |         |         |         
        convertors...............|    4415   |    1,074|      595|       54|      182|    -    |    -    |      234
       Relays, rheostats,        |           |         |         |         |         |         |         |         
        starters, controls.......|    4416   |      265|      185|       44|    -    |    -    |    -    |       30
       Switchboards, switches,   |           |         |         |         |         |         |         |         
        fuses....................|    4417   |      327|      211|       12|       12|    -    |    -    |       87
       Electric parts, n.e.c. ...|    4419   |    1,373|      764|      101|      110|    -    |    -    |      370
     Machine and appliance parts.|     442   |   19,030|   11,515|    1,612|    1,467|      391|       33|    4,011
       Machine and appliance     |           |         |         |         |         |         |         |         
        parts, unspecified.......|    4420   |    1,588|    1,106|      105|       95|       47|    -    |      234
       Dies, molds, patterns.....|    4421   |    5,539|    3,136|      661|      510|      189|       13|    1,030
       Drives--chain, leather,   |           |         |         |         |         |         |         |         
        fabric, vee belt.........|    4422   |      459|      298|    -    |       47|    -    |    -    |       93
       Drums, pulleys, sheaves...|    4423   |    3,745|    2,235|      384|      235|       83|    -    |      804
       Engines, turbines, except |           |         |         |         |         |         |         |         
        vehicle..................|    4424   |      213|      137|       15|    -    |    -    |    -    |       35
       Friction clutches.........|    4425   |      234|      195|    -    |    -    |    -    |    -    |       32
       Gears.....................|    4426   |      502|      332|       18|       24|    -    |    -    |      117
       Rollers...................|    4427   |    1,599|      920|      114|       85|       24|    -    |      454
       Machine and appliance     |           |         |         |         |         |         |         |         
        parts, n.e.c. ...........|    4429   |    5,149|    3,155|      294|      448|       32|    -    |    1,212
     Tool parts, accessories.....|     443   |    1,591|    1,002|      121|      101|       79|    -    |      283
       Tool parts, accessories,  |           |         |         |         |         |         |         |         
        unspecified..............|    4430   |      242|      212|    -    |    -    |    -    |    -    |       18
       Drill bits--unattached....|    4431   |      505|      279|       12|       14|       60|    -    |      140
       Saw blades--unattached....|    4432   |      377|      226|       63|       36|    -    |    -    |       50
       Tool parts, accessories,  |           |         |         |         |         |         |         |         
        n.e.c. ..................|    4439   |      467|      285|       44|       46|       10|    -    |       76
     Machine, tool, and electric |           |         |         |         |         |         |         |         
      parts, n.e.c. .............|     449   |    1,043|      559|       93|      120|    -    |    -    |      266
   Metal materials--nonstructural|      45   |   12,784|    7,920|    1,026|    1,146|      113|       20|    2,560
     Metal                       |           |         |         |         |         |         |         |         
      materials--nonstructural,  |           |         |         |         |         |         |         |         
      unspecified................|     450   |    3,527|    2,124|      235|      302|       35|    -    |      826
     Metal sheets, ingots, bars--|           |         |         |         |         |         |         |         
      nonstructural..............|     451   |    4,204|    2,778|      296|      261|    -    |    -    |      838
     Molten or hot metals, slag..|     452   |    3,150|    1,772|      387|      331|       24|    -    |      635
     Metal                       |           |         |         |         |         |         |         |         
      materials--nonstructural,  |           |         |         |         |         |         |         |         
      n.e.c. ....................|     459   |    1,904|    1,246|      109|      252|       31|    -    |      262
   Tars, sealants, caulking,     |           |         |         |         |         |         |         |         
    insulating materials.........|      46   |    2,544|    1,281|      305|      497|       42|    -    |      397
     Tars, sealants, caulking,   |           |         |         |         |         |         |         |         
      insulating materials,      |           |         |         |         |         |         |         |         
      unspecified................|     460   |      360|      138|       97|       28|    -    |    -    |       92
     Asphalt, roofing tar........|     461   |    1,260|      735|      138|      215|       28|       19|      125
     Fiberglass insulation.......|     462   |      531|      199|       28|      210|    -    |    -    |       91
     Foam caulking, foam         |           |         |         |         |         |         |         |         
      insulation.................|     463   |      107|       61|       13|    -    |    -    |    -    |    -    
     Joint compound, patching    |           |         |         |         |         |         |         |         
      compounds..................|     464   |       11|    -    |    -    |    -    |    -    |    -    |    -    
     Plastic, vinyl caulking.....|     465   |       52|       25|    -    |    -    |    -    |    -    |       16
     Sealants, waterproofers,    |           |         |         |         |         |         |         |         
      n.e.c. ....................|     466   |      116|       75|    -    |    -    |    -    |    -    |       29
     Tars, sealants, caulking,   |           |         |         |         |         |         |         |         
      insulating materials,      |           |         |         |         |         |         |         |         
      n.e.c. ....................|     469   |      107|       46|    -    |       16|    -    |    -    |       17
   Tarps and sheeting--nonmetal..|      47   |    1,426|      955|       86|       84|    -    |    -    |      279
     Tarps and                   |           |         |         |         |         |         |         |         
      sheeting--nonmetal,        |           |         |         |         |         |         |         |         
      unspecified................|     470   |      495|      362|    -    |       28|    -    |    -    |       95
     Roofing paper, roofing felt.|     471   |      155|      102|       18|       15|    -    |    -    |       20
     Tarps; plastic or fabric    |           |         |         |         |         |         |         |         
      sheeting...................|     472   |      640|      434|       24|    -    |       19|    -    |      143
     Tarps and                   |           |         |         |         |         |         |         |         
      sheeting--nonmetal, n.e.c. |     479   |      136|       58|       37|    -    |    -    |    -    |    -    
   Vehicle and mobile equipment  |           |         |         |         |         |         |         |         
    parts........................|      48   |   33,985|   22,287|    2,138|    1,917|      267|      150|    7,226
     Vehicle and mobile equipment|           |         |         |         |         |         |         |         
      parts,                     |           |         |         |         |         |         |         |         
      unspecified................|     480   |    2,004|      932|       75|       78|    -    |    -    |      914
     Tires, inner tubes, wheels..|     481   |   10,035|    7,089|      724|      458|      157|    -    |    1,599
       Tires, inner tubes,       |           |         |         |         |         |         |         |         
        wheels, unspecified......|    4810   |    1,179|      740|      184|       66|       28|    -    |      160
       Tire inner tubes..........|    4812   |       96|       58|       26|    -    |    -    |    -    |       11
       Tires, except bike........|    4813   |    5,821|    4,047|      379|      326|      112|    -    |      953
       Wheels, tire rims.........|    4814   |    2,314|    1,739|       90|       49|       13|    -    |      423
       Tires, inner tubes,       |           |         |         |         |         |         |         |         
        wheels, n.e.c. ..........|    4819   |      604|      489|       44|       18|    -    |    -    |       48
     Engine parts and accessories|     482   |    9,592|    6,799|      640|      556|       54|      137|    1,406
       Engine parts and          |           |         |         |         |         |         |         |         
        accessories, unspecified.|    4820   |      542|      312|    -    |       84|    -    |    -    |      124
       Battery...................|    4821   |    1,729|    1,094|      234|      102|    -    |       12|      282
       Belts, hoses..............|    4822   |      214|       96|    -    |    -    |    -    |    -    |       71
       Engine block..............|    4823   |      962|      605|       50|      114|    -    |    -    |      184
       Fan.......................|    4824   |       74|       62|    -    |    -    |    -    |    -    |    -    
       Muffler, exhaust..........|    4825   |      876|      745|    -    |    -    |    -    |    -    |      104
       Radiator..................|    4826   |      244|      121|       14|       34|    -    |    -    |       75
       Transmission..............|    4827   |    1,939|    1,582|       96|      118|       38|    -    |      101
       Engine parts and          |           |         |         |         |         |         |         |         
        accessories, n.e.c. .....|    4829   |    3,011|    2,182|      173|       81|    -    |      112|      461
     Trailers....................|     483   |    3,350|    2,057|      231|      346|    -    |    -    |      703
     Windshields, vehicle windows|     484   |      405|      273|       27|    -    |    -    |    -    |      104
     Vehicle and mobile equipment|           |         |         |         |         |         |         |         
      parts, n.e.c. .............|     489   |    8,599|    5,138|      440|      478|       43|    -    |    2,500
   Parts and materials, n.e.c. ..|      49   |   14,935|    8,162|    1,562|      961|      341|       33|    3,877
                                 |           |         |         |         |         |         |         |         
 Persons, plants, animals, and   |           |         |         |         |         |         |         |         
  minerals.......................|       5   |  504,058|  282,726|   45,734|   35,624|    7,278|    1,750|  130,947
   Animals and animal products...|      51   |   13,564|    8,235|    1,223|    1,181|      163|       48|    2,715
     Animals, unspecified........|     510   |      120|       68|    -    |    -    |    -    |    -    |       43
     Animal products--nonfood....|     511   |      591|      224|       64|      155|    -    |    -    |      139
       Animal products--nonfood, |           |         |         |         |         |         |         |         
        unspecified..............|    5110   |       14|       11|    -    |    -    |    -    |    -    |    -    
       Bones, shells.............|    5111   |      304|      141|       18|       59|    -    |    -    |       80
       Hides--leather............|    5114   |      219|       64|       34|       83|    -    |    -    |       38
       Animal products--nonfood, |           |         |         |         |         |         |         |         
        n.e.c. ..................|    5119   |       43|    -    |    -    |    -    |    -    |    -    |    -    
     Birds and fowl..............|     512   |      208|       76|       68|       17|    -    |    -    |       44
       Birds, except fowl........|    5121   |       16|    -    |       14|    -    |    -    |    -    |    -    
       Chicken...................|    5122   |      104|       44|       39|    -    |    -    |    -    |       16
       Turkeys...................|    5125   |       66|       18|    -    |       13|    -    |    -    |       26
     Fish, shellfish.............|     513   |      381|      135|       69|       25|    -    |    -    |      137
     Insects, arachnids (spiders,|           |         |         |         |         |         |         |         
      ticks, scorpions, etc.)....|     514   |    7,168|    4,407|      782|      596|      116|       17|    1,249
     Mammals, except humans......|     515   |    4,706|    3,046|      210|      333|       29|    -    |    1,068
       Mammals, unspecified......|    5150   |       25|       13|    -    |    -    |    -    |    -    |    -    
       Cats......................|    5151   |      713|      495|       14|    -    |    -    |    -    |      198
       Cattle....................|    5152   |      708|      429|       15|      144|    -    |       14|      104
       Dogs......................|    5153   |    1,974|    1,294|       90|       48|       19|    -    |      522
       Horses....................|    5154   |      894|      603|       34|       79|    -    |    -    |      174
       Rats, rodents.............|    5155   |       11|    -    |    -    |    -    |    -    |    -    |    -    
       Swine.....................|    5157   |      248|      132|       31|       45|    -    |    -    |       34
       Mammals, n.e.c. ..........|    5159   |      129|       79|       11|    -    |    -    |    -    |       30
     Reptiles, snakes............|     516   |      122|       70|       18|       18|    -    |    -    |       15
     Animal waste products,      |           |         |         |         |         |         |         |         
      including manure...........|     517   |      208|      165|    -    |       24|    -    |    -    |       17
     Animals, n.e.c. ............|     519   |       61|       43|    -    |    -    |    -    |    -    |    -    
   Food products--fresh or       |           |         |         |         |         |         |         |         
    processed....................|      52   |   13,062|    6,356|      781|    1,288|      402|       16|    4,219
     Food products--fresh or     |           |         |         |         |         |         |         |         
      processed,                 |           |         |         |         |         |         |         |         
      unspecified................|     520   |      547|      255|       63|       11|    -    |    -    |      213
     Bakery products, candy,     |           |         |         |         |         |         |         |         
      confections, snack foods...|     521   |      592|      287|       38|       28|    -    |    -    |      230
     Beverages, n.e.c. ..........|     522   |    1,243|      742|       36|    -    |       44|    -    |      395
     Dairy products..............|     523   |      447|      294|    -    |    -    |    -    |    -    |      124
     Fruits, nuts, vegetables....|     524   |      671|      173|       27|      114|       12|    -    |      344
     Grains, grain mill products.|     525   |      200|      157|    -    |    -    |       14|    -    |       19
     Meat, poultry...............|     526   |    1,900|      827|      174|      244|       36|    -    |      617
     Seafood.....................|     527   |      332|      160|    -    |       32|    -    |    -    |      114
     Multiple foods or groceries.|     528   |      611|      361|    -    |       65|    -    |    -    |      175
     Other food products--fresh  |           |         |         |         |         |         |         |         
      or processed...............|     529   |    6,519|    3,098|      399|      748|      281|    -    |    1,988
       Fats, oils................|    5291   |    4,752|    1,791|      298|      635|      246|    -    |    1,782
       Sugar, cocoa, chocolate...|    5292   |       37|       24|    -    |    -    |    -    |    -    |    -    
       Other food products--fresh|           |         |         |         |         |         |         |         
        or processed, n.e.c. ....|    5299   |    1,730|    1,284|      101|      109|       34|    -    |      196
   Infectious and parasitic      |           |         |         |         |         |         |         |         
    agents.......................|      53   |    3,296|    1,691|      466|      142|      156|    -    |      839
     Infectious and parasitic    |           |         |         |         |         |         |         |         
      agents, unspecified........|     530   |      694|      346|       66|       94|       30|    -    |      158
     Bacteria....................|     531   |      726|      302|      159|       18|       29|    -    |      216
     Fungi.......................|     532   |       41|       16|    -    |    -    |    -    |    -    |       18
     Viruses.....................|     533   |    1,531|      864|      171|       30|       94|    -    |      372
     Infectious and parasitic    |           |         |         |         |         |         |         |         
      agents, n.e.c. ............|     539   |      305|      162|       66|    -    |    -    |    -    |       76
   Metallic minerals.............|      54   |      144|    -    |    -    |    -    |    -    |    -    |      114
     Metallic minerals,          |           |         |         |         |         |         |         |         
      unspecified................|     540   |      110|    -    |    -    |    -    |    -    |    -    |      103
     Metal ores--nonradiating....|     541   |       14|    -    |    -    |    -    |    -    |    -    |    -    
     Metallic minerals, n.e.c. ..|     549   |       11|    -    |    -    |    -    |    -    |    -    |    -    
   Nonmetallic minerals, except  |           |         |         |         |         |         |         |         
    fuel.........................|      55   |    6,645|    3,714|      367|      546|       47|      141|    1,830
     Nonmetallic minerals, except|           |         |         |         |         |         |         |         
      fuel,                      |           |         |         |         |         |         |         |         
      unspecified................|     550   |      525|    -    |    -    |    -    |    -    |    -    |      516
     Asbestos....................|     551   |       42|       16|    -    |    -    |    -    |    -    |       18
     Boulders....................|     552   |      110|       45|    -    |       58|    -    |    -    |    -    
     Clay--natural and processed.|     553   |      102|       57|    -    |    -    |    -    |    -    |       38
     Dirt, earth.................|     554   |      824|      536|       46|       94|    -    |    -    |      138
     Rocks, crushed stone........|     555   |    4,324|    2,664|      223|      346|       40|      128|      922
     Sand, gravel................|     556   |      606|      326|       62|       44|    -    |    -    |      168
     Silica......................|     557   |       20|    -    |       14|    -    |    -    |    -    |    -    
     Nonmetallic minerals, except|           |         |         |         |         |         |         |         
      fuel, n.e.c. ..............|     559   |       92|       56|    -    |    -    |    -    |    -    |    -    
   Person--injured or ill worker.|      56   |  344,983|  195,568|   23,608|   25,681|    4,362|    1,086|   94,678
     Bodily conditions of        |           |         |         |         |         |         |         |         
      injured, ill worker........|     561   |    9,319|    3,912|      961|    1,093|      317|       14|    3,021
     Bodily motion or position of|           |         |         |         |         |         |         |         
      injured, ill worker........|     562   |  331,936|  188,912|   22,354|   24,467|    4,042|    1,064|   91,097
     Person--injured or ill      |           |         |         |         |         |         |         |         
      worker, n.e.c. ............|     569   |    3,728|    2,743|      293|      121|    -    |    -    |      560
   Person--other than injured or |           |         |         |         |         |         |         |         
    ill worker...................|      57   |  111,104|   61,175|   18,066|    5,109|    2,073|      389|   24,292
     Person--other than injured, |           |         |         |         |         |         |         |         
      ill worker, unspecified....|     570   |    2,039|    1,225|      144|       80|    -    |       11|      558
     Bodily fluids or substances |           |         |         |         |         |         |         |         
      of person..................|     571   |      176|       96|       28|       26|    -    |    -    |       26
     Co-worker, former co-worker |           |         |         |         |         |         |         |         
      of injured or ill worker...|     572   |    4,488|    2,640|      406|      220|      168|       12|    1,043
     Health care patient or      |           |         |         |         |         |         |         |         
      resident of health care    |           |         |         |         |         |         |         |         
      facility...................|     573   |   93,040|   51,695|   16,061|    3,686|    1,642|      286|   19,670
     Relative of injured or ill  |           |         |         |         |         |         |         |         
      worker.....................|     574   |       42|       27|    -    |    -    |    -    |    -    |       15
     Person--other than injured  |           |         |         |         |         |         |         |         
      or ill worker, n.e.c. .....|     579   |   11,319|    5,492|    1,427|    1,096|      242|       81|    2,980
   Plants, trees, vegetation--not|           |         |         |         |         |         |         |         
    processed....................|      58   |   11,129|    5,883|    1,200|    1,658|       75|       68|    2,245
     Plants, trees,              |           |         |         |         |         |         |         |         
      vegetation--not processed, |           |         |         |         |         |         |         |         
      unspecified................|     580   |      492|      330|       26|       49|    -    |    -    |       87
     Cash grain crops............|     581   |       74|       31|    -    |       18|    -    |    -    |       24
     Field crops.................|     582   |      215|       32|    -    |      146|    -    |    -    |       25
     Flowers.....................|     583   |      311|      165|       13|       73|    -    |    -    |       56
     Houseplants.................|     584   |       97|       58|    -    |       19|    -    |       13|    -    
     Poison ivy, oak, sumac......|     585   |    1,285|      769|      182|      120|       11|    -    |      201
     Shrubs, grasses.............|     586   |      597|      336|    -    |       79|    -    |    -    |      150
     Trees, logs.................|     587   |    6,719|    3,490|      799|      875|       50|       39|    1,465
     Plants, trees,              |           |         |         |         |         |         |         |         
      vegetation--not processed, |           |         |         |         |         |         |         |         
       n.e.c. ...................|     589   |    1,339|      671|      149|      278|    -    |    -    |      230
   Persons, plants, animals, and |           |         |         |         |         |         |         |         
    minerals, n.e.c. ............|      59   |      129|       80|       17|       17|    -    |    -    |       15
                                 |           |         |         |         |         |         |         |         
 Structures and surfaces.........|       6   |  416,359|  234,239|   35,745|   35,925|    5,575|    1,126|  103,749
   Structures and surfaces,      |           |         |         |         |         |         |         |         
    unspecified..................|      60   |    1,177|      581|       80|      201|    -    |    -    |      312
   Building systems..............|      61   |       62|       38|    -    |    -    |    -    |    -    |       11
     Building systems, n.e.c. ...|     619   |       12|    -    |    -    |    -    |    -    |    -    |    -    
   Floors, walkways, ground      |           |         |         |         |         |         |         |         
    surfaces.....................|      62   |  359,855|  203,368|   30,474|   30,797|    4,315|    1,008|   89,893
     Floors, walkways, ground    |           |         |         |         |         |         |         |         
      surfaces,                  |           |         |         |         |         |         |         |         
      unspecified................|     620   |   32,870|   16,464|    1,821|    4,460|      450|       92|    9,582
     Escalators..................|     621   |      385|      182|       84|    -    |    -    |    -    |      112
     Floors......................|     622   |  185,051|  101,047|   18,206|   15,902|    2,696|      434|   46,766
       Floor, unspecified........|    6220   |   13,330|    7,069|      843|    1,508|      275|       51|    3,584
       Floor of building.........|    6221   |  161,195|   89,028|   16,280|   13,013|    2,288|      360|   40,227
       Floor of elevator.........|    6222   |      366|      133|       64|       39|       13|    -    |      115
       Floor of mine.............|    6223   |      711|       54|    -    |       28|    -    |    -    |      629
       Floor of scaffold,        |           |         |         |         |         |         |         |         
        staging, or temporary    |           |         |         |         |         |         |         |         
        work platform............|    6224   |    1,757|      889|      272|      267|       13|    -    |      315
       Floor of vehicle..........|    6225   |    3,536|    1,841|      299|      308|       28|    -    |    1,053
       Floor, n.e.c. ............|    6229   |    4,158|    2,033|      448|      739|       79|       15|      844
     Ground......................|     623   |   67,859|   41,634|    4,257|    6,158|      389|      301|   15,119
     Sidewalks, paths, outdoor   |           |         |         |         |         |         |         |         
      walkways...................|     624   |   12,072|    7,132|      882|      750|      171|       33|    3,105
     Stairs, steps...............|     625   |   25,401|   13,885|    2,518|    1,716|      324|       62|    6,896
       Stairs, steps, unspecified|    6250   |   12,654|    6,643|    1,257|      838|      226|       38|    3,651
       Stairs, steps--indoors....|    6251   |    8,728|    4,908|      837|      703|       82|       15|    2,182
       Stairs, steps--outdoors...|    6252   |    4,019|    2,334|      423|      175|       15|    -    |    1,063
     Street, road................|     626   |    6,830|    4,937|      524|      205|       68|       19|    1,078
     Surfaces below ground level,|           |         |         |         |         |         |         |         
      n.e.c. ....................|     627   |    3,725|    1,970|      397|      243|    -    |       17|    1,090
       Surfaces below ground     |           |         |         |         |         |         |         |         
        level, unspecified.......|    6270   |      804|      308|      103|       28|    -    |    -    |      362
       Ditches, channels,        |           |         |         |         |         |         |         |         
        trenches, excavations....|    6271   |    1,244|      693|      180|      126|    -    |    -    |      232
       Other surfaces below      |           |         |         |         |         |         |         |         
        ground level, n.e.c. ....|    6279   |    1,677|      970|      114|       89|    -    |    -    |      495
     Parking lots................|     628   |   16,277|   10,880|    1,106|      706|      133|       26|    3,426
     Other floors, walkways,     |           |         |         |         |         |         |         |         
      ground surfaces............|     629   |    9,386|    5,238|      680|      651|       76|    -    |    2,719
       Other floors, walkways,   |           |         |         |         |         |         |         |         
        ground surfaces,         |           |         |         |         |         |         |         |         
        unspecified..............|    6290   |      868|      723|       43|    -    |    -    |    -    |       89
       Piers, wharfs.............|    6291   |      105|       50|    -    |    -    |    -    |    -    |       44
       Ramps, runways, loading   |           |         |         |         |         |         |         |         
        docks....................|    6292   |    6,922|    3,690|      505|      568|       65|    -    |    2,085
       Moving walkways...........|    6293   |       67|       28|    -    |    -    |    -    |    -    |       30
       Floors, walkways, ground  |           |         |         |         |         |         |         |         
        surfaces, n.e.c. ........|    6299   |    1,424|      747|      130|       61|    -    |    -    |      470
   Other structural elements.....|      63   |   45,985|   24,886|    4,356|    4,021|    1,180|       96|   11,445
     Other structural elements,  |           |         |         |         |         |         |         |         
      unspecified................|     630   |      197|       98|       51|       31|    -    |    -    |       16
