 12960 HOUSTON                TX  -6  N29 59  W 95 22    33  1014
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  5  4763 G4  1179  2601 G4  1655  2855 G5   321 11190 18050  7.9  7.3  3.13  0.15  28.94  20.89  24.94  25.83  81     0   213  3.3
  6  5582 G4  1530  3687 G4  2258  2830 G5   478 11517 18399  6.8  6.2  3.44  0.19  31.33  23.61  27.50  28.31  78     0   276  3.4
  7  5885 G4  1125  4136 G4  1785  2839 G5   394 11341 18160  5.6  5.0  3.57  0.21  32.83  24.56  28.72  29.67  75     0   322  3.5
  8  5788 G4   999  4544 G4  1713  2552 G5   423 10628 17447  5.6  4.8  3.57  0.16  34.33  24.78  29.56  31.48  71     0   367  3.2
  9  5126 G4  1234  4541 G4  2379  2116 G5   482  9457 16547  5.0  4.4  3.02  0.15  31.11  21.44  26.28  28.16  73     0   235  3.0
 10  4690 G4  1147  5495 G4  2634  1469 G5   490  7908 15597  3.7  3.1  2.18  0.11  26.50  15.28  20.89  23.27  71     9    76  3.4
 11  3101 G4  1059  3478 G4  2792  1358 G5   435  6420 14729  5.6  5.2  1.83  0.09  21.67  10.94  16.33  18.12  75   103    30  3.5
 12  2316 G4   866  2252 G4  2491  1293 G5   316  5655 14280  7.5  6.8  1.74  0.06  18.39   9.22  13.83  15.08  79   167     8  3.6
 13  4549 G4  1742  4044 G4  2781  1989 G5   771  8901 16407  5.9  5.3  2.40  0.12  25.67  15.83  20.78  22.38  73   804  1625  3.5
 1988
  1  3004 G4  1117  3689 G4  3238  1223 G5   477  6042 14569  6.0  5.4  1.17  0.06  14.39   4.78   9.61  11.04  66   292     4  3.8
  2  3292 G4  1320  3043 G4  3228  1636 G5   520  7326 15402  6.8  6.3  1.51  0.08  17.56   7.72  12.67  13.82  73   184    11  3.7
  3  4272 G4  1660  3888 G4  3564  1848 G5   650  8999 16395  6.2  5.9  1.81  0.09  21.50  11.22  16.39  18.12  69    95    36  4.6
  4  5339 G4  1777  4527 G4  3308  2207 G5   623 10363 17331  5.9  5.2  2.11  0.12  25.67  14.67  20.17  22.40  68    19    67  3.8
  5  6421 G4  1423  5431 G4  2811  2482 G5   669 11210 18069  4.7  4.0  2.47  0.16  28.72  18.22  23.50  25.58  68     0   152  3.6
  6  6516 G4  1157  5476 G4  2389  2584 G5   631 11519 18400  4.6  4.0  3.07  0.18  31.83  21.78  26.83  28.80  70     0   262  3.3
  7  5613 G4  1460  3908 G4  2412  2747 G5   506 11327 18144  6.2  5.6  3.53  0.18  32.56  23.89  28.22  30.28  73     0   338  3.7
  8  5555 G4  1011  4187 G4  1618  2555 G5   344 10596 17419  6.0  5.1  3.65  0.18  34.17  24.72  29.44  30.73  74     0   354  3.1
  9  5061 G4  1416  4527 G4  2788  2087 G5   594  9411 16515  4.9  4.4  3.06  0.15  31.22  22.28  26.78  29.14  71     0   266  3.5
 10  4418 G4  1159  4691 G4  2262  1636 G5   334  7855 15566  4.3  3.8  2.28  0.14  27.33  17.33  22.33  24.53  68     3   127  3.4
 11  3225 G4   968  3995 G4  2863  1262 G5   479  6379 14706  5.0  4.7  2.05  0.08  24.50  13.72  19.11  21.18  66    67    80  4.2
 12  2536 G4   944  2921 G4  2884  1200 G5   421  5649 14277  6.6  6.1  1.59  0.06  19.00   8.61  13.83  15.74  73   172    11  3.4
 13  4607 G4  1832  4192 G4  2886  1957 G5   756  8892 16401  5.6  5.0  2.36  0.12  25.72  15.72  20.72  22.63  70   832  1708  3.7
 1989
  1  2256 G4   859  1687 G4  2324  1448 G5   361  6042 14569  8.4  7.9  1.85  0.06  19.22  10.00  14.61  15.86  81   144    18  3.8
  2  2785 G4  1196  1799 G4  2833  1821 G5   548  7298 15386  8.0  7.8  1.65  0.07  15.72   8.11  11.94  12.50  79   211    24  4.5
  3  4372 G4  1695  3961 G4  3789  1872 G5   720  8946 16362  5.9  5.7  2.04  0.09  21.67  11.00  16.33  17.77  78   117    58  4.4
  4  5317 G4  1431  4251 G4  2884  2343 G5   620 10326 17302  6.2  5.6  2.39  0.12  25.50  16.06  20.78  22.46  74    31   108  3.9
  5  5596 G4  1355  4094 G4  2203  2645 G5   395 11190 18050  6.5  5.9  3.13  0.13  29.89  21.11  25.50  26.88  77     0   225  4.6
  6  5505 G4  1735  3725 G4  2731  2768 G5   499 11517 18399  6.3  5.9  3.50  0.17  30.28  22.94  26.61  27.70  81     0   252  4.4
  7  5738 G4  1357  4098 G4  2345  2759 G5   510 11341 18160  6.0  5.4  3.60  0.19  32.00  24.17  28.11  29.02  78     0   304  3.2
  8  5528 G4  1124  4249 G4  2039  2575 G5   470 10628 17447  6.0  5.0  3.43  0.16  31.89  23.78  27.83  29.11  75     0   292  3.2
  9  5386 G4  1100  5242 G4  2329  1916 G5   553  9457 16547  4.0  3.5  2.83  0.16  30.50  21.22  25.89  26.99  72     0   202  3.2
 10  4218 G4  1217  4492 G4  2685  1599 G5   454  7908 15597  5.3  4.6  2.34  0.10  27.56  16.11  21.83  23.72  71    26   121  3.5
 11  2848 G4  1048  2781 G4  2972  1445 G5   471  6420 14729  6.9  6.4  2.03  0.08  22.56  13.44  18.00  18.82  73    89    58  3.8
 12  2582 G4   941  3090 G4  3163  1217 G5   485  5655 14280  6.3  6.1  1.13  0.05  13.11   2.17   7.67   9.23  68   354     3  3.6
 13  4353 G4  1816  3633 G4  2878  2035 G5   741  8901 16407  6.3  5.8  2.50  0.12  25.00  15.83  20.44  21.72  75   972  1665  3.8
 1990
  1  2573 G4  1194  2870 G4  3277  1220 G5   436  6042 14569  6.8  6.3  1.70  0.06  19.28   9.78  14.56  16.13  74   147    11  3.9
  2  3373 G4  1349  3265 G4  3378  1595 G5   553  7298 15386  6.8  6.1  1.84  0.07  20.56  11.22  15.89  17.11  76    98    11  4.3
  3  4066 G4  1475  3221 G4  3080  1996 G5   555  8946 16362  7.3  6.7  2.03  0.08  22.06  13.61  17.83  18.72  77    68    36  4.3
  4  4917 G4  1478  3428 G4  2743  2474 G5   568 10326 17302  7.2  6.2  2.40  0.14  25.44  16.61  21.06  22.24  75    19    97  3.9
  5  5262 G4  1207  3296 G4  1937  2834 G5   367 11190 18050  7.9  6.8  3.08  0.15  29.33  21.56  25.44  26.68  74     0   229  3.1
  6  6315 G4   693  4844 G4  1582  2883 G5   453 11517 18399  5.4  4.5  3.41  0.18  34.28  24.61  29.44  30.96  68     0   335  4.1
  7  5930 G4  1454  4400 G4  2542  2709 G5   545 11341 18160  6.2  5.0  3.30  0.18  32.56  23.78  28.17  29.23  72     0   298  3.4
  8  6173 G4   633  5466 G4  1430  2351 G5   454 10628 17447  4.9  3.8  3.22  0.14  34.61  24.17  29.39  31.07  65     0   350  3.3
  9  4795 G4  1056  4076 G4  2075  2152 G5   445  9457 16547  6.5  5.2  3.12  0.11  31.33  22.56  26.94  28.53  73     0   253  3.0
 10  4478 G4  1128  5132 G4  2569  1492 G5   500  7908 15597  4.1  3.3  2.26  0.11  26.56  15.17  20.89  22.61  71    34   101  3.4
 11  3188 G4   992  3623 G4  2645  1348 G5   386  6420 14729  5.8  5.0  2.06  0.07  23.44  12.61  18.06  19.49  76    72    48  3.7
 12  2360 G4   904  2337 G4  2698  1300 G5   391  5655 14280  7.5  6.9  1.71  0.06  18.06   7.50  12.78  13.81  77   219    26  3.8
 13  4458 G4  1739  3833 G4  2687  2031 G5   761  8901 16407  6.4  5.5  2.51  0.11  26.44  16.94  21.72  23.07  73   657  1795  3.7
