GID	UNIQID	NAME	GWEIGHT	Unmutated; CLL-49;lc9n027	Unmutated; CLL-58;lc9n030	Unmutated; CLL-61;lc9n033	Unmutated; CLL-68;lc9n037	Unmutated; CLL-21;lc9n046	Unmutated; CLL-16;lc9n045	Unmutated; CLL-24;lc9n044	Unmutated; CLL-45;lc9n115	Unmutated; CLL-62;lc9n100	Unmutated; CLL-55;lc9n093	Unmutated; CLL-48;lc9n026	Unmutated; CLL-25;lc9n047	Unmutated; CLL-50;lc9n129	Unmutated; CLL-52;lc9n108	Unmutated; CLL-15;lc9n005	Mutated_high; CLL-39;lc9n074	Mutated_high; CLL-57;lc9n029	Mutated_high; CLL-19;lc9n041	Mutated_high; CLL-53;lc9n040	Mutated_high; CLL-65;lc9n034	Mutated_high; CLL-66_SL106;lc9n035	Mutated_high; CLL-10;lc9n039	Mutated_high; CLL-69;lc9n038	Mutated_high; CLL-17;lc9n042	Mutated_high; CLL-59;lc9n031	Unmutated; CLL-60;lc9n032	Mutated_low; CLL-51;lc9n028	Mutated_low; CLL-22;lc9n043
GENE122X	1926	*BNIP3=NIP3=E1B 19K/Bcl-2-interacting protein=pro-apoptotic mitochondrial protein; Clone=700619	1	0.29	0.12	-0.07	0.24	0.00	0.12	0.00	0.18	0.24	0.12		0.12	-0.07	0.12	1.00	-0.14	-0.22	0.06	-0.07	-0.38	-0.38	-0.22	-0.38	-0.14	0.00	-0.38	0.54	-0.07
GENE134X	20815	(Unknown; Clone=814564)	1	0.87	0.25	-0.11	0.10	-0.13	0.46	-0.01	0.10	0.34	0.30	-0.18	0.06	0.17	0.10	0.56	-0.50	-0.29	-0.16	0.14	-0.38	-0.41	0.01	-0.54	-0.01	-0.35	-0.13	0.21	-0.29
GENE5X	10782	*Unknown  UG Hs.120932  ESTs; Clone=1272566	1	0.72	0.01	-0.06	0.25	-0.31	0.05	-0.01	0.18	0.38	0.61	0.19	-0.36	-0.08	0.36	0.90	-0.71	-0.28	-0.45	-0.15	-0.91	-0.23	0.03	-0.18	-0.23	-0.45	0.07	0.58	0.19
GENE83X	17690	(E1A-F=E1A enhancer binding protein=ETS translocation variant 4=ets family transcription factor; Clone=430297)	1	0.03	0.14	0.01	0.25	-0.23	-0.20	-0.10	0.29	0.32	0.43	-0.01	0.52	0.27	0.16	0.31	-0.28	-0.20	-0.08	0.01	-0.36	-0.28	-0.03	-0.61	-0.01	-0.18	-0.15	0.32	0.16
GENE148X	21368	(Unknown  UG Hs.56022  ESTs; Clone=1335645)	1	0.12	-0.41	-0.17	0.18	0.03	-0.37	0.00	0.12	0.03	0.00	0.09	0.55	0.36	0.26	0.79	0.06	-0.03	-0.14	-0.41	-0.59	-0.69	-0.45	-0.25	-0.45	-1.10	-0.54	0.00	0.53
GENE109X	18532	(CD73=5' nucleotidase; Clone=1341245)	1	-0.05	-0.03	0.03	-0.05	0.12	0.16	0.03	-0.32	0.72	-0.03	0.23	0.47	0.12	0.60	0.23	0.18	-0.05	0.05	-0.35	-0.35	-0.54	-0.44	-0.29	-0.29	-0.44	-0.44	0.14	0.03
GENE176X	24052	*Unknown; Clone=2044281	1	0.28	-0.15	0.04	0.00	-0.17	0.53	0.18	0.19		-0.18	0.00	1.16	0.68	0.55	0.00	-0.18	0.08	-0.27	-0.42	-0.74	-0.56	-0.40	-0.97	-0.14	-0.04	0.10	-0.34	0.03
GENE81X	17633	*CD52=CAMPATH-1; Clone=301723	1	0.33	0.09	0.17	-0.23	-0.09	0.71	-0.03	-0.13	0.23	0.79	0.38	1.16	1.27	0.47	0.17	0.12	-0.51	-0.47	-1.55	-0.51	-1.03	-0.85	-0.97	0.03	-0.85	0.45	-0.91	-0.47
GENE32X	14608	(Unknown; Clone=1354696)	1	-0.02	-0.35	-0.56	0.12	-0.19	0.19	0.07	0.50	0.37	0.39	0.02	0.28	0.76	0.14	0.02	0.09	0.02	-0.69	-0.53	-0.65	-0.87	-0.49	-0.42	-0.25	-0.53	0.02	-0.56	-0.07
GENE61X	16866	(Gap junction protein, beta 1, 32kD (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked); Clone=376522)	1	0.00	0.07	-0.02	0.20	0.17	-0.13	0.17	0.27	0.04	-0.09	0.11	0.50	0.50	-0.04		0.04	-0.13	-0.09	-0.17	-0.47	-0.32	-0.17	-0.13	-0.15	0.00	-0.15	0.20	0.18
GENE133X	20771	*Unknown; Clone=711756	1	0.45	-0.40	0.20	0.51	0.17	0.24	0.35	0.51	-0.80	-0.29	0.20	0.63	0.51	0.04	0.89	-0.34	0.00	-0.34	-0.46	-0.72	-1.46	-0.52	-0.14	-0.72	-0.29	-0.40	0.24	0.00
GENE49X	16624	(Phosphoribosyl pyrophosphate amidotransferase; Clone=273550)	1	0.49	-0.27	-0.03	0.32	0.13	0.18	0.40	0.36	0.18	0.18	0.03	0.95	0.56	0.08	0.60	-0.34	-0.03	-0.21	-0.15	-0.27	-0.56	-0.27	-0.27	-0.09	-0.09	-0.15	0.23	-0.41
GENE178X	24242	(Unknown; Clone=712673)	1	0.20	-0.17	-0.15	-0.10	0.05	0.42	0.24	0.13	0.07	-0.23	0.15	0.26	0.29	0.40	0.09	-0.40	0.11	-0.15	-0.40	-0.17	-0.40	-0.40	-0.17	-0.10	-0.05	-0.17	0.18	0.18
GENE123X	1928	(Unknown  UG Hs.87762  ESTs; Clone=700634)	1		-0.11			0.16	0.29	0.06	0.19	0.00	-0.02		0.44	0.21	0.36	0.26	0.13	-0.15	-0.09	-0.34	0.00	-0.48	-0.16	-0.35	-0.32	-0.27		0.17	0.30
GENE198X	805	(Unknown; Clone=701737)	1	-0.01	0.17	0.07	0.08				-0.07	-0.34	0.00	-0.08	0.34	0.27	0.53	0.24		-0.85	-0.13			-0.80	0.07		-1.33	-0.62	0.07	-0.38	0.02
GENE194X	4313	*ZAP70; Clone=45	1	0.20	0.85	0.00	-0.48	0.35	0.11	0.05	0.16	0.18	0.22	-0.52		-0.55	0.92	0.34						-1.19		-1.62	-1.84	-1.84	-1.94	-0.86	-0.10
GENE204X	9981	*Calcium-ATPase (HK1); Clone=1233960	1	0.15	0.32	0.19	0.67	-0.05	-0.05	0.23	0.76	0.00	1.23	-0.10	0.15		0.32	0.23	-0.15	-0.68	-0.33	-0.10	0.05	-0.39	-0.27	-0.05		-0.27	0.00	-0.15	0.79
GENE13X	11557	(Unknown; Clone=1290275)	1	0.15	0.50	0.00	0.19	-0.27	0.15	0.32	-0.05	0.10	0.73	0.00	0.54	-0.33	0.00	0.90	-0.77	-0.68	-0.46	-0.05	-0.33	-0.21	-0.05	-0.46	-0.53	-0.21	0.00	0.00	1.57
GENE33X	14736	*Unknown  UG Hs.136981  ESTs; Clone=1356373	1	0.22	0.50	0.28	0.44	-0.20	0.13	0.42	0.47	-0.41	0.39	-0.05		0.13	0.34	0.55	-0.61	-0.96	-0.25	0.15	-0.09	0.08	-0.11	-0.28	-0.38	-0.71	-0.11	0.00	0.00
GENE135X	20871	*Similar to KIAA1424=possible paralogue; Clone=825469	1	0.52	0.66	0.76	0.50	-0.07	-0.24	-0.64	0.22	0.40	0.60	0.76		-0.14	0.00	0.30	-0.48	-1.19	-0.42	-1.45	0.16	0.22	-1.82	-0.53	-0.04	-0.77	0.44	-0.04	0.19
GENE201X	910	(Unknown  UG Hs.96561  ESTs; Clone=704023)	1	0.26	0.33	0.37	0.07	0.53	0.71	-0.13	0.53	0.24	0.51	0.29			-0.22	0.33	-0.78	-0.22	-0.29	0.00	-0.29	-0.84		-0.17	0.00	-0.07	-0.46	-0.37	0.31
GENE200X	899	*Unknown; Clone=703947	1	0.20	0.43	0.43	-0.05	0.47	0.89	0.37	0.71	0.86	0.74	0.43	-0.55		-0.26	0.18	-1.23	-0.37	-0.35	-0.37	-0.39	-0.85	-0.23	-0.21	0.13	0.00	-0.85	-0.31	0.10
GENE174X	23657	(Unknown; Clone=2132469)	1	-0.05	0.54	0.43	0.18	0.05	0.73	0.28	0.51	0.91	1.51	-0.35		0.25	0.07	0.43	-0.76	-0.54	-0.35	-0.09	-0.18	-0.57	-0.11	-0.60		-0.94	-0.09	-0.37	0.70
GENE120X	18613	*TSG101=tumor susceptiblity protein; Clone=1367431	1	0.17	0.48	0.00	0.19	0.00	0.30	0.08	0.40	0.30	0.65	-0.02	0.06		0.02	0.40	-0.50	-0.02	-0.14	-0.19	-0.22	-0.14	-0.17	-0.38	-0.53	0.08	-0.50	-0.27	0.30
GENE121X	18614	*homolog of mouse MAT-1 oncogene; Clone=1367471	1	0.41	0.79	-0.50	0.00	-0.50	-0.33	0.09	0.47	0.33	0.72	0.27	-0.33	0.07	0.11	0.20	-0.96	0.13	-0.56	-0.50	-0.50	-0.73	-0.50	-0.47		-0.36	0.26	-0.47	0.63
GENE51X	16663	*Adenine nucleotide translocator 2; Clone=291660	1	0.00	0.12	0.00	0.06	0.12	-0.34	-0.06	0.37	0.06	0.84	-0.19		0.37	0.27	0.27	-0.88	-0.19	-0.58	-0.41	-0.26	-0.68	-0.41	-0.58	0.06	-0.26	0.17	-0.68	0.37
GENE111X	18550	*HINT=Histidine triad nucleotide-binding protein=protein kinase C inhibitor-I; Clone=1352205	1	0.72	0.18	-0.35	0.23	0.09	-0.48	0.00	0.61	0.76	1.00	0.18	0.38	0.56	-0.06	0.18	-0.72	-0.03	-0.40	-0.35	-0.24	-0.57	-0.57	-0.48	0.20	0.00	-0.28	-0.03	0.36
GENE199X	84	*ERC-55=calcium binding EF-hand protein in endoplasmic reticulum; Clone=683299	1	0.29	0.54	-0.02	0.29	0.22	0.02	0.36	0.22	-0.35	0.51	0.07	0.18	0.18	-0.10	0.65	-0.52	-0.02	-0.15	-0.15	-0.35	-0.52	-0.30	-0.52	0.07	-0.02	-0.02	-0.15	1.36
GENE164X	22883	*DAM1=breast carcinoma amplified sequence 2 (BCAS2)=homology to C. elegans T12A2.7 protein; Clone=2107527	1	0.27	0.15	-0.15	0.59	0.00	0.02	-0.07	0.31	0.15	0.44	-0.34	0.55	0.22	0.27	0.37	-0.28	-0.23		-0.31	-0.71	-0.60	-0.37	-0.12	0.05	-0.12	-0.07	-0.43	1.92
GENE155X	22151	*DAM1=breast carcinoma amplified sequence 2 (BCAS2)=homology to C. elegans T12A2.7 protein; Clone=1671737	1	0.46	0.55	-0.02	0.70	0.41	0.18	0.07	0.20	0.63	0.36	-0.11	0.00	-0.02	-0.18	0.49	-0.11	0.18	0.02	-0.28	-0.76	-0.36	-0.25	-0.41	-0.04	-0.11	0.00	-0.06	1.88
GENE116X	18586	*Unknown; Clone=1355720	1	0.04	0.23	-0.11	-0.04	0.29	-0.18	0.14	0.29	0.37	0.42	0.14	0.45	0.37	0.23	0.20	-0.18	0.32	-0.15	-0.22	-0.49	-0.87	-0.39	-0.81	-0.11	-0.27	-0.27	-0.22	1.16
GENE106X	18508	*K-ras; Clone=1337234	1	0.66	0.27	0.32	0.47	0.07	0.17	0.82	0.64	0.56	0.74	0.04	-0.44	0.22	-0.29	0.47	-0.60	-0.19	-0.29	-0.04	-0.26	-0.73	-0.36	-0.60	-0.36	-0.07	-0.47	-0.07	1.44
GENE74X	17255	*K-ras; Clone=739382	1	0.40	0.28	0.18	0.48	0.31	0.02	0.42	0.28	0.92	0.28	-0.46	0.40	0.18	-0.02	0.10	-0.21	-0.11	-0.28	-0.21	-0.17	-0.51	-0.24	-0.51	-0.31	-0.11	-0.28	-0.42	1.10
GENE104X	18429	*Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform; Clone=1301410	1	0.15	0.27	-0.06	0.60	0.02	0.18		0.55	0.24	0.88	-0.06		0.73	0.70	0.30	-0.06	-0.06	-0.24	-0.17	-0.24	-0.24	-0.29	-0.17	0.12	-0.02	-0.09	-0.46	1.28
GENE68X	17069	*Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform; Clone=566084	1	0.16	0.06	-0.15	0.44	0.21	0.14	-0.22	0.31	0.60	0.71	0.11	-0.25		0.14	0.26	0.00	-0.09	-0.32	-0.32	-0.32	-0.22	-0.12	-0.52	0.06	-0.40	-0.03	-0.15	1.01
GENE130X	20623	(CSF-1=Macrophage colony stimulating factor-1; Clone=1371832)	1	0.03	0.09	-0.10	0.39	0.18	0.21	-0.21	0.03	0.15	0.34	0.06	0.00		0.12	0.68	-0.54	0.06	-0.37	-0.25	-0.37	-0.37	-0.07	-0.59	-0.17	-0.45	-0.07	-0.07	0.83
GENE100X	18341	*PBEF=pre-B cell enhancing factor; Clone=1270880	1		-0.08	-0.08	0.63	0.26	0.43	0.07	0.00	1.61	0.26	-0.08	0.14	0.26	0.26	1.14	-0.62	0.14	-0.15	-0.24	-0.62	-0.42	-0.32	-0.15	-0.32	-0.62	-0.24	0.00	1.51
GENE191X	4133	(CD2; Clone=120649)	1	-0.10	0.20	0.14	0.34	0.32	0.41	0.51	-0.14	0.45		0.17			0.38	0.36		-0.43	0.07	-0.23	-0.36	-0.19	-0.25	-0.47	-0.07	-0.29	-0.32	-0.45	0.25
GENE36X	15297	(Unknown; Clone=1355735)	1	0.21	0.11	0.13	0.24	0.37	0.21	0.68	-0.09	0.21	0.31	-0.18	0.11			0.45	-0.36	-0.54	0.18	-0.18	-0.22	-0.56	-0.36	-0.54	-0.20	-0.18	0.04	-0.11	-0.04
GENE115X	18583	*TFIIF-beta=Transcription initiation factor IIF, beta subunit=RAP30; Clone=1355461	1	0.21	0.21	0.30	0.48	0.26	0.08	-0.03	0.00	0.50	0.52	-0.15		-0.18	0.33	0.28	-0.43	-0.32	-0.03	-0.09	-0.55	-0.63	-0.25	-0.63	0.08	0.18	-0.46	-0.21	0.39
GENE195X	537	*Unknown; Clone=686571	1	-0.01	0.11	0.23	0.18	0.53	0.29	0.49	0.09	-0.13	0.11	-0.01	-0.33	-0.15	0.05	0.19	-0.33	-0.30	0.05	-0.21	-0.30	-0.65	0.01	-0.77	-0.23	-0.48	-0.33	0.07	1.17
GENE153X	21703	(Drg1=cytoplasm and basolateral membrane protein of surface epithelial cells=up in colon epithelial cell differentiation and down in colorectal neoplasms=RTP, induced by homocysteine, 2-ME and tunicamycin=Cap43,  induced by Ni2+; Clone=7238)	1	0.88	0.27	0.16	-0.17	0.30	0.56	0.11	0.04	0.59	0.74	0.00		-0.03	0.23	-0.21	-0.29	0.02	0.09	-0.16	-0.46	-0.74	-0.17	-0.22	-0.19	-0.47	-0.20	-0.22	0.77
GENE59X	16804	(Uridine monophosphate kinase; Clone=344219)	1	0.16	-0.18	0.36	0.00	0.40	0.00	0.11	0.57	0.26	0.82	-0.25	0.60	0.11	0.60	0.40	-0.12	0.00	-0.06	0.11	-0.18	-0.32	-0.32	-0.32	-0.18	-0.74	-0.40	-0.32	0.36
