OS TB 12/05/95 C&D: Source x Nature-Inc.Rates '94




 Table R28.  Incidence rates(1) for  nonfatal occupational injuries and illnesses involving days away from work(2) per 10,000 full-time workers by source of injury or illness and selected natures of
 injury or illness, 1994
 __________________________________________________________________________________________________________________________________________________________________________________________________________
                                 |         |         |                                                                                                                                                     
                                 |         |         |                                                             Nature of injury or illness                                                             
                                 |         |         |_____________________________________________________________________________________________________________________________________________________
                                 |         |         |         |         |         |         |         |         |         |         |         |                             |                   |         
                                 |         |         |         |         |         |         |         |         |         |         |         | Multiple traumatic injuries |Back pain and pain,|         
                                 |         |         |         |         |         |         |         |         |         |         |         |        and disorders        |    except back    |         
              Source             |  Source |  Total  |         |         |         |         |         |         |         |         |         |_____________________________|___________________|   All   
                                 | code (3)|  cases  | Sprains,|         |  Cuts,  |         |   Heat  | Chemical| Amputa- |  Carpal | Tendon- |         |         |         |         |         |  other  
       Motors....................|   4414  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Power lines, transformers,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        convertors...............|   4415  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Relays, rheostats,        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        starters, controls.......|   4416  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Switchboards, switches,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        fuses....................|   4417  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Electric parts, n.e.c. ...|   4419  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Machine and appliance parts.|    442  |    2.4  |    0.9  |    0.2  |    0.3  |    0.3  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    0.1  |    -    |    0.4  
       Machine and appliance     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        parts, unspecified.......|   4420  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Dies, molds, patterns.....|   4421  |    0.7  |    0.3  |    0.1  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Drives--chain, leather,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        fabric, vee belt.........|   4422  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Drums, pulleys, sheaves...|   4423  |    0.5  |    0.2  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Engines, turbines, except |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        vehicle..................|   4424  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Friction clutches.........|   4425  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Gears.....................|   4426  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Rollers...................|   4427  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Machine and appliance     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        parts, n.e.c. ...........|   4429  |    0.6  |    0.2  |    0.1  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Tool parts, accessories.....|    443  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Tool parts, accessories,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   4430  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Drill bits--unattached....|   4431  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Saw blades--unattached....|   4432  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Tool parts, accessories,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        n.e.c. ..................|   4439  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Machine, tool, and electric |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      parts, n.e.c. .............|    449  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Metal materials--nonstructural|     45  |    1.6  |    0.4  |    0.1  |    0.4  |    0.2  |    0.3  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Metal                       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      materials--nonstructural,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    450  |    0.4  |    0.1  |    -    |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Metal sheets, ingots,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      bars--nonstructural........|    451  |    0.5  |    0.2  |    -    |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Molten or hot metals, slag..|    452  |    0.4  |    -    |    -    |    -    |    -    |    0.3  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Metal                       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      materials--nonstructural,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|    459  |    0.2  |    0.1  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Tars, sealants, caulking,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    insulating materials.........|     46  |    0.3  |    0.1  |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Tars, sealants, caulking,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      insulating materials,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    460  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Asphalt, roofing tar........|    461  |    0.2  |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Fiberglass insulation.......|    462  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Foam caulking, foam         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      insulation.................|    463  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Plastic, vinyl caulking.....|    465  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Sealants, waterproofers,    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|    466  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tars, sealants, caulking,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      insulating materials,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|    469  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Tarps and sheeting--nonmetal..|     47  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tarps and                   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      sheeting--nonmetal,        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    470  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Roofing paper, roofing felt.|    471  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tarps; plastic or fabric    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      sheeting...................|    472  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tarps and                   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      sheeting--nonmetal, n.e.c. |    479  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Vehicle and mobile equipment  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    parts........................|     48  |    4.2  |    2.2  |    0.2  |    0.4  |    0.4  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    0.2  |    0.1  |    0.6  
     Vehicle and mobile equipment|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      parts, unspecified.........|    480  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tires, inner tubes, wheels..|    481  |    1.2  |    0.8  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.2  
       Tires, inner tubes,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        wheels, unspecified......|   4810  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Tire inner tubes..........|   4812  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Tires, except bike........|   4813  |    0.7  |    0.5  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Wheels, tire rims.........|   4814  |    0.3  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Tires, inner tubes,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        wheels, n.e.c. ..........|   4819  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Engine parts and accessories|    482  |    1.2  |    0.6  |    0.1  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.2  
       Engine parts and          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        accessories, unspecified.|   4820  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Battery...................|   4821  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Belts, hoses..............|   4822  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Engine block..............|   4823  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Fan.......................|   4824  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Muffler, exhaust..........|   4825  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Radiator..................|   4826  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Transmission..............|   4827  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Engine parts and          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        accessories, n.e.c. .....|   4829  |    0.4  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Trailers....................|    483  |    0.4  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Windshields, vehicle windows|    484  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Vehicle and mobile equipment|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      parts, n.e.c. .............|    489  |    1.1  |    0.5  |    0.1  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.2  
   Parts and materials, n.e.c. ..|     49  |    1.8  |    0.8  |    0.1  |    0.2  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.3  
                                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
 Persons, plants, animals, and   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
  minerals.......................|      5  |   62.4  |   37.2  |    0.8  |    0.4  |    1.0  |    1.0  |    -    |    -    |    4.7  |    2.2  |    0.4  |    -    |    0.1  |    4.9  |    2.4  |    9.7  
   Animals and animal products...|     51  |    1.7  |    0.1  |    -    |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    1.3  
     Animals, unspecified........|    510  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Animal products--nonfood....|    511  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Bones, shells.............|   5111  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Hides--leather............|   5114  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Animal products--nonfood, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        n.e.c. ..................|   5119  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Birds and fowl..............|    512  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chicken...................|   5122  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Turkeys...................|   5125  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Fish, shellfish.............|    513  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Insects, arachnids (spiders,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      ticks, scorpions, etc.)....|    514  |    0.9  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.9  
     Mammals, except humans......|    515  |    0.6  |    0.1  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.3  
       Cats......................|   5151  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Cattle....................|   5152  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Dogs......................|   5153  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
       Horses....................|   5154  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Swine.....................|   5157  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Mammals, n.e.c. ..........|   5159  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Reptiles, snakes............|    516  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Animal waste products,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      including manure...........|    517  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Animals, n.e.c. ............|    519  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Food products--fresh or       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    processed....................|     52  |    1.6  |    0.4  |    -    |    -    |    -    |    0.9  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
     Food products--fresh or     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      processed, unspecified.....|    520  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Bakery products, candy,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      confections, snack foods...|    521  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Beverages, n.e.c. ..........|    522  |    0.2  |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Dairy products..............|    523  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Fruits, nuts, vegetables....|    524  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Grains, grain mill products.|    525  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Meat, poultry...............|    526  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Seafood.....................|    527  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Multiple foods or groceries.|    528  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other food products--fresh  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      or processed...............|    529  |    0.8  |    -    |    -    |    -    |    -    |    0.7  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Fats, oils................|   5291  |    0.6  |    -    |    -    |    -    |    -    |    0.6  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other food products--fresh|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        or processed, n.e.c. ....|   5299  |    0.2  |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Infectious and parasitic      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    agents.......................|     53  |    0.4  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.4  
     Infectious and parasitic    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      agents, unspecified........|    530  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Bacteria....................|    531  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Fungi.......................|    532  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Viruses.....................|    533  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
     Infectious and parasitic    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      agents, n.e.c. ............|    539  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Metallic minerals.............|     54  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Metallic minerals,          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    540  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Nonmetallic minerals, except  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    fuel.........................|     55  |    0.8  |    0.3  |    0.1  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
     Nonmetallic minerals, except|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      fuel, unspecified..........|    550  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Asbestos....................|    551  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Boulders....................|    552  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Clay--natural and processed.|    553  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Dirt, earth.................|    554  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Rocks, crushed stone........|    555  |    0.5  |    0.2  |    0.1  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Sand, gravel................|    556  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Nonmetallic minerals, except|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      fuel, n.e.c. ..............|    559  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Person--injured or ill worker.|     56  |   42.7  |   26.3  |    0.3  |    -    |    -    |    -    |    -    |    -    |    4.7  |    2.1  |    -    |    -    |    -    |    3.4  |    1.5  |    5.8  
     Bodily conditions of        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      injured, ill worker........|    561  |    1.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    1.1  
     Bodily motion or position of|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      injured, ill worker........|    562  |   41.1  |   25.9  |    0.3  |    -    |    -    |    -    |    -    |    -    |    4.7  |    2.1  |    -    |    -    |    -    |    3.3  |    1.5  |    4.7  
     Person--injured or ill      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      worker, n.e.c. ............|    569  |    0.5  |    0.4  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
   Person--other than injured or |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    ill worker...................|     57  |   13.8  |    9.7  |    0.2  |    0.1  |    0.7  |    -    |    -    |    -    |    -    |    0.1  |    0.3  |    -    |    0.1  |    1.3  |    0.8  |    1.4  
     Person--other than injured, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      ill worker, unspecified....|    570  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Bodily fluids or substances |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      of person..................|    571  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Co-worker, former co-worker |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      of injured or ill worker...|    572  |    0.6  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Health care patient or      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      resident of health care    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      facility...................|    573  |   11.5  |    8.8  |    0.1  |    -    |    0.4  |    -    |    -    |    -    |    -    |    0.1  |    0.1  |    -    |    0.1  |    1.2  |    0.7  |    0.9  
     Relative of injured or ill  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      worker.....................|    574  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Person--other than injured  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      or ill worker,             |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|    579  |    1.4  |    0.5  |    0.1  |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    0.1  |    -    |    0.3  
   Plants, trees, vegetation--not|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    processed....................|     58  |    1.4  |    0.4  |    0.1  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.5  
     Plants, trees,              |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      vegetation--not processed, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    580  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cash grain crops............|    581  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
