V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.POSTMARK_DATE,V_TRI_FORM_R_EZ.PRIMARY_NAICS_CODE,V_TRI_FORM_R_EZ.REPORTING_YEAR,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.STREET_ADDRESS,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.ZIP_CODE
NICKEL,NAMPA,SELKIRK METALBESTOS,1998-11-25,332322,1996,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
NICKEL,NAMPA,SELKIRK METALBESTOS,2004-10-21,332322,2003,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1995-07-02,334413,1994,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,SORRENTO LACTALIS INC.,1995-06-16,311513,1993,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
PHOSPHORIC ACID,NAMPA,ZILOG INC,1998-01-26,334413,1996,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,ZILOG INC,1992-06-22,334413,1991,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1996-07-31,334413,1995,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
AMMONIA,NAMPA,BHS ACQUISITION LLC,2003-06-17,424690,2002,ID,1717 E FARGO AVE,83687GRTWS1717E,83687
AMMONIA,NAMPA,WESTERN IDAHO POTATOES  PROCESSING INC.,,,1987,ID,428 1ST ST. S.,83653WSTRN4281S,83651
AMMONIA,NAMPA,SORRENTO LACTALIS INC.,1997-07-25,311513,1996,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
AMMONIA,NAMPA,SORRENTO LACTALIS INC.,1995-06-16,311513,1993,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1999-07-01,311313,1998,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1997-08-28,311313,1996,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1996-07-31,311313,1995,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1993-07-01,311313,1992,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-23,311313,1988,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2005-06-24,311313,2004,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1999-06-29,334413,1998,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1995-07-02,334413,1994,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,2004-06-28,334413,2003,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
NITRIC ACID,NAMPA,SORRENTO LACTALIS INC.,1997-07-25,311513,1996,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
CHLORINE,NAMPA,XL FOUR STAR BEEF INC,,,1987,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
CHLORINE,NAMPA,XL FOUR STAR BEEF INC,2001-06-29,311611,2000,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
