Source	Reference
MU, 1968	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1972	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1973	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1976	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1977	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1978	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1979	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1981	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1982	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1983	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1984	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1987	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1990	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Necker, 1939	Necker, W.L. 1939. Records of amphibians and reptiles of the Chicago region, 1935-1938. Bulletin of the Chicago Academy of Sciences 6: 1-10.

Neill, 1951	Neill, W.T. 1951. Amphibians and reptiles of a fifteen-acre tract in Georgia. American Midland Naturalist 45: 241-244.

Netting and Wilson, 1940	Netting, M.G. and L.W. Wilson. 1940. Notes on amphibians from Rockingham County, Virginia. Annals of the Carnegie Museum 28: 1-8.

Netting, 1933	Netting, M.G. 1933. The amphibians of West Virginia. West Virginia Wild Life May-June: 4-5.

Nico, 1989	Nico, L.G. 1989. Siren intermedia nettingi (western lesser siren). Herpetological Review 20(1): 11.

NNHP, 1999	Nevada Natural Heritage Program. 1999. Amphibians found in Nevada: state amphibian list by county. Nevada Natural Heritage Program Database, Carson City.

Norton and Harvey, 1975	Norton, V.M. and M.J. Harvey. 1975. Herpetofauna of Hardeman County, Tennessee. Journal of the Tennessee Academy of Science. 131-136.

Nussbaum et al., 1983	Nussbaum, R.A., E.D. Brodie, Jr. and R.M. Storm. 1983. Amphibians and Reptiles of the Pacific Northwest. University Press of Idaho, Moscow. 332 pp. 

Nussbaum, 1970	Nussbaum, R.A. 1970. Dicamptodon copei, n. sp.,from the Pacific Northwest, U.S.A. (Amphibia: Caudata: Ambystomatidae). Copeia 1970(3):506-514.

Oldfield and Moriarty, 1994	Oldfield, B. and J.J. 1994. Moriarty. Amphibians and Reptiles Native to Minnesota. University of Minnesota Press, Minneapolis. 237 pp.

Oliver, 1997	Oliver, G.V. 1997. Inventory of sensitive species and ecosystems in Utah. Inventory of Sensitive Vertebrate and Invertebrate Species: a Progress Report. Utah Division of Wildlife Resources, Salt Lake City. 722 pp.

Olson, 1998	Olson, D.J. 1998. Pseudacris crucifer (spring peeper). Herpetological Review 29(2): 107-108.

OSM, 1927	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1928	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1929	Ohio State Museum. 1929. *Plethodon cinereus voucher records.

OSM, 1929	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1930	Ohio State Museum. 1930. *Plethodon cinereus voucher records.

OSM, 1931	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1932	Ohio State Museum. 1932. *Plethodon cinereus voucher records.

OSM, 1932	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1935	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1936	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1937	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1939	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1940	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1941	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1942	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1944	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1945	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1946	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1947	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1948	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1952	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1954	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1956	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1957	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1958	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1959	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1961	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1962	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1963	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1964	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1965	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1966	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1967	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1968	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1969	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1970	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1971	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1972	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1973	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1974	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1978	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1979	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1981	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1982	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1983	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1985	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OSM, 1987	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1952	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1954	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1955	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1956	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1957	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1958	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1961	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1963	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1964	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1975	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1978	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1980	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1983	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1987	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1988	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1989	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

OUVC, 1990	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Over, 1923	Over, W.H. 1923. Amphibians and reptiles of South Dakota. Bulletin of the University of South Dakota 10: 1-34.

Owen and Yeatman, 1954	Owen, H.M. and H.C. Yeatman. 1954. A tiger salamander, Ambystoma tigrinum, from Franklin County, Tennessee. Copeia 1954: 67-68.

PA Herp Atlas, In Prep	Pennsylvania Herp Atlas, In Preparation. Unpublished salamander observations by county from PA Herpetological Atlas Project. Matrix received 1999.

Pace, 1974	Pace, A.E. 1974. Sytematic and Biological Studies of the Leopard Frogs (Rana pipiens Complex) of the United States. Miscellaneous Publications of the Museum of the Zoology No. 148. University of Michigan, Ann Arbor. 140 pp.

Parker, 1937	Parker, M.V. 1937. Some amphibians and reptiles from Reelfoot Lake. Journal of Tennessee Academy of Sciences 12: 60-86.

Parker, 1947	Parker, M.V. 1947. Distribution of three amphibians and a reptile in the midsouth. Herpetologica 4: 79-80.

Parker, 1994	Parker, M.S. 1994. Feeding ecology of stream-dwelling Pacific giant salamander larvae (Dicamptodon tenebrosus). Copeia 1994: 705-718.

Pearson et al., 1987	Pearson, H.A., R.R. Lohoefener, and J.L. Wolfe. 1987. Amphibians and reptiles on longleaf-slash pine forests in southern Mississippi. Pp. 157-165. In: H.A. Pearson, F.E. Smeins, and R.E. Thill (Eds.), Ecological, Physical, and Socioeconomic Relationships Within Southern National Forests, Proceedings of the Southern Evaluation Project Workshop. Southern Forest Experiment Station, USDA Forest Service, New Orleans.

Peterson, unpub.	Peterson, C. Unpublished data. Idaho species county matrix.

Petranka, 1984	Petranka, J.W. 1984. Ontogeny of the diet and feeding behavior of Eurycea bislineata larvae. Journal of Herpetology 18(1): 48-55.

Petzing and Phillips, 1998	Petzing, J.E. and C.A. Phillips. 1998. Notophthalmus viridescens (eastern newt). Herpetological Review 29(3): 172.

Petzing et al., 1998	Petzing, J.E., C.A. Phillips, M.J. Dreslik, A.K. Wilson, M. Redmer, T.G. Anton, D. Mauger, and M.J. Blanford. 1998. New amphibian and reptile records in Illinois. Herpetological Review 29(3): 179-182.

Pfingsten and Downs, 1989	Pfingsten, R.A. and F.L. Downs. 1989. Salamanders of Ohio. Ohio Biological Survey Bulletin 7: 1-315 + 29 plates.

Pfingsten and Walker, 1976	Pfingsten, R.A. and C.F. Walker. 1976. Some nearly all black populations of Plethodon cinereus (Amphibia, Urodela, Plethodontidae) in northern Ohio. Journal of Herpetology. 12(2): 163-167.

Pfingsten, 1998	Pfingsten, R.A. 1998. Distribution of Ohio amphibians. Pp. 221-255. In: M.J. Lannoo (Ed.), The Status and Conservation of Midwestern Amphibians. University of Iowa Press, Iowa City.

Phillips et al., 1999	Phillips, C.A., R.A. Brandon and E.O. Moll. 1999. Field Guide to Amphibians and Reptiles of Illinois. Illinois Natural History Survey Manual 8, Champaign. 300 pp.

Pluto, unpub.	Pluto, T.G. unpublished data. New county records for Pennsylvania amphibians.

Pope, 1928	Pope, P.H. 1928. The life-history of Triturus viridescens -- some further notes. Copeia 1928: 61-73.

Pope, 1964	Pope, C.H. 1964. Amphibians and Reptiles of the Chicago Area. Chicago Natural History Museum Press, Chicago. 275 pp.

Pyburn and Kennedy, 1960	Pyburn, W.F. and J.P. Kennedy. 1960. Artificial hybridization of the gray treefrog, Hyla versicolor (Hylidae). American Midland Naturalist 64: 216-223.

Ralin, 1968	Ralin, D.B. 1968. Ecological and reproductive differentiation in the cryptic species of Hyla versicolor complex (Hylidae). The Southwestern Naturalist 13: 283-300.

RAP, 1966	Ralph Pfingsten. 1966. *Personal collection of Plethodon cinereus voucher specimens.

RAP, 1968	Ralph Pfingsten. 1968. *Personal collection of Plethodon cinereus voucher specimens.

RAP, 1969	Ralph Pfingsten. 1969. *Personal collection of Plethodon cinereus voucher specimens.

Raphael, 1988	Raphael, M.G. 1988. Long-term trends in abundance of amphibians, reptiles, and mammals in Douglas-fir forests of northwestern California. Pp. 23-31. In: R.C. Szaro, K.E. Severson, and D.R. Patton (Eds.), Management of Amphibians, Reptiles, and Small Mammals in North America, Proceedings of the Symposium, USDA Forest Service, Flagstaff.

Redmer and Ballard, 1995	Redmer, M. and S.R. Ballard. 1995. Recent distributional records for amphibians and reptiles in Illinois. Herpetological Review 26(1): 49-53.

Redmer, 1990	Redmer, M. 1990. Hyla crucifer (spring peeper). Herpetological Review 21(1): 21.

Redmond and Scott, 1996	Redmond, W.H. and A.F. Scott. 1996. Atlas of Amphibians in Tennessee. Miscellaneous Publications Number 12, Austin Peay State University, Nashville. 94 pp.

Reed, 1949	Reed, C.A. 1949. The problem of metamorphosis in the western marbled salamander Dicamptodon ensatus. Copeia 1949(1): 81.

Reilly and Altig, 1996	Reilly, S.M. and R. Altig. 1996. Cranial ontogeny in Siren intermedia (Caudata: Sirenidae): paedomorphic, metamorphic and novel patterns of heterochrony. Copeia 1996(1): 29-41.

Reilly and Lauder, 1988	Reilly, S.M. and G.V. Lauder. 1988. Ontogeny of aquatic feeding performance in the eastern newt, Notophthalmus viridescens (Salamandridae). Copeia 1988(1): 87-91.

Reno et al., 1972	Reno, H.W., F.R. Gehlbach, and R.A. Turner. 1972. Skin and aestivational cocoon of the aquatic amphibian, Siren intermedia Le Conte. Copeia 1972(4): 625-631.

Richmond and Goin, 1938	Richmond, N.D. and C.J. Goin. 1938. Notes on a collection of amphibians and reptiles from New Kent County, Virginia. Annals of the Carnegie Museum 27: 301-310.

Roberson, 1991	Roberson, J.H. 1991. Ambystoma tigrinum tigrinum. Herpetological Review 22(3): 102.

Rundquist and Collins, 1977	Rundquist, E.M. and J.T. Collins. 1977. The amphibians of Cherokee County, Kansas. Reports of the State Biological Survey of Kansas 14:1-12.

Ruthven and Gaige, 1915	Ruthven, A.G. and H.T. Gaige. 1915. The reptiles and amphibians collected in northeastern Nevada by the Walker-Newcomb expedition of the University of Michigan. Occasional Papers of the Museum of Zoology, University of Michigan 8: 1-33+5 plates.

Ruthven et al., 1912	Ruthven, A.G., C. Thompson, and H.T. Gaige. 1912. The Herpetology of Michigan. Michigan Geological and Biological Survey Publication 10, Biological Series 3: 11-166.

Ruthven, 1904	Ruthven, A.G. 1904. Notes on the molluscs, reptiles and amphibians of Ontonagon County, Michigan. Sixth Annual Report of the Michigan Academy of Science 6: 187-192.

Ruthven, 1932	Ruthven, A.G. 1932. Notes on the amphibians and reptiles of Utah. Occasional Papers of the Museum of Zoology, University of Michigan 243: 1-4.

Savage, 1952	Savage, J.M. 1952. The distribution of the Pacific giant salamander, Dicamptodon ensatus, east of the Cascade Mountains. Copeia 1952: 183.

Schibig and Burkitt, 1979	Schibig, J. and J. Burkitt. 1979. The vertebrate fauna of Taylor Hollow, Sumner County, Tennessee. A paper submitted to the Nature Conservancy, Arlington, VA. 10 pp.

Schmidt and Necker, 1935	Schmidt, K.P. and W.L. Necker. 1935. Amphibians and reptiles of the Chicago region. Bulletin of the Chicago Academy of Sciences 5: 57-77.

Schwalbe and Rosen, 1988	Schwalbe, C.R. and P.C. Rosen. 1988. Preliminary report on effect of bullfrogs on wetland herpetofaunas in southeastern Arizona. Pp 166-173. In: R.C. Szaro, K.E. Severson, and D.R. Patton (Eds.), Management of Amphibians, Reptiles, and Small Mammals in North America, Proceedings of the Symposium. USDA Forest Service, Flagstaff.

Scott and Snyder, 1968	Scott, A.F. and D.H. Snyder. 1968. The amphibians and reptiles of Montgomery County, Tennessee. Journal of the Tennessee Academy of Science 43: 79-84.

Scott, 1991	Scott, A.F. 1991. The herpetofauna of Barnett Woods Natural Area, Montgomery County, Tennessee. Journal of the Tennessee Academy of Science 66: 85-88.
Scroggin and Davis, 1956	Scroggin, J.B. and W.B. Davis. 1956. Food habits of the Texas dwarf siren. Herpetologica 12: 231-237.

Semlitsch et al., 1996	Semlitsch, R.D., D.E. Scott, J.H.K. Pechmann, J.W. Gibbons. 1996. Structure and dynamics of an amphibian community: evidence from a 16-year study of a natural pond. Pp. 217-248. In: M.L. Cody and J.D. Smallwood (Eds.), Long Term Studies of Vertebrate Communities. Academic Press.

Sever, 1972	Sever, D.M. 1972. Geographic variation and taxonomy of Eurycea bislineata (Caudata: Plethodontidae) in the upper Ohio River Valley. Herpetologica 28(4): 314-324.

Sever, 1989	Sever, D.M. 1989. Caudal hedonic glands in salamanders of the Eurycea bislineata complex (Amphibia: Plethodontidae). Herpetologica 45(3): 322-329.

Shoup et al., 1941	Shoup, C.S., J.H. Peyton and G. Gentry. 1941. A biological survey of the Obey River and adjacent streams in Tennessee. Journal of the Tennessee Academy of Science 16: 48-76.

Shure et al., 1989	Shure, D.J., L.A. Wilson, and C. Hochwender. 1989. Predation on aposematic efts of Notophthalmus viridescens. Journal of Herpetology 23(4): 437-439.

Simpson, 1939	Simpson, T.W. 1939. Feeding habits of the coot, Florida gallinule, and least bittern on Reelfoot Lake. Journal of the Tennessee Academy of Science 14: 110-115.

Sinclair et al., 1965	Sinclair, R., W. Hon., and B. Ferguson. 1965. Amphibians and Reptiles of Tennessee. Tennessee Game and Fish Commission, Nashville. 29 pp.

SL, 1939	Franz Stone Laborotory. 1939.  *Plethodon cinereus voucher records.

Sloan, 1964	Sloan, A.J. 1964. Amphibians of San Diego County. Occasional Papers of the San Diego Society of Natural History 13: 1-42.

Smith and Sanders, 1952	Smith, H.M. and O. Sanders. 1952. Distributional data on Texan amphibians and reptiles. The Texas Journal of Science 4: 204-219.

Smith and Smith, 1952	Smith, P.W. and D.M. Smith. 1952. The relationship of the chorus frog, Pseudacris nigrita feriarum and Pseudacris n. triseriata. American Midland Naturalist 48: 165-180. 

Smith et al., 1965	Smith, H.M., T.P. Maslin, and R.L. Brown. 1965. Summary of the Distribution of the Herpetofauna of Colorado. University of Colorado Studies, Series in Biology No. 15. University of Colorado Press, Boulder. 52 pp.

Smith, 1956	Smith, H.M. 1956. Handbook of Amphibians and Reptiles of Kansas. University of Kansas Museum of Natural History Miscellaneous Publication No. 9. 356 pp.

Smith, 1961	Smith, P.W. 1961. The Amphibians and Reptiles of Illinois. Illinois Natural History Survey Bulletin 28: 1-298.

Smith, 1983	Smith, D.C. 1983. Factors controlling tadpole populations of the chorus frog (Pseudacris triseriata) on Isle Royale, Michigan. Ecology 64: 501-510.

