"Symbol","Scientific Name with Author","GSAT Common Name"
"DRYOP","Dryopteris Adans.","woodfern"
"DUAR3","Dulichium arundinaceum (L.) Britton","threeway sedge"
"DUCHE","Duchesnea Sm.","duchesnea"
"DUER","Duranta erecta L.","golden dewdrops"
"DUIN","Duchesnea indica (Andrews) Focke","Indian strawberry"
"DULIC","Dulichium Pers.","dulichium"
"DURAN","Duranta L.","duranta"
"DYOB","Dyschoriste oblongifolia (Michx.) Kuntze","oblongleaf snakeherb"
"DYPA","Dyssodia papposa (Vent.) Hitchc.","fetid marigold"
"DYSCH","Dyschoriste Nees","snakeherb"
"DYSSO","Dyssodia Cav.","dyssodia"
"ECAN2","Echinacea angustifolia DC.","blacksamson echinacea"
"ECANA","Echinacea angustifolia DC. var. angustifolia","blacksamson echinacea"
"ECANS","Echinacea angustifolia DC. var. strigosa R.L. McGregor","strigose blacksamson"
"ECBE2","Echinodorus berteroi (Spreng.) Fassett","upright burrhead"
"ECCO2","Echinochloa colona (L.) Link","jungle rice"
"ECCO3","Echinodorus cordifolius (L.) Griseb.","creeping burrhead"
"ECCR","Echinochloa crus-galli (L.) P. Beauv.","barnyardgrass"
"ECCR2","Echinochloa crus-pavonis (Kunth) Schult.","gulf cockspur grass"
"ECCRM","Echinochloa crus-pavonis (Kunth) Schult. var. macera (Wiegand) Gould","gulf cockspur grass"
"ECHIN","Echinacea Moench","purple coneflower"
"ECHIN4","Echinochloa P. Beauv.","cockspur grass"
"ECHIN6","Echinodorus Rich. ex Engelm.","burrhead"
"ECHIU","Echium L.","viper's bugloss"
"ECLIP","Eclipta L.","eclipta"
"ECMU2","Echinochloa muricata (P. Beauv.) Fernald","rough barnyardgrass"
"ECMUM","Echinochloa muricata (P. Beauv.) Fernald var. microstachya Wiegand","rough barnyardgrass"
"ECMUM2","Echinochloa muricata (P. Beauv.) Fernald var. muricata","rough barnyardgrass"
"ECPA","Echinacea pallida (Nutt.) Nutt.","pale purple coneflower"
"ECPO3","Echinochloa polystachya (Kunth) Hitchc.","creeping river grass"
"ECPR","Eclipta prostrata (L.) L.","false daisy"
"ECPU","Echinacea purpurea (L.) Moench","eastern purple coneflower"
"ECSA","Echinacea sanguinea Nutt.","sanguin purple coneflower"
"ECTE2","Echinodorus tenellus (Mart. ex Schult. f.) Buchenau","mudbabies"
"ECVU","Echium vulgare L.","common viper's bugloss"
"ECWA","Echinochloa walteri (Pursh) A. Heller","coast cockspur grass"
"EGDE","Egeria densa Planch.","Brazilian waterweed"
"EGERI","Egeria Planch.","egeria"
"EICHH","Eichhornia Kunth","water hyacinth"
"EICR","Eichhornia crassipes (Mart.) Solms","common water hyacinth"
"ELAC","Eleocharis acicularis (L.) Roem. & Schult.","needle spikerush"
"ELACA","Eleocharis acicularis (L.) Roem. & Schult. var. acicularis","needle spikerush"
"ELAEA","Elaeagnus L.","elaeagnus"
"ELAL","Eleocharis albida Torr.","white spikerush"
"ELAM3","Elatine americana (Pursh) Arn.","American waterwort"
"ELAT","Eleocharis atropurpurea (Retz.) J. Presl & C. Presl","purple spikerush"
"ELATI","Elatine L.","waterwort"
"ELBA2","Eleocharis baldwinii (Torr.) Chapm.","Baldwin's spikerush"
"ELBR","Eleocharis brittonii Svens. ex Small","Britton's spikerush"
"ELBR5","Elatine brachysperma A. Gray","shortseed waterwort"
"ELCA3","Elephantopus carolinianus Raeusch.","Carolina elephantsfoot"
"ELCE","Eleocharis cellulosa Torr.","Gulf Coast spikerush"
"ELCO2","Eleocharis compressa Sull.","flatstem spikerush"
"ELCOC2","Eleocharis compressa Sull. var. compressa","flatstem spikerush"
"ELEL2","Eleocharis elongata Chapm.","slim spikerush"
"ELEL3","Elephantopus elatus Bertol.","tall elephantsfoot"
"ELEN","Eleocharis engelmannii Steud.","Engelmann's spikerush"
"ELEOC","Eleocharis R. Br.","spikerush"
"ELEPH","Elephantopus L.","elephantsfoot"
"ELEQ","Eleocharis equisetoides (Elliot) Torr.","jointed spikesedge"
"ELER","Eleocharis erythropoda Steud.","bald spikerush"
"ELEUS","Eleusine Gaertn.","goosegrass"
"ELFA","Eleocharis fallax Weath.","creeping spikerush"
"ELFL","Eleocharis flavescens (Poir.) Urb.","yellow spikerush"
"ELFLF","Eleocharis flavescens (Poir.) Urb. var. flavescens","yellow spikerush"
"ELGE","Eleocharis geniculata (L.) Roem. & Schult.","Canada spikesedge"
"ELIN3","Eleusine indica (L.) Gaertn.","Indian goosegrass"
"ELMA5","Eleocharis macrostachya Britton","pale spikerush"
"ELMI2","Eleocharis microcarpa Torr.","smallfruit spikerush"
"ELMI3","Eleocharis minima Kunth","small spikerush"
"ELMO","Eleocharis montana (Kunth) Roem. & Schult.","mountain spikerush"
"ELMO2","Eleocharis montevidensis Kunth","sand spikerush"
"ELNU","Elephantopus nudatus A. Gray","smooth elephantsfoot"
"ELOB2","Eleocharis obtusa (Willd.) Schult.","blunt spikerush"
"ELOL","Eleocharis olivacea Torr.","bright green spikerush"
"ELOLO","Eleocharis olivacea Torr. var. olivacea","bright green spikerush"
"ELPA3","Eleocharis palustris (L.) Roem. & Schult.","common spikerush"
"ELPA5","Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer","dwarf spikerush"
"ELPAP","Eleocharis palustris (L.) Roem. & Schult. var. palustris","common spikerush"
"ELPU2","Elaeagnus pungens Thunb.","thorny olive"
"ELQU","Eleocharis quadrangulata (Michx.) Roem. & Schult.","squarestem spikerush"
"ELRA","Eleocharis radicans (A. Dietr.) Kunth","rooted spikerush"
"ELRU","Elatine rubella Rydb.","southwestern waterwort"
"ELTE","Eleocharis tenuis (Willd.) Schult.","slender spikerush"
"ELTET","Eleocharis tenuis (Willd.) Schult. var. tenuis","slender spikerush"
"ELTEV","Eleocharis tenuis (Willd.) Schult. var. verrucosa (Svens.) Svens.","slender spikerush"
"ELTO","Eleocharis tortilis (Link) Schult.","twisted spikerush"
"ELTO2","Elephantopus tomentosus L.","devil's grandmother"
"ELTR5","Eleocharis tricostata Torr.","three-angle spikerush"
"ELTU","Eleocharis tuberculosa (Michx.) Roem. & Schult.","cone-cup spikerush"
"ELUM","Elaeagnus umbellata Thunb.","autumn olive"
"ELUMP","Elaeagnus umbellata Thunb. var. parvifolia (Wall. ex Royle) C.K. Schneid.","autumn olive"
"ELVI3","Elymus virginicus L.","Virginia wildrye"
"ELVI4","Eleocharis vivipara Link","viviparous spikerush"
"ELVIV","Elymus virginicus L. var. virginicus","Virginia wildrye"
"ELWO","Eleocharis wolfii (A. Gray) A. Gray ex Britton","Wolf's spikerush"
"ELYMU","Elymus L.","wildrye"
"EMFO","Emilia fosbergii Nicolson","Florida tasselflower"
"EMILI","Emilia Cass.","tasselflower"
"EMSO","Emilia sonchifolia (L.) DC.","lilac tasselflower"
"EMSOS","Emilia sonchifolia (L.) DC. var. sonchifolia","lilac tasselflower"
"EPCO","Epilobium coloratum Biehler","purpleleaf willowherb"
"EPIDE","Epidendrum L.","star orchid"
"EPIFA","Epifagus Nutt.","beechdrops"
"EPILO","Epilobium L.","willowherb"
"EPMA3","Epidendrum magnoliae Muhl.","green fly orchid"
"EPMAM","Epidendrum magnoliae Muhl. var. magnoliae","green fly orchid"
"EPVI2","Epifagus virginiana (L.) W. Bartram","beechdrops"
"EQHY","Equisetum hyemale L.","scouringrush horsetail"
"EQHYA","Equisetum hyemale L. var. affine (Engelm.) A.A. Eaton","scouringrush horsetail"
"EQRA","Equisetum ramosissimum Desf.","branched scouringrush"
"EQUIS","Equisetum L.","horsetail"
"ERAC4","Eriochloa acuminata (J. Presl) Kunth","tapertip cupgrass"
"ERACA","Eriochloa acuminata (J. Presl) Kunth var. acuminata","tapertip cupgrass"
"ERAGR","Eragrostis von Wolf","lovegrass"
"ERAL9","Erythronium albidum Nutt.","white fawnlily"
"ERAM5","Erythronium americanum Ker Gawl.","dogtooth violet"
"ERAMH","Erythronium americanum Ker Gawl. ssp. harperi (W. Wolf) Parks & Hardin","dogtooth violet"
"ERAN","Erigeron annuus (L.) Pers.","eastern daisy fleabane"
"ERBA","Eragrostis bahiensis Schrad. ex Schult.","Bahia lovegrass"
"ERBA2","Eragrostis barrelieri Daveau","Mediterranean lovegrass"
"ERBE11","Eriocaulon benthamii Kunth","Bentham's pipewort"
"ERCA","Eragrostis capillaris (L.) Nees","lace grass"
"ERCI","Eragrostis cilianensis (All.) Vign. ex Janchen","stinkgrass"
"ERCI2","Eragrostis ciliaris (L.) R. Br.","gophertail lovegrass"
"ERCI4","Eriocaulon cinereum R. Br.","ashy pipewort"
"ERCI6","Erodium cicutarium (L.) L'Hér. ex Aiton","redstem stork's bill"
"ERCIC","Erodium cicutarium (L.) L'Hér. ex Aiton ssp. cicutarium","redstem stork's bill"
"ERCO7","Eriocaulon compressum Lam.","flattened pipewort"
"ERCO8","Eriochloa contracta Hitchc.","prairie cupgrass"
"ERCR6","Erythrina crista-galli L.","crybabytree"
"ERCU","Eragrostis curtipedicellata Buckley","gummy lovegrass"
"ERCU2","Eragrostis curvula (Schrad.) Nees","weeping lovegrass"
"ERDE5","Eriocaulon decangulare L.","tenangle pipewort"
"ERDED2","Eriocaulon decangulare L. var. decangulare","tenangle pipewort"
"ERDEL","Eriocaulon decangulare L. var. latifolium Chapm.","tenangle pipewort"
"ERECH","Erechtites Raf.","burnweed"
"EREL","Eragrostis elliottii S. Watson","field lovegrass"
"EREMO2","Eremochloa Büse","centipede grass"
"ERGA2","Eragrostis gangetica (Roxb.) Steud.","slimflower lovegrass"
"ERHE3","Eryngium heterophyllum Engelm.","Wright's eryngo"
"ERHE4","Erythrina herbacea L.","redcardinal"
"ERHI","Eragrostis hirsuta (Michx.) Nees","bigtop lovegrass"
"ERHI2","Erechtites hieraciifolia (L.) Raf. ex DC.","American burnweed"
"ERHIH","Erechtites hieraciifolia (L.) Raf. ex DC. var. hieraciifolia","American burnweed"
"ERHO9","Eryngium hookeri Walp.","Hooker's eryngo"
"ERHY","Eragrostis hypnoides (Lam.) Britton, Sterns & Poggenb.","teal lovegrass"
"ERIGE2","Erigeron L.","fleabane"
"ERIN","Eragrostis intermedia Hitchc.","plains lovegrass"
"ERIN6","Eryngium integrifolium Walter","blueflower eryngo"
"ERIOB","Eriobotrya Lindl.","loquat"
"ERIOC","Eriocaulon L.","pipewort"
"ERIOC2","Eriochloa Kunth","cupgrass"
"ERIOG","Eriogonum Michx.","buckwheat"
"ERJA3","Eriobotrya japonica (Thunb.) Lindl.","loquat"
"ERJA4","Eragrostis japonica (Thunb.) Trin.","pond lovegrass"
"ERLI3","Eriocaulon lineare Small","narrow pipewort"
"ERLO5","Eriogonum longifolium Nutt.","longleaf buckwheat"
"ERLOL4","Eriogonum longifolium Nutt. var. longifolium","longleaf buckwheat"
"ERLU","Eragrostis lugens Nees","mourning lovegrass"
"ERMI5","Eragrostis minor Host","little lovegrass"
"ERMU4","Eriogonum multiflorum Benth.","heartsepal buckwheat"
"ERODI","Erodium L'Hér. ex Aiton","stork's bill"
"EROP","Eremochloa ophiuroides (Munro) Hack.","centipede grass"
"ERPE","Eragrostis pectinacea (Michx.) Nees ex Steud.","tufted lovegrass"
"ERPEM","Eragrostis pectinacea (Michx.) Nees ex Steud. var. miserrima (Fourn.) J. Reeder","desert lovegrass"
"ERPEP2","Eragrostis pectinacea (Michx.) Nees ex Steud. var. pectinacea","tufted lovegrass"
"ERPH","Erigeron philadelphicus L.","Philadelphia fleabane"
"ERPHP","Erigeron philadelphicus L. var. philadelphicus","Philadelphia fleabane"
"ERPI2","Eragrostis pilosa (L.) P. Beauv.","Indian lovegrass"
"ERPR16","Erigeron procumbens (Houst. ex Mill.) G.L. Nesom","Corpus Christi fleabane"
"ERPR5","Eryngium prostratum Nutt. ex DC.","creeping eryngo"
"ERPU","Erigeron pulchellus Michx.","robin's plantain"
"ERPU4","Eriochloa punctata (L.) Desv. ex Ham.","Louisiana cupgrass"
"ERPUP","Erigeron pulchellus Michx. var. pulchellus","robin's plantain"
"ERQU","Erigeron quercifolius Lam.","oakleaf fleabane"
"ERRE","Eragrostis refracta (Muhl.) Scribn.","coastal lovegrass"
"ERRE4","Erysimum repandum L.","spreading wallflower"
"ERRO5","Erythronium rostratum W. Wolf","yellow troutlily"
"ERSE","Eragrostis secundiflora J. Presl","red lovegrass"
"ERSEO","Eragrostis secundiflora J. Presl ssp. oxylepis (Torr.) S.D. Koch","red lovegrass"
"ERSP","Eragrostis spectabilis (Pursh) Steud.","purple lovegrass"
"ERST3","Erigeron strigosus Muhl. ex Willd.","prairie fleabane"
"ERSTB","Erigeron strigosus Muhl. ex Willd. var. beyrichii (Fisch. & C.A. Mey.) Torr. & A. Gray ex A. Gray","Beyrich's fleabane"
"ERSTS2","Erigeron strigosus Muhl. ex Willd. var. strigosus","prairie fleabane"
"ERTE7","Erigeron tenuis Torr. & A. Gray","slenderleaf fleabane"
"ERTE8","Eriocaulon texense Koern.","Texas pipewort"
"ERTR3","Eragrostis trichodes (Nutt.) Alph. Wood","sand lovegrass"
"ERVE","Erigeron vernus (L.) Torr. & A. Gray","early whitetop fleabane"
"ERYNG","Eryngium L.","eryngo"
"ERYSI","Erysimum L.","wallflower"
"ERYTH","Erythrina L.","erythrina"
"ERYTH3","Erythronium L.","fawnlily"
"ERYU","Eryngium yuccifolium Michx.","button eryngo"
"ERYUS","Eryngium yuccifolium Michx. var. synchaetum A. Gray ex J.M. Coult. & Rose","button eryngo"
"ERYUY","Eryngium yuccifolium Michx. var. yuccifolium","button eryngo"
"ESCA2","Eschscholzia californica Cham.","California poppy"
"ESCAC","Eschscholzia californica Cham. ssp. californica","California poppy"
"ESCHS","Eschscholzia Cham.","California poppy"
"ESCOB","Escobaria Britton & Rose","foxtail cactus"
"ESMI3","Escobaria missouriensis (Sweet) D.R. Hunt","Missouri foxtail cactus"
"EUAL2","Eupatorium album L.","white thoroughwort"
"EUAL3","Eupatorium altissimum L.","tall thoroughwort"
"EUALA","Eupatorium album L. var. album","white thoroughwort"
"EUAM9","Euonymus americanus L.","bursting-heart"
"EUAT5","Euonymus atropurpureus Jacq.","burningbush"
"EUATA2","Euonymus atropurpureus Jacq. var. atropurpureus","eastern wahoo"
"EUBI2","Euphorbia bicolor Engelm. & A. Gray","snow on the prairie"
"EUCA26","Euthamia caroliniana (L.) Greene ex Porter & Britton","slender goldentop"
"EUCA5","Eupatorium capillifolium (Lam.) Small","dogfennel"
"EUCO10","Euphorbia corollata L.","flowering spurge"
"EUCO7","Eupatorium compositifolium Walter","yankeeweed"
"EUCO8","Euphorbia commutata Engelm. ex A. Gray","tinted woodland spurge"
"EUCY","Euphorbia cyathophora Murray","fire on the mountain"
"EUDE4","Euphorbia dentata Michx.","toothed spurge"
"EUDED","Euphorbia dentata Michx. var. dentata","toothed spurge"
"EUDI5","Euphorbia discoidalis Chapm.","summer spurge"
"EUEX5","Eustoma exaltatum (L.) Salisb. ex G. Don","catchfly prairie gentian"
"EUEXE2","Eustoma exaltatum (L.) Salisb. ex G. Don ssp. exaltatum","catchfly prairie gentian"
"EUEXR","Eustoma exaltatum (L.) Salisb. ex G. Don ssp. russellianum (Hook.) Kartesz","showy prairie gentian"
"EUFI2","Eupatoriadelphus fistulosus (Barratt) King & H. Rob.","trumpetweed"
"EUGL7","Eupatorium glaucescens Elliot","waxy thoroughwort"
"EUGR5","Euthamia graminifolia (L.) Nutt.","flat-top goldentop"
"EUGRG","Euthamia graminifolia (L.) Nutt. var. graminifolia","flat-top goldentop"
"EUGY","Euthamia gymnospermoides Greene","Texas goldentop"
"EUHE10","Eurybia hemispherica (Alexander) G.L. Nesom","southern prairie aster"
"EUHE2","Euphorbia helioscopia L.","madwoman's milk"
"EUHE3","Euphorbia helleri Millsp.","Heller's spurge"
"EUHE4","Euphorbia heterophylla L.","Mexican fireplant"
"EUHY","Eupatorium hyssopifolium L.","hyssopleaf thoroughwort"
"EUHYH","Eupatorium hyssopifolium L. var. hyssopifolium","hyssopleaf thoroughwort"
"EUHYL","Eupatorium hyssopifolium L. var. laciniatum A. Gray","hyssopleaf thoroughwort"
"EUJA8","Euonymus japonicus Thunb.","Japanese spindletree"
"EULA7","Eupatorium lancifolium (Torr. & A. Gray) Small","lanceleaf thoroughwort"
"EULE","Eupatorium leucolepis (DC.) Torr. & A. Gray","justiceweed"
"EULE4","Euthamia leptocephala (Torr. & A. Gray) Greene ex Porter & Britton","bushy goldentop"
"EULEL","Eupatorium leucolepis (DC.) Torr. & A. Gray var. leucolepis","justiceweed"
"EUMA8","Euphorbia marginata Pursh","snow on the mountain"
"EUMO4","Eupatorium mohrii Greene","Mohr's thoroughwort"
"EUONY2","Euonymus L.","spindletree"
"EUPA27","Eustachys paspaloides (Vahl) Lanza & Mattei","Caribbean fingergrass"
"EUPAC","Eustachys paspaloides (Vahl) Lanza & Mattei ssp. caribaea (Spreng.) Nowack","Caribbean fingergrass"
"EUPAT","Eupatorium L.","thoroughwort"
"EUPE3","Eupatorium perfoliatum L.","common boneset"
"EUPE6","Euphorbia peplus L.","petty spurge"
"EUPE9","Eustachys petraea (Sw.) Desv.","pinewoods fingergrass"
"EUPEP","Eupatorium perfoliatum L. var. perfoliatum","common boneset"
"EUPHO","Euphorbia L.","spurge"
"EUPI2","Eupatorium pilosum Walter","rough boneset"
"EUPL","Euphorbia platyphyllos L.","broadleaf spurge"
"EUPO5","Euphorbia polyphylla Engelm. ex Holz.","Lesser Florida spurge"
"EUPU10","Eupatorium purpureum L.","sweetscented joepyeweed"
"EUPU7","Euphorbia pubentissima Michx.","false flowering spurge"
"EUPUP","Eupatorium purpureum L. var. purpureum","sweetscented joepyeweed"
"EURA5","Eubotrys racemosa (L.) Nutt.","swamp doghobble"
"EURO4","Eupatorium rotundifolium L.","roundleaf thoroughwort"
"EUROO","Eupatorium rotundifolium L. var. ovatum (Bigelow) Torr.","roundleaf thoroughwort"
"EUROR","Eupatorium rotundifolium L. var. rotundifolium","roundleaf thoroughwort"
"EUROS","Eupatorium rotundifolium L. var. scabridum (Elliot) A. Gray","roundleaf thoroughwort"
"EURYB","Eurybia (Cass.) Cass.","aster"
"EURYT","Eurytaenia Torr. & A. Gray","spreadwing"
"EUSE","Eupatorium semiserratum DC.","smallflower thoroughwort"
"EUSE2","Eupatorium serotinum Michx.","lateflowering thoroughwort"
"EUSP","Euphorbia spathulata Lam.","warty spurge"
"EUSTA","Eustachys Desv.","fingergrass"
"EUSTO","Eustoma Salisb. ex G. Don","prairie gentian"
"EUTE16","Euphorbia texana (Millsp. ex A. Heller) Boiss.","Texas spurge"
"EUTE4","Euphorbia tetrapora Engelm.","weak spurge"
"EUTE5","Eurytaenia texana Torr. & A. Gray","Texas spreadwing"
"EUTHA","Euthamia Nutt. ex Cass.","goldentop"
"EVAX","Evax Gaertn.","pygmy cudweed"
"EVCA","Evax candida (Torr. & A. Gray) A. Gray","silver pygmycudweed"
"EVCO","Evolvulus convolvuloides (Willd. ex Schult.) Stearn","bindweed dwarf morning-glory"
"EVOLV","Evolvulus L.","dwarf morning-glory"
"EVPR","Evax prolifera Nutt. ex DC.","bighead pygmycudweed"
"EVSE","Evolvulus sericeus Sw.","silver dwarf morning-glory"
"EVSES","Evolvulus sericeus Sw. var. sericeus","silver dwarf morning-glory"
"EVVE","Evax verna Raf.","spring pygmycudweed"
"EVVED","Evax verna Raf. var. drummondii (Torr. & A. Gray) Kartesz & Gandhi","spring pygmycudweed"
"EVVEV","Evax verna Raf. var. verna","spring pygmycudweed"
"EXOCH","Exochorda Lindl.","pearlbrush"
"EXRA","Exochorda racemosa (Lindl.) Rehder","common pearlbrush"
"FACEL","Facelis Cass.","trampweed"
"FAES2","Fagopyrum esculentum Moench","buckwheat"
"FAGOP2","Fagopyrum Mill.","buckwheat"
"FAGR","Fagus grandifolia Ehrh.","American beech"
"FAGUS","Fagus L.","beech"
"FALCA","Falcaria Fabr.","falcaria"
"FARE","Facelis retusa (Lam.) Sch. Bip.","annual trampweed"
"FATOU","Fatoua Gaudich.","fatoua"
"FAVI","Fatoua villosa (Thunb.) Nakai","hairy crabweed"
"FAVU","Falcaria vulgaris Bernh.","sickleweed"
"FEPA2","Festuca paradoxa Desv.","clustered fescue"
"FESTU","Festuca L.","fescue"
"FESU3","Festuca subverticillata (Pers.) Alexeev","nodding fescue"
"FIAN","Fimbristylis annua (All.) Roem. & Schult.","annual fimbry"
"FIAU2","Fimbristylis autumnalis (L.) Roem. & Schult.","slender fimbry"
"FICA","Ficus carica L.","edible fig"
"FICA3","Fimbristylis caroliniana (Lam.) Fernald","Carolina fimbry"
"FICA4","Fimbristylis castanea (Michx.) Vahl","marsh fimbry"
"FICUS","Ficus L.","fig"
"FIDE3","Fimbristylis decipiens Kral","southern fimbry"
"FIDI","Fimbristylis dichotoma (L.) Vahl","forked fimbry"
"FILI3","Fimbristylis littoralis Gaudich.","fimbry"
"FIMBR","Fimbristylis Vahl","fimbry"
"FIPU","Fimbristylis puberula (Michx.) Vahl","hairy fimbry"
"FIPU2","Ficus pumila L.","climbingfig"
"FIPUP","Fimbristylis puberula (Michx.) Vahl var. puberula","hairy fimbry"
"FIRMI","Firmiana Marsili","parasoltree"
"FISC","Fimbristylis schoenoides (Retz.) Vahl","ditch fimbry"
"FISI2","Firmiana simplex (L.) W. Wight","Chinese parasoltree"
"FITO","Fimbristylis tomentosa Vahl","woolly fimbry"
"FIVA","Fimbristylis vahlii (Lam.) Link","Vahl's fimbry"
"FLEIS2","Fleischmannia Sch. Bip.","thoroughwort"
"FLIN2","Fleischmannia incarnata (Walter) King & H. Rob.","pink thoroughwort"
"FLOER","Floerkea Willd.","floerkea"
"FLPR","Floerkea proserpinacoides Willd.","false mermaidweed"
"FOAC","Forestiera acuminata (Michx.) Poir.","eastern swampprivet"
"FOENI","Foeniculum Mill.","fennel"
"FOLI","Forestiera ligustrina (Michx.) Poir.","upland swampprivet"
"FORES","Forestiera Poir.","swampprivet"
"FORSY","Forsythia Vahl","forsythia"
"FOSU","Forsythia suspensa (Thunb.) Vahl","weeping forsythia"
"FOVU","Foeniculum vulgare Mill.","sweet fennel"
"FRAGA","Fragaria L.","strawberry"
"FRAM2","Fraxinus americana L.","white ash"
"FRANG","Frangula Mill.","buckthorn"
"FRAXI","Fraxinus L.","ash"
"FRBE","Fraxinus berlandieriana DC.","Mexican ash"
"FRCA13","Frangula caroliniana (Walter) A. Gray","Carolina buckthorn"
"FRCA3","Fraxinus caroliniana Mill.","Carolina ash"
"FRFL","Froelichia floridana (Nutt.) Moq.","plains snakecotton"
"FRFLF","Froelichia floridana (Nutt.) Moq. var. floridana","plains snakecotton"
"FRGR3","Froelichia gracilis (Hook.) Moq.","slender snakecotton"
"FROEL","Froelichia Moench","snakecotton"
"FRPE","Fraxinus pennsylvanica Marsh.","green ash"
"FRPR","Fraxinus profunda (Bush) Bush","pumpkin ash"
"FRVI","Fragaria virginiana Duchesne","Virginia strawberry"
"FRVIG3","Fragaria virginiana Duchesne ssp. grayana (Vilm. ex J. Gay) Staudt","Virginia strawberry"
"FRVIV","Fragaria virginiana Duchesne ssp. virginiana","Virginia strawberry"
"FUBR","Fuirena breviseta (Coville) Coville","saltmarsh umbrella-sedge"
"FUBU","Fuirena bushii Kral","Bush's umbrella-sedge"
"FUIRE","Fuirena Rottb.","umbrella-sedge"
"FUMAR","Fumaria L.","fumitory"
"FUOF","Fumaria officinalis L.","drug fumitory"
"FUOFO","Fumaria officinalis L. ssp. officinalis","drug fumitory"
"FUPU","Fuirena pumila (Torr.) Spreng.","dwarf umbrella-sedge"
"FUSC","Fuirena scirpoidea Michx.","southern umbrella-sedge"
"FUSI","Fuirena simplex Vahl","western umbrella-sedge"
"FUSIA","Fuirena simplex Vahl var. aristulata (Torr.) Kral","western umbrella-sedge"
"FUSIS","Fuirena simplex Vahl var. simplex","western umbrella-sedge"
"FUSQ","Fuirena squarrosa Michx.","hairy umbrella-sedge"
"FUVA","Fumaria vaillantii Loisel.","earthsmoke"
"GAAE","Gaillardia aestivalis (Walter) H. Rock","lanceleaf blanketflower"
"GAAEA","Gaillardia aestivalis (Walter) H. Rock var. aestivalis","lanceleaf blanketflower"
"GAAEF","Gaillardia aestivalis (Walter) H. Rock var. flavovirens (C. Mohr) Cronquist","lanceleaf blanketflower"
"GAAM3","Gamochaeta americana (Mill.) Weddell","American everlasting"
"GAAP2","Galium aparine L.","stickywilly"
"GABR2","Gaura brachycarpa Small","plains beeblossom"
"GACI2","Galium circaezans Michx.","licorice bedstraw"
"GACIC","Galium circaezans Michx. var. circaezans","licorice bedstraw"
"GACIH","Galium circaezans Michx. var. hypomalacum Fernald","licorice bedstraw"
"GACO11","Gamochaeta coarctata (Willd.) Kerguélen","gray everlasting"
"GACO5","Gaura coccinea Nutt. ex Pursh","scarlet beeblossom"
"GADI","Galium divaricatum Pourr. ex Lam.","Lamarck's bedstraw"
"GADR","Gaura drummondii (Spach) Torr. & A. Gray","Drummond's beeblossom"
"GADU","Gaylussacia dumosa (Andrews) Torr. & A. Gray","dwarf huckleberry"
"GAER","Galactia erecta (Walter) Vail","erect milkpea"
"GAFA3","Gamochaeta falcata (Lam.) Cabrera","narrowleaf purple everlasting"
"GAFI2","Gaura filipes Spach","slenderstalk beeblossom"
"GAHI","Galium hispidulum Michx.","coastal bedstraw"
"GAILL","Gaillardia Foug.","blanketflower"
"GALAC","Galactia P. Br.","milkpea"
"GALEO","Galeopsis L.","hempnettle"
"GALI2","Gaura lindheimeri Engelm. & A. Gray","Lindheimer's beeblossom"
"GALIN","Galinsoga Ruiz & Pav.","gallant soldier"
"GALIU","Galium L.","bedstraw"
"GALO3","Gaura longiflora Spach","longflower beeblossom"
"GAMO3","Gaylussacia mosieri Small","woolly huckleberry"
"GAMO5","Gaura mollis James","velvetweed"
"GAMOC","Gamochaeta Weddell","everlasting"
"GAOB","Galium obtusum Bigelow","bluntleaf bedstraw"
"GAOBO","Galium obtusum Bigelow ssp. obtusum","bluntleaf bedstraw"
"GAOR2","Galium orizabense Hemsl.","bald bedstraw"
"GAORL","Galium orizabense Hemsl. ssp. laevicaule (Weath. & S.F. Blake) Dempster","bald bedstraw"
"GAPE2","Gamochaeta pensylvanica (Willd.) Cabrera","Pennsylvania everlasting"
"GAPI2","Galium pilosum Aiton","hairy bedstraw"
"GAPIP","Galium pilosum Aiton var. puncticulosum (Michx.) Torr. & A. Gray","hairy bedstraw"
"GAPIP3","Galium pilosum Aiton var. pilosum","hairy bedstraw"
"GAPU","Gaillardia pulchella Foug.","firewheel"
"GAPU3","Gamochaeta purpurea (L.) Cabrera","spoonleaf purple everlasting"
"GAPUP","Gaillardia pulchella Foug. var. picta (D. Don) A. Gray","firewheel"
"GAPUP2","Gaillardia pulchella Foug. var. pulchella","firewheel"
"GAQU","Galinsoga quadriradiata Cav.","shaggy soldier"
"GARE2","Galactia regularis (L.) Britton, Sterns & Poggenb.","eastern milkpea"
"GASI","Gaura sinuata Nutt. ex Ser.","wavyleaf beeblossom"
"GATE2","Galeopsis tetrahit L.","brittlestem hempnettle"
"GATET2","Galeopsis tetrahit L. var. tetrahit","brittlestem hempnettle"
"GATI","Galium tinctorium (L.) Scop.","stiff marsh bedstraw"
"GATR2","Galium trifidum L.","threepetal bedstraw"
"GATR3","Galium triflorum Michx.","fragrant bedstraw"
"GATRS2","Galium trifidum L. ssp. subbiflorum (Wiegand) Piper","threepetal bedstraw"
"GAUN2","Galium uniflorum Michx.","oneflower bedstraw"
"GAURA","Gaura L.","beeblossom"
"GAVI","Galium virgatum Nutt.","southwestern bedstraw"
"GAVO","Galactia volubilis (L.) Britton","downy milkpea"
"GAYLU","Gaylussacia Kunth","huckleberry"
"GECA5","Geranium carolinianum L.","Carolina geranium"
"GECA7","Geum canadense Jacq.","white avens"
