,,,,,,,,,,,,
"LEMA9322.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,
"Table 22a.  Policies pertaining to citizen complaints of officer use of excessive force ",,,,,,,,,,,,
"maintained by local law enforcement agencies, 1993",,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
"Galveston ","Galveston County Sheriff","X",,"-","-",,"X",,"LEX",,"-","-"
"Galveston","Galveston Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Gregg","Longview Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Harris","Harris County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Harris","Baytown Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Harris","Houston Police","X",,"X","LEX",,"X",,"LEX",,"X","-"
"Harris","Pasadena Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Hidalgo","McAllen Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"Jefferson","Beaumont Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Jefferson","Port Arthur Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Lubbock","Lubbock Police","X",,"-","-",,"-",,"LEX",,"X","-"
"McLennan","Waco Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Midland","Midland Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Montgomery","Montgomery County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Nueces","Corpus Christi Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Potter","Amarillo Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Smith","Tyler Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Tarrant","Tarrant County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Tarrant","Arlington Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Tarrant","Fort Worth Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Taylor","Abilene Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Tom Green","San Angelo Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Travis","Travis County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Travis","Austin Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Webb","Laredo Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Wichita","Wichita Falls Police","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"UTAH",,,,,,,,,,,,
,,,,,,,,,,,,
"Salt Lake","Salt Lake County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Salt Lake","Salt Lake City Police","X",,"X","OTH",,"X",,"LEX",,"X","-"
"Weber","Ogden Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"VIRGINIA",,,,,,,,,,,,
,,,,,,,,,,,,
"Alexandria(city)","Alexandria Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Arlington","Arlington County Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Chesapeake(city)","Chesapeake Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Chesterfield","Chesterfield County Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Fairfax","Fairfax County Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Hampton(city)","Hampton Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Henrico","Henrico County Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Loudoun","Loudoun County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Lynchburg(city)","Lynchburg Police","X",,"-","-",,"-",,"LEX",,"-","-"
"Newport News(city)","Newport News Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Norfolk(city)","Norfolk Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Portsmouth(city)","Portsmouth Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Prince William","Prince William County Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Richmond(city)","Richmond City Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Roanoke(city)","Roanoke City Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Virginia Beach(city)","Virginia Beach Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"262   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"WASHINGTON",,,,,,,,,,,,
,,,,,,,,,,,,
"Clark","Clark County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"King","King Co. Dept. of Public Safety","X",,"-","-",,"-",,"LEX",,"X","X"
"King","Bellevue Police","X",,"-","-",,"-",,"LEX",,"X","-"
"King ","Seattle Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Pierce","Pierce County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Pierce","Tacoma Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Snohomish","Snohomish County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Snohomish","Everett Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Spokane ","Spokane County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Spokane","Spokane Police","X",,"X","GVT",,"-",,"GEX",,"X","X"
"Yakima","Yakima Police","X",,"-","-",,"-",,"LEX",,"X","X"
,,,,,,,,,,,,
"WEST VIRGINIA",,,,,,,,,,,,
,,,,,,,,,,,,
"Kanawha","Charleston Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"WISCONSIN",,,,,,,,,,,,
,,,,,,,,,,,,
"Brown","Brown County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Brown","Green Bay Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Dane","Dane County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Dane ","Madison Police","X",,"X","GVT",,"X",,"LEX",,"-","-"
"Kenosha","Kenosha Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Milwaukee","Milwaukee Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"Milwaukee","West Allis Police","X",,"-","-",,"-",,"BPC",,"X","-"
"Racine","Racine County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Racine","Racine Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Waukesha","Waukesha County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
,,,,,,,,,,,,
,,,,,,,,,,,,
"Note:   The codes for civilian complaint review board accountability are as follows:",,,,,,,,,,,,
,,,,,,,,,,,,
,"""GEX""=Government executive",,,,,,,,,,,
,"""GVT""=Governmental body",,,,,,,,,,,
,"""LEX""=Law enforcement executive",,,,,,,,,,,
,"""OTH""=Other",,,,,,,,,,,
,,,,,,,,,,,,
"             The codes for responsibility for final decisions on disciplinary action are as follows:",,,,,,,,,,,,
,,,,,,,,,,,,
,"""BPC""=Board of police commissioners",,,,,,,,,,,
,"""CRB""=Complaint review board",,,,,,,,,,,
,"""GEX""=Government executive",,,,,,,,,,,
,"""GVT""=Governmental body",,,,,,,,,,,
,"""IAU""=Internal affairs unit",,,,,,,,,,,
,"""ISP""=Immediate supervisor",,,,,,,,,,,
,"""LEX""=Law enforcement executive",,,,,,,,,,,
,"""OSP""=Other supervisory personnel",,,,,,,,,,,
,"""SDA""=State/district attorney or prosecutor",,,,,,,,,,,
,"""OTH""=Other",,,,,,,,,,,
,,,,,,,,,,,,
"*External to the chain of command where the accused officer is assigned",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,"                    Policies and programs   263",,,
,,,,,,,,,,,,
"Table 22b.  Policies pertaining to citizen complaints of officer use of excessive force ",,,,,,,,,,,,
"maintained by State law enforcement agencies, 1993",,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"Name of agency",," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"Alabama Department of Public Safety",,"X",,"-","-",,"-",,"LEX",,"X","X"
"Alaska State Troopers",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Arizona Department of Public Safety",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Arkansas State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"California Highway Patrol",,"X",,"-","-",,"-",,"LEX",,"X","X"
"Colorado State Patrol",,"X",,"-","-",,"-",,"OSP",,"X","-"
"Connecticut State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Delaware State Police",,"X",,"-","-",,"X",,"LEX",,"X","X"
"Florida Highway Patrol",,"X",,"-","-",,"-",,"LEX",,"X","X"
"Georgia State Police",,"X",,"-","-",,"-",,"LEX",,"X","X"
"Idaho State Police",,"X",,"-","-",,"X",,"LEX",,"X","-"
"Illinois State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Indiana State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Iowa State Patrol",,"X",,"-","-",,"X",,"LEX",,"X","X"
"Kansas Highway Patrol",,"X",,"-","-",,"X",,"LEX",,"X","X"
"Kentucky State Police",,"X",,"-","-",,"-",,"LEX",,"X","X"
"Louisiana State Police",,"X",,"-","-",,"X",,"LEX",,"X","-"
"Maine State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Maryland State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Massachusetts State Police",,"X",,"-","-",,"X",,"LEX",,"X","-"
"Michigan State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Minnesota State Patrol",,"X",,"-","-",,"X",,"LEX",,"X","X"
"Mississippi Highway Safety Patrol",,"-",,"-","-",,"-",,"LEX",,"X","X"
"Missouri State Highway Patrol",,"X",,"-","-",,"X",,"LEX",,"X","-"
"Montana Highway Patrol",,"X",,"X","GVT",,"X",,"LEX",,"X","X"
"Nebraska State Patrol",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Nevada Highway Patrol",,"X",,"-","-",,"X",,"GEX",,"X","X"
"New Hampshire State Police",,"X",,"-","-",,"-",,"OTH",,"X","-"
"New Jersey State Police",,"X",,"-","-",,"-",,"LEX",,"X","-"
"New Mexico State Police",,"X",,"-","-",,"X",,"LEX",,"X","-"
"New York State Police",,"X",,"-","-",,"-",,"OTH",,"X","-"
"North Carolina State Highway Patrol",,"X",,"-","-",,"-",,"LEX",,"X","-"
"North Dakota Highway Patrol",,"X",,"-","-",,"-",,"LEX",,"X","X"
"Ohio State Highway Patrol",,"X",,"-","-",,"-",,"OSP",,"X","-"
"Oklahoma Highway Patrol",,"X",,"X","GEX",,"X",,"LEX",,"X","X"
"Oregon State Police",,"X",,"-","-",,"X",,"ISP",,"X","-"
"Pennsylvania State Police",,"X",,"-","-",,"X",,"OTH",,"X","-"
"Rhode Island State Police",,"X",,"-","-",,"X",,"LEX",,"-","-"
"South Carolina Highway Patrol",,"X",,"-","-",,"-",,"LEX",,"X","X"
"South Dakota Highway Patrol",,"-",,"-","-",,"-",,"LEX",,"X","X"
"Tennessee Department of Safety",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Texas Department of Public Safety",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Utah Highway Patrol",,"-",,"X","OTH",,"-",,"OTH",,"X","-"
"Vermont Department of Public Safety",,"X",,"X","GEX",,"X",,"LEX",,"X","X"
"Virginia State Police",,"X",,"-","-",,"-",,"OSP",,"X","-"
"Washington State Patrol",,"X",,"-","-",,"X",,"LEX",,"X","-"
"West Virginia State Police",,"-",,"-","-",,"-",,"LEX",,"X","-"
"Wisconsin State Patrol",,"X",,"-","-",,"-",,"LEX",,"X","-"
"Wyoming Highway Patrol",,"-",,"-","-",,"-",,"LEX",,"X","X"
,,,,,,,,,,,,
,,,,,,,,,,,,
"Note:   The codes for civilian complaint review board accountability are as follows:",,,,,,,,,,,,
,,,,,,,,,,,,
,"""GEX""=Government executive",,,,,,,,,,,
,"""GVT""=Governmental body",,,,,,,,,,,
,"""LEX""=Law enforcement executive",,,,,,,,,,,
,"""OTH""=Other",,,,,,,,,,,
,,,,,,,,,,,,
"             The codes for responsibility for final decisions on disciplinary action are as follows:",,,,,,,,,,,,
,,,,,,,,,,,,
,"""BPC""=Board of police commissioners",,,,,,,,,,,
,"""CRB""=Complaint review board",,,,,,,,,,,
,"""GEX""=Government executive",,,,,,,,,,,
,"""GVT""=Governmental body",,,,,,,,,,,
,"""IAU""=Internal affairs unit",,,,,,,,,,,
,"""ISP""=Immediate supervisor",,,,,,,,,,,
,"""LEX""=Law enforcement executive",,,,,,,,,,,
,"""OSP""=Other supervisory personnel",,,,,,,,,,,
,"""SDA""=State/district attorney or prosecutor",,,,,,,,,,,
,"""OTH""=Other",,,,,,,,,,,
,,,,,,,,,,,,
"*External to the chain of command where the accused officer is assigned",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"264   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
