Pjt No,Pjt Name,Terrty,Office,Main Grp,Catgy No,Catgy Name,Subcatgy,SoA,NC/Refi,Mtg Amt,Units,Pjt Street,Pjt City,Pjt ST,Pjt Zip,Cty No,County,MSA No,MSA Name,Lat,Lon,IE FY,Orig No,Orig Name,Hldr No,Holder Name,Serv No,Servicer Name,Serv ST
11335088,COUNTRY PLACE APTS,6,Fort Worth,Basic FHA,2,FHA NC/SR Apts,221d4 SRO  ,OMR,NC/SR,"$5,420,600 ",136,3116 E RANCIER AVE,Killeen,TX,76543,27,Bell,3810,"KILLEEN-TEMPLE, TX",31.11787,-97.69786,FY96,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11343025,CROSS TIMBERS CARE CENTE,6,Fort Worth,Basic FHA,3,232 Health Care,NH 232 ,RND,NC/SR,"$3,164,400 ",118,3315 CROSS TIMBERS ROAD,FLOWER MOUND,TX,75028,121,Denton,1920,"DALLAS, TX",33.0393,-97.0799,FY94,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
113EE001,TARRANT CO. B'NAI B'RITH,6,Fort Worth,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,891,500 ",60,6565 DAN DANCIGER ROAD,FORT WORTH,TX,76112,439,Tarrant,2800,"FORT WORTH-ARLINGTON, TX",32.749,-97.2182,FY94,,,,,,,
113EE005,CATHERINE BOOTH GARDENS,6,Fort Worth,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$4,423,700 ",76,NORTH NINETEENTH STREET,WACO,TX,76703,309,McLennan,8800,"WACO, TX",31.5526,-97.139,FY95,,,,,,,
113EE008,PLAZA DEL SOL,6,Fort Worth,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,603,400 ",74,OAK GROVE BLVD. & GREEN,SAN ANGELO,TX,76901,451,Tom Green,7200,"SAN ANGELO, TX",31.4791,-100.4795,FY96,,,,,,,
113HD001,FORT WORTH VOA LIVING CE,6,Fort Worth,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$442,300 ",12,716 STELLA MAY & 5320 HA,FORT WORTH,TX,73104,109,Oklahoma,5880,"OKLAHOMA CITY, OK",35.4785,-97.5031,FY95,,,,,,,
11411112,BELLFORT PHASE II APARTM,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRS,Refi/ Pchse,"$4,420,000 ",280,8100 Stone St,Houston,TX,77061,201,Harris,3360,"HOUSTON, TX",29.674123,-95.268948,FY94,51385,DAVIS-PENN MORTGAGE CO,73723,GREYSTONE SERVICING CORP INC,73723,GREYSTONE SERVICING CORP INC,VA
11411121,CARLISLE APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,204,300 ",129,9898 Forum Park Dr,Houston,TX,77036,201,Harris,3360,"HOUSTON, TX",29.67433,-95.556794,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11411122,THE COVE APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$6,800,000 ",308,2000 BAY AREA BOULEVARD,HOUSTON,TX,77058,201,Harris,3360,"HOUSTON, TX",29.5609,-95.1158,FY94,71163,TRI CAPITAL CORP,71163,TRI CAPITAL CORP,71163,TRI CAPITAL CORP,CA
11411123,OXFORD ON GREENRIDGE APT,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$9,350,000 ",405,2815 Greenridge Dr,Houston,TX,77057,201,Harris,3360,"HOUSTON, TX",29.737134,-95.489505,FY94,71163,TRI CAPITAL CORP,71163,TRI CAPITAL CORP,71163,TRI CAPITAL CORP,CA
11411124,CASA CARIBE APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,100,000 ",165,515 FIRST STREET,GALVESTON,TX,77550,167,Galveston,2920,"GALVESTON-TEXAS CITY, TX",29.3107,-94.7681,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11411125,CHATEAUX DIJON APARTMENT,6,Houston,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$5,726,000 ",313,16201 El Camino Real,Houston,TX,77062,201,Harris,3360,"HOUSTON, TX",29.56172,-95.12711,FY94,71711,SECORE FINANCIAL CORP,98310,GMAC MORTGAGE CORP,98310,GMAC MORTGAGE CORP,PA
11411126,COUNTRY PLACE APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$411,100 ",64,1015 Gunnison St,Sealy,TX,77474,15,Austin,0,NM,29.7829,-96.1592,FY94,71574,FUNDING INCORPORATED,20494,STATE STREET BANK AND TRUST CO,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11411128,TIMBER RUN APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,924,500 ",156,13000 WOODFOREST BLVD.,HOUSTON,TX,77015,201,Harris,3360,"HOUSTON, TX",29.7937,-95.1934,FY94,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
11411130,DOVER POINT,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,142,900 ",168,14445 WALLISVILLE ROAD,HOUSTON,TX,77049,201,Harris,3360,"HOUSTON, TX",29.8078,-95.1649,FY94,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
11411132,OAK SHADOWS APARTMENTS,6,Houston,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$1,162,800 ",75,3940 S Shaver St,Houston,TX,77034,201,Harris,3360,"HOUSTON, TX",29.6384,-95.2232,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11411137,THE OXFORD,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$8,008,600 ",544,10909 GULF FREEWAY,HOUSTON,TX,77034,201,Harris,3360,"HOUSTON, TX",29.6318,-95.2335,FY94,09632,AMERICAN CAPITAL RESOURCE INC,09632,AMERICAN CAPITAL RESOURCE INC,75148,GE CAPITAL ASSET MGTMT CORP,TX
11411138,PRINCETON CLUB,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$7,392,200 ",281,14800 MEMORIAL DRIVE,HOUSTON,TX,77079,201,Harris,3360,"HOUSTON, TX",29.7714,-95.6129,FY94,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
11411139,PARKLANE II APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,784,100 ",224,5514 W Gulf Bank Rd,Houston,TX,77088,201,Harris,3360,"HOUSTON, TX",29.884401,-95.475936,FY94,71574,FUNDING INCORPORATED,71574,FUNDING INCORPORATED,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11411140,LAMPLIGHTER APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,261,000 ",158,4020 HIGHWAY 365,PORT ARTHUR,TX,77640,245,Jefferson,0840,"BEAUMONT-PORT ARTHUR, TX",29.9047,-93.9683,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11411142,WEBSTER VILAS APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,197,500 ",86,502 S Austin St,Webster,TX,77598,201,Harris,3360,"HOUSTON, TX",29.533902,-95.117588,FY95,75283,HANOVER CAPITAL MORTGAGE CORP,75283,HANOVER CAPITAL MORTGAGE CORP,75283,HANOVER CAPITAL MORTGAGE CORP,MO
11411146,WESTFIELD APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$7,225,000 ",424,14405 RIO BONITO ROAD,HOUSTON,TX,77083,201,Harris,3360,"HOUSTON, TX",29.7071,-95.6397,FY95,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
11411148,PARK ON BURKE,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,500,000 ",160,4747 Burke Rd,Pasadena,TX,77504,201,Harris,3360,"HOUSTON, TX",29.636124,-95.180912,FY95,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
11411149,RICHMONT SQUARE,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$10,550,600 ",496,1400 RICHMOND AVENUE,HOUSTON,TX,77006,201,Harris,3360,"HOUSTON, TX",29.7342,-95.3965,FY95,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
11411150,CAMBRIDGE APARTMENTS,6,Houston,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$1,303,700 ",126,301 CANNAN DR.,ANGLETON,TX,77515,39,Brazoria,1145,"BRAZORIA, TX",29.1823,-95.4309,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11411151,FAIRWAY SQUARE APTS.,6,Houston,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$1,434,600 ",120,2301 Fairway Dr,Alvin,TX,77511,39,Brazoria,1145,"BRAZORIA, TX",29.404083,-95.232573,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11411153,SWIS VILLAGE ON THE PARK,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,829,100 ",168,9603 HOMESTEAD ROAD,HOUSTON,TX,77016,201,Harris,3360,"HOUSTON, TX",29.8495,-95.301,FY95,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11411155,CRESTMONT VILLAGE APARTM,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,750,000 ",172,5638 Selinsky Rd,Houston,TX,77048,201,Harris,3360,"HOUSTON, TX",29.636782,-95.337878,FY95,71574,FUNDING INCORPORATED,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,FL
11411156,CRYSTAL SPRINGS APARTMEN,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,680,000 ",196,5900 Selinsky Rd,Houston,TX,77048,201,Harris,3360,"HOUSTON, TX",29.637117,-95.33093,FY95,71574,FUNDING INCORPORATED,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,FL
11411157,THE LOUVRE APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,400,000 ",162,4010 W Bellfort St,Houston,TX,77025,201,Harris,3360,"HOUSTON, TX",29.673434,-95.440091,FY96,75283,HANOVER CAPITAL MORTGAGE CORP,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11411159,PLANTATION PLACE APARTME,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,500,000 ",306,7900 BELLAIRE,Houston,TX,77036,201,Harris,3360,"HOUSTON, TX",29.705,-95.5252,FY96,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11411160,TIMBERS OF KEEGANS BAYOU,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,295,000 ",152,11650 W Bellfort St,Houston,TX,77099,201,Harris,3360,"HOUSTON, TX",29.656847,-95.581908,FY96,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11411161,DICKINSON PINES,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$700,000 ",59,3112 DEATS ROAD,DICKINSON,TX,77539,167,Galveston,2920,"GALVESTON-TEXAS CITY, TX",29.4702,-95.055,FY96,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11411162,WINDSOR PARK APARTMENTS,6,Houston,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,042,700 ",136,7900 CREEKBEND,Houston,TX,77071,201,Harris,3360,"HOUSTON, TX",29.6651,-95.5172,FY94,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,FL
11412001,CEDARWOOD APARTMENTS,6,Houston,Basic FHA,6,241 Impvmts Apts,241/236 ,ZSR,Impvmts,"$539,100 ",68,2201 AVENUE I,HUNTSVILLE,TX,77340,471,Walker,0,NM,30.709,-95.5467,FY96,51209,HOUSING AME MORTGAGE COMPANY,51209,HOUSING AME MORTGAGE COMPANY,51209,HOUSING AME MORTGAGE COMPANY,FL
11412002,VILLA AMERICANA,6,Houston,Basic FHA,6,241 Impvmts Apts,241/236 ,ZSR,Impvmts,"$2,485,500 ",258,5901 Selinsky Rd,Houston,TX,77048,201,Harris,3360,"HOUSTON, TX",29.637282,-95.33093,FY96,51209,HOUSING AME MORTGAGE COMPANY,51209,HOUSING AME MORTGAGE COMPANY,51209,HOUSING AME MORTGAGE COMPANY,FL
11435373,COLLEGE VIEW APARTMENTS,6,Houston,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$3,813,200 ",104,LUELLA,LA PORTE,TX,77571,201,Harris,3360,"HOUSTON, TX",29.696874,-95.112726,FY95,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11435375,SOUTHMORE PARK APARTMENT,6,Houston,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$2,675,700 ",93,2401 E. SOUTHMORE,PASADENA,TX,77506,201,Harris,3360,"HOUSTON, TX",29.703,-95.1942,FY94,71574,FUNDING INCORPORATED,71574,FUNDING INCORPORATED,71574,FUNDING INCORPORATED,TX
11435380,FAIRMONT APARTMENTS,6,Houston,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$12,156,700 ",260,LONG REACH DR.,SUGAR LAND,TX,77478,157,Fort Bend,3360,"HOUSTON, TX",29.5961,-95.6091,FY95,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11435381,ARBORS AT WOLF PEN CREEK,6,Houston,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$6,817,900 ",172,HOLLEMAN DRIVE,COLLEGE STATION,TX,77840,41,Brazos,1260,"BRYAN-COLLEGE STATION, TX",30.5866,-96.3505,FY96,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
11435389,SOUTHLAKE VILLAS APARTME,6,Houston,Basic FHA,5,223a7 Refi Apts,A7/221d4,REJ,Refi/ Pchse,"$6,174,000 ",228,12355 TIDWELL,HOUSTON,TX,77044,201,Harris,3360,"HOUSTON, TX",29.8504,-95.2145,FY96,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11443047,CHAMPION OAKS GUEST HOME,6,Houston,Basic FHA,3,232 Health Care,NH A7,REQ,Refi/ Pchse,"$2,046,100 ",80,17705 RED OAK DRIVE,HOUSTON,TX,77090,201,Harris,3360,"HOUSTON, TX",30.0268,-95.4513,FY94,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
11443049,HIGHLAND PARK CARE CENTE,6,Houston,Basic FHA,3,232 Health Care,Board & Care,RNT,NC/SR,"$1,105,000 ",62,2714 MORRISON,HOUSTON,TX,77009,201,Harris,3360,"HOUSTON, TX",29.7826,-95.373,FY96,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
114EE006,BOOTH GARDEN APARTMENTS,6,Houston,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,324,000 ",64,4500 MOORE STREET,HOUSTON,TX,77009,201,Harris,3360,"HOUSTON, TX",29.8005,-95.3596,FY94,,,,,,,
114EE013,PECAN GROVE MANOR,6,Houston,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,926,753 ",58,600 BLOCK ROGERS STREET,HOUSTON,TX,77022,201,Harris,3360,"HOUSTON, TX",29.8236,-95.3786,FY94,,,,,,,
114EE014,"NCR OF BAY CITY, TX",6,Houston,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,026,600 ",61,PALM VILLAGE BLVD.,BAY CITY,TX,77414,321,Matagorda,0,NM,28.9995,-95.9363,FY95,,,,,,,
114EE020,NCR OF ALIEF,6,Houston,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,218,900 ",62,SOUTH GLEN DR,HOUSTON,TX,77074,201,Harris,3360,"HOUSTON, TX",29.6855,-95.5012,FY95,,,,,,,
114EE028,EL REDENTOR APARTMENTS,6,Houston,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,590,000 ",47,8811 FREY ROAD,HOUSTON,TX,77034,201,Harris,3360,"HOUSTON, TX",29.6339,-95.2277,FY95,,,,,,,
114EE029,AHEPA NATIONAL HOUSING C,6,Houston,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,221,100 ",54,CORNER OF RUSTLING LEAVE,HOUSTON,TX,77083,201,Harris,3360,"HOUSTON, TX",29.6947,-95.6508,FY95,,,,,,,
114EH174,NACOGDOCHES VOA ELDERLY,6,Houston,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$1,915,200 ",48,5301 NORTHWAY DRIVE,NACOGDOCHES,TX,75961,347,Nacogdoches,0,NM,31.6539,-94.6472,FY94,,,,,,,
11511049,THE SEASONS APARTMENTS,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRS,Refi/ Pchse,"$4,740,600 ",280,9400 FREDERICKSBURG RD,SAN ANTONIO,TX,78240,29,Bexar,7240,"SAN ANTONIO, TX",29.5296,-98.5757,FY94,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
11511062,NOB HILL APARTMENTS,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRS,Refi/ Pchse,"$7,034,200 ",368,7626 CALLAGHAN ROAD,SAN ANTONIO,TX,78229,29,Bexar,7240,"SAN ANTONIO, TX",29.5068,-98.5562,FY94,72429,NEWPORT MORTGAGE CORPORATION,72429,NEWPORT MORTGAGE CORPORATION,76317,NEWPORT MORTGAGE COMPANY LP,TX
11511064,VILLAGE GREEN APTS.,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,014,800 ",200,7244 NORTHEAST DRIVE,AUSTIN,TX,78723,453,Travis,0640,"AUSTIN-SAN MARCOS, TX",30.3225,-97.6799,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11511066,DARBY SQUARE APTS.,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRS,Refi/ Pchse,"$807,500 ",75,811 Darby Blvd,San Antonio,TX,78207,29,Bexar,7240,"SAN ANTONIO, TX",29.399382,-98.544284,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11511067,ROLLING OAKS APARTMENTS,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$512,700 ",72,NWC ROLLING OAKS & OAK B,GIDDINGS,TX,78602,21,Bastrop,0640,"AUSTIN-SAN MARCOS, TX",30.1401,-97.2877,FY94,09632,AMERICAN CAPITAL RESOURCE INC,09632,AMERICAN CAPITAL RESOURCE INC,75148,GE CAPITAL ASSET MGTMT CORP,TX
11511068,MITCHELL VILLAGE APTS.,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,932,300 ",408,244-A GILMORE STREET,SAN ANTONIO,TX,78229,29,Bexar,7240,"SAN ANTONIO, TX",29.5024,-98.5674,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11511069,HUNTER'S GLEN APTS.,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,487,000 ",300,8715 Datapoint Dr,San Antonio,TX,78229,29,Bexar,7240,"SAN ANTONIO, TX",29.518971,-98.566677,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11511070,NORTHCASTLE APTS.,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,372,900 ",170,100 NORTH MOPAC,AUSTIN,TX,78759,453,Travis,0640,"AUSTIN-SAN MARCOS, TX",30.4061,-97.751,FY94,72429,NEWPORT MORTGAGE CORPORATION,72429,NEWPORT MORTGAGE CORPORATION,76317,NEWPORT MORTGAGE COMPANY LP,TX
11511073,UNIVERSITY NORTHCHASE AP,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,785,000 ",120,306 W Rundberg Ln,Austin,TX,78753,453,Travis,0640,"AUSTIN-SAN MARCOS, TX",30.36182,-97.694251,FY94,21677,NORWEST-INDEPENDENCE ONE MTG,04951,GMAC COMMERCIAL MORTGAGE CORP,42162,GMAC MORTGAGE CORPORATION PA,PA
11511074,STONY CREEK APARTMENTS,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,470,500 ",132,4911 Manchaca Rd,Austin,TX,78745,453,Travis,0640,"AUSTIN-SAN MARCOS, TX",30.223111,-97.792258,FY94,71163,TRI CAPITAL CORP,71163,TRI CAPITAL CORP,71163,TRI CAPITAL CORP,CA
11511075,CHERRY CREEK DUPLEXES,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,215,900 ",123,5510 FERNVIEW,AUSTIN,TX,78703,453,Travis,0640,"AUSTIN-SAN MARCOS, TX",30.2853,-97.7554,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11511077,LAS RESACAS APTS.,6,San Antonio,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$1,473,600 ",92,275 MORNINGSIDE RD,BROWNSVILLE,TX,78521,61,Cameron,1240,"BROWNSVILLE-HARLINGEN-SAN BENITO, TX",25.9029,-97.4527,FY94,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,PA
11511078,PALM TERRACE,6,San Antonio,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$1,600,000 ",124,1501 SAM HOUSTON STREET,HARLINGEN,TX,78550,61,Cameron,1240,"BROWNSVILLE-HARLINGEN-SAN BENITO, TX",26.1758,-97.6761,FY94,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,PA
11511079,EVERGREEN SQUARE APTS.,6,San Antonio,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$1,488,000 ",80,2501 NOLANA,MC ALLEN,TX,78501,215,Hidalgo,4880,"MCALLEN-EDINBURG-MISSION, TX",26.240017,-98.239365,FY94,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,PA
11511080,HOLLY APTS I & II,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,615,000 ",96,1925 LOOP 431,EAGLE PASS,TX,78852,323,Maverick,0,NM,28.7095,-100.4761,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11511081,BORDEAUX VIII APTS.,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,249,600 ",192,110 S. STADIUM ROAD,ALICE,TX,78332,249,Jim Wells,0,NM,27.7565,-98.0556,FY95,04001,BANK OF AMERICA NT & SA,04001,BANK OF AMERICA NT & SA,04001,BANK OF AMERICA NT & SA,CA
11511084,MAIN STREET SQUARE APTS,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,373,700 ",100,1201 EAST MAIN STREET,ROUND ROCK,TX,78664,491,Williamson,0640,"AUSTIN-SAN MARCOS, TX",30.5125,-97.6649,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
11511085,OAK GROVE APTS.,6,San Antonio,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$969,400 ",62,3625 S 1st St,Austin,TX,78704,453,Travis,0640,"AUSTIN-SAN MARCOS, TX",30.230115,-97.766843,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
